RecordType,RecordID,Week,Season,PlayerID,TeamID,VsTeamID,RecordValue
0,0,13,1984,2552,31,33,62
0,1,13,1984,2552,31,33,38
0,2,4,1984,684,9,30,100
0,3,5,1985,1534,19,10,5
0,4,4,1985,2637,32,40,489
0,5,1,1984,1873,23,28,6
0,6,11,1984,1787,22,3,369.7
0,7,11,1985,515,7,11,97
0,8,5,1984,2216,27,17,43
0,9,3,1984,342,5,2,215
0,10,3,1985,3321,40,37,4
0,11,10,1984,857,11,1,92
0,12,4,1984,358,5,8,15
0,13,3,1984,1889,23,34,271
0,14,3,1984,3249,39,35,4
0,15,11,1985,532,7,11,97
0,16,9,1984,852,11,23,4
0,17,1,1984,2399,29,32,2
0,18,14,1984,2194,26,31,4
0,19,1,1985,2025,24,19,120
0,20,5,1985,1945,23,35,20
0,21,2,1984,2601,31,23,7
0,22,1,1984,2459,29,32,2
0,23,9,1984,852,11,23,3
0,24,3,1985,2185,26,18,30
0,25,6,1985,3131,37,14,2
0,26,11,1984,2228,27,34,231
0,27,14,1985,1973,24,5,2
0,28,0,1984,1548,19,39,91
0,29,10,1984,1197,15,21,216
0,30,10,1984,1197,15,21,2
0,31,14,1984,2303,28,18,108
0,32,1,1984,1444,17,15,7
0,33,2,1985,2803,33,35,6
0,34,6,1984,3313,39,3,60
0,35,8,1985,84,1,7,8
0,36,8,1985,1529,18,8,8
0,37,1,1984,2718,32,29,100
0,38,1,1984,2718,32,29,100
0,39,4,1984,1785,21,26,54.5
0,40,7,1985,765,9,16,791
0,41,4,1984,85,1,6,63
0,42,1,1984,221,3,2,8
0,43,6,1985,374,5,36,16
0,44,4,1984,2157,26,21,3
1,0,0,1984,1022,13,0,540
1,1,0,1984,1022,13,0,351
1,2,0,1984,1107,14,0,69.6
1,3,0,1984,2552,31,0,17
1,4,0,1984,682,9,0,3620
1,5,0,1984,1957,24,0,32
1,6,0,1984,1873,23,0,238.1
1,7,0,1984,2214,27,0,95
1,8,0,1984,2216,27,0,404
1,9,0,1984,3236,39,0,1750
1,10,0,1984,2981,36,0,11
1,11,0,1984,857,11,0,92
1,12,0,1984,953,12,0,120
1,13,0,1984,2058,25,0,1429
1,14,0,1984,1888,23,0,18
1,15,0,1984,2229,27,0,95
1,16,0,1984,852,11,0,17
1,17,0,1984,852,11,0,9
1,18,0,1984,239,3,0,8
1,19,0,1984,239,3,0,258
1,20,0,1984,1419,17,0,118
1,21,0,1984,2601,31,0,16
1,22,0,1984,2354,28,0,6
1,23,0,1984,852,11,0,6
1,24,0,1984,1429,17,0,28
1,25,0,1984,1174,14,0,3
1,26,0,1984,2228,27,0,821
1,27,0,1984,528,7,0,3
1,28,0,1984,1548,19,0,91
1,29,0,1984,1888,23,0,731
1,30,0,1984,69,1,0,2
1,31,0,1984,2303,28,0,108
1,32,0,1984,3228,38,0,37
1,33,0,1984,253,3,0,29
1,34,0,1984,3313,39,0,60
1,35,0,1984,1868,22,0,53
1,36,0,1984,1868,22,0,52
1,37,0,1984,3058,36,0,92.3
1,38,0,1984,594,7,0,100
1,39,0,1984,2040,24,0,47.4
1,40,0,1984,1360,16,0,5115
1,41,0,1984,85,1,0,63
1,42,0,1984,221,3,0,25
