PlayerID,Leadership,Work Ethic,Competitiveness,Team Player,Sportsmanship,Social Disposition,MarketSize,Security,Loyalty,Winning,Playing Time,Close To Home,Prestige,Morale
2,66,70,76,76,64,70,28,54,38,71,83,41,4,92
3,72,73,54,65,49,45,34,33,35,43,88,55,2,97
4,76,40,38,61,34,56,56,34,48,60,76,39,1,99
5,39,44,39,47,42,45,42,40,48,41,44,42,44,96
6,54,100,88,72,85,73,53,29,42,47,70,46,4,91
7,43,100,85,71,69,78,54,50,42,65,96,32,2,89
8,39,42,54,17,2,5,32,34,42,38,78,51,1,93
9,41,65,86,52,79,85,63,42,52,40,90,47,4,96
10,71,74,67,82,100,82,54,34,37,51,78,43,5,96
11,50,100,99,49,81,87,56,42,48,57,100,52,4,95
12,69,52,52,70,51,61,64,38,50,58,95,43,7,98
13,40,43,49,45,41,45,37,39,42,48,43,45,48,99
14,15,39,61,36,30,21,35,44,48,37,84,39,3,87
15,67,61,41,65,30,66,71,32,53,68,100,56,3,93
16,94,100,62,81,78,95,45,33,54,65,83,40,1,98
17,46,71,72,41,60,59,33,34,34,42,75,48,7,92
18,62,67,58,31,60,67,32,47,37,35,84,43,1,100
19,100,93,85,81,94,77,57,38,54,49,95,55,4,97
20,86,86,67,74,73,79,27,42,55,42,96,55,1,96
21,13,38,50,22,18,21,59,38,36,36,89,40,6,92
22,80,45,69,97,53,57,43,43,33,53,84,55,5,92
23,88,83,96,100,94,100,27,44,41,39,80,34,5,99
24,49,82,87,38,85,92,35,33,36,49,100,34,6,96
25,47,47,39,46,45,40,39,35,48,45,45,41,47,96
26,46,45,45,41,43,42,40,37,47,38,40,42,43,94
27,40,42,45,40,39,42,38,41,42,46,46,42,40,94
28,60,79,82,63,100,89,39,39,46,60,83,42,5,92
29,57,70,76,46,72,97,61,44,51,38,88,46,1,77
30,44,43,36,48,40,41,38,44,39,40,45,39,46,95
31,43,45,41,41,45,42,39,38,42,46,50,44,37,96
32,47,38,73,61,50,73,61,41,49,54,73,45,10,94
33,64,65,62,56,37,51,68,45,52,73,95,34,2,94
34,68,79,59,78,70,85,29,35,45,60,95,52,5,73
35,28,68,73,9,15,4,65,28,28,52,87,43,9,91
36,63,59,39,32,56,71,54,33,58,74,84,33,2,97
37,39,50,43,39,43,43,42,38,41,39,44,48,45,65
38,41,46,47,41,42,49,39,42,42,48,39,41,43,98
39,67,64,66,43,74,100,57,41,37,69,94,29,6,95
41,8,63,98,34,74,76,67,33,45,36,90,35,6,99
42,86,56,67,67,60,57,61,34,42,69,83,38,6,95
43,28,79,75,15,99,72,64,32,48,43,86,45,2,90
44,38,55,42,36,37,63,70,28,32,53,82,37,1,78
45,37,75,79,24,62,70,42,28,44,65,80,50,3,99
46,64,43,37,39,34,46,42,31,42,29,99,46,1,92
47,47,43,41,44,39,41,38,43,48,44,37,39,47,96
48,46,40,49,42,40,46,43,41,49,43,40,46,42,96
49,46,40,45,43,42,39,43,41,45,39,45,43,41,99
50,43,43,41,47,43,45,42,38,38,38,38,46,48,98
51,57,89,76,64,91,92,54,28,39,58,91,33,8,97
52,51,93,84,66,74,81,70,36,37,38,94,45,7,90
53,26,71,89,24,96,100,37,47,56,52,98,36,4,96
54,51,36,49,60,41,46,53,36,41,73,77,53,10,97
55,51,100,71,68,99,68,33,35,43,65,71,52,4,93
56,45,43,43,47,46,41,36,36,43,45,45,45,44,100
57,42,39,37,40,41,38,38,37,43,41,39,40,41,97
58,41,41,43,49,36,44,39,43,46,39,46,49,41,99
59,89,79,67,95,65,98,33,39,37,66,96,45,4,84
60,36,56,50,37,13,26,67,36,39,55,87,32,5,93
