WeekNumber,GameID,Season,TeamID,Team,PlayerID,G,GS,Championships,ChampionshipYears,MadeBowlGame,MadePlayoffs,Wins,Losses,Ties,WinPct,BowlGame,RegularBowlWins,RegularBowlLosses,RegularBowlWinPct,RoundOf16BowlWins,RoundOf16BowlLosses,RoundOf16BowlWinPct,QuarterFinalBowlWins,QuarterFinalBowlLosses,QuarterFinalBowlWinPct,SemiFinalBowlWins,SemiFinalBowlLosses,SemiFinalBowlWinPct,ChampionshipWins,ChampionshipLosses,ChampionshipWinPct,ConfChampionshipWins,ConfChampionshipLosses,ConfChampionshipWinPct,Prestige,Job,CtA,Tar,RecruitingClassRank,TeamRanking,ELORating,Plays,RushAtt,Catches,PassAtt,PassCmp,PassInt,PassYds,PassYdsAgainst,TotalYdsAgainst,TotalYds,RushYdsAgainst,PassTD,PassRating,PassingAttemptsPerGame,PassingYardsPerAttempt,PassingYardsPerCompletion,SackPct,PassingYdsPerGame,RushYds,RecYds,RushTD,RecTD,RunLong,PassLong,RecLong,PuntLong,KRLong,PRLong,FGLong,Int,IntReturnYds,Fumbles,FumblesLost,FumReturnYds,Pancakes,MissedTackles,DroppedPasses,PassesDefensed,SacksAllowed,MissedBlocks,TeamOwner,Conference,WasSacked,SackedYards,Tackles,TFL,Sacks,Hurries,Knockdowns,Safeties,ForcedFumbles,FumblesRecovered,DefensiveTD,BlockedFG,BlockedPAT,BlockedPunt,Penalties,PenaltyYds,Punts,PuntYds,PuntsInside20,PuntReturns,PuntReturnYds,PuntReturnTD,KickoffReturns,KickoffReturnYds,KickoffReturnTD,FGA_U20,FGA_2029,FGA_3039,FGA_4049,FGA_50,FGM_U20,FGM_2029,FGM_3039,FGM_4049,FGM_50,FGA,FGM,XPA,XPM,POG,POW,RushAvg,PassAvg,PassPct,RecAvg,FGPct,XPPct,PuntAvg,PuntReturnAvg,KickReturnAvg,RushingAttPerGame,RushingYdsPerGame,RushFDPct,CatchesPerGame,ReceivingYdsPerGame,RecFDPct,KickingPoints,Points,PointsFor,PointsAgainst,Rush20,Rush40,RushFD,Pass20,Pass40,PassFD,Rec20,Rec40,RecFD
,0,0,1,NAVY,,25,0,0,,1,0,17,8,0,0.68,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,,598,1947,0,0,0,1819,988,466,831,466,19,5077,0,0,9797,0,41,119.1,33.2,6.1,10.9,3.9,203.1,4720,5077,43,41,78,76,76,63,102,77,52,9,197,33,14,32,596,108,61,133,9,71,,,34,211,1213,102,57,130,127,0,31,31,1,0,0,3,166,1403,160,7117,59,84,883,1,81,2005,3,4,10,14,27,2,4,8,11,14,2,57,39,80,71,29,0,4.8,10.9,56.1,10.9,68.4,88.8,44.5,10.5,24.8,39.5,188.8,21.9,18.6,203.1,44.8,188,722,0,0,31,12,216,54,14,209,54,14,209
,0,0,2,CLEM,,24,0,0,,0,0,6,18,0,0.25,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,709,2100,0,0,0,1788,944,367,844,367,18,3543,0,0,7001,0,15,80.3,35.2,4.2,9.7,4.3,147.6,3458,3543,22,15,75,67,67,52,96,66,52,19,273,26,14,33,607,132,83,143,9,149,,,38,241,1292,100,53,126,123,1,27,31,2,0,0,3,191,1494,224,8327,50,69,776,0,97,2264,1,0,14,20,18,4,0,13,14,12,3,56,42,37,32,19,0,3.7,9.7,43.5,9.7,75,86.5,37.2,11.2,23.3,39.3,144.1,19,15.3,147.6,41.7,158,398,0,0,33,8,179,32,4,153,32,4,153
,0,0,3,STAN,,25,0,0,,1,0,10,15,0,0.4,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,712,1999,0,0,0,1694,967,355,727,355,15,4075,0,0,7394,0,35,107.7,29.1,5.6,11.5,2.9,163,3319,4075,17,35,68,87,87,58,94,78,57,24,505,14,6,39,505,151,63,157,5,120,,,22,145,1350,123,31,143,85,1,29,21,4,0,0,3,166,1575,198,8162,65,87,1400,2,68,1544,1,0,15,13,22,8,0,13,11,17,5,58,46,55,55,24,0,3.4,11.5,48.8,11.5,79.3,100,41.2,16.1,22.7,38.7,132.8,17.4,14.2,163,41.1,193,547,0,0,14,2,168,48,13,146,48,13,146
,0,0,4,OK,,25,0,0,,1,0,11,14,0,0.44,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,723,2069,0,0,0,1732,923,464,809,464,9,4810,0,0,8562,0,37,120.2,32.4,5.9,10.4,4.1,192.4,3752,4810,31,37,56,54,54,56,104,77,54,20,285,15,8,9,601,134,63,131,9,76,,,35,282,1254,96,40,114,97,1,16,14,3,0,1,1,213,1806,164,6825,51,62,685,0,87,2379,4,3,16,15,18,4,3,12,12,11,3,56,41,74,66,26,0,4.1,10.4,57.4,10.4,73.2,89.2,41.6,11,27.3,36.9,150.1,19.9,18.6,192.4,47.2,189,639,0,0,28,8,184,46,12,219,46,12,219
,0,0,5,NTDM,,25,0,0,,1,0,21,4,0,0.84,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,563,2055,0,0,0,1744,826,575,918,575,15,6086,0,0,9815,0,42,130.2,36.7,6.6,10.6,2.9,243.4,3729,6086,34,42,84,74,74,50,97,36,56,16,251,38,16,3,688,106,58,144,8,59,,,27,186,1195,98,37,123,100,2,19,29,1,0,0,4,163,1436,156,5823,50,59,480,0,77,1678,0,6,14,18,19,5,4,10,15,6,3,62,38,73,69,31,0,4.5,10.6,62.6,10.6,61.3,94.5,37.3,8.1,21.8,33,149.2,19,23,243.4,47.8,183,645,0,0,26,11,157,62,8,275,62,8,275
,0,0,6,RUT,,25,0,0,,1,0,12,13,0,0.48,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,601,1985,0,0,0,1790,908,505,882,505,29,5806,0,0,9407,0,36,119.4,35.3,6.6,11.5,3.9,232.2,3601,5806,28,36,76,80,80,56,106,72,52,16,205,23,8,43,555,144,75,125,12,103,,,36,260,1240,113,46,111,126,1,31,27,3,1,0,3,185,1621,167,6701,45,72,749,1,90,2156,2,5,17,20,14,4,5,12,17,9,2,60,45,68,66,27,0,4,11.5,57.3,11.5,75,97.1,40.1,10.4,24,36.3,144,17.6,20.2,232.2,45.3,201,621,0,0,23,12,160,67,18,229,67,18,229
,0,0,7,KCL,,25,0,0,,1,0,7,18,0,0.28,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,669,1787,0,0,0,1387,716,160,671,160,9,3296,0,0,5912,0,19,71.8,26.8,4.9,20.6,21.2,131.8,2616,3296,16,19,65,97,97,58,100,73,48,21,241,34,16,26,793,150,76,151,59,185,,,181,1355,1361,108,54,128,133,1,22,27,3,0,0,3,182,1525,243,10054,71,80,1045,4,83,1942,1,1,14,17,11,2,0,11,15,8,0,45,34,42,41,13,0,3.7,20.6,23.8,20.6,75.6,97.6,41.4,13.1,23.4,28.6,104.6,16.6,6.4,131.8,59.4,143,401,0,0,13,3,119,62,18,95,62,18,95
,0,0,8,IOWA,,24,0,0,,0,0,8,16,0,0.333,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,842,1971,0,0,0,1605,854,360,751,360,19,4371,0,0,8092,0,35,107.1,31.3,5.8,12.1,3,182.1,3721,4371,32,35,67,86,86,57,100,54,53,10,287,20,11,31,533,117,51,95,10,104,,,23,157,1315,107,43,96,67,0,26,23,3,0,0,1,175,1567,160,6667,47,58,639,0,98,2291,1,0,4,15,17,2,0,3,10,10,1,38,24,68,64,23,0,4.4,12.1,47.9,12.1,63.2,94.1,41.7,11,23.4,35.6,155,22,15,182.1,47.8,136,562,0,0,24,8,188,46,20,172,46,20,172
,0,0,9,NWST,,25,0,0,,1,0,12,13,0,0.48,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,630,2229,0,0,0,1751,783,445,968,445,14,5178,0,0,7795,0,39,101.3,38.7,5.3,11.6,4.3,207.1,2617,5178,15,39,66,86,86,56,75,69,50,15,162,20,14,30,578,130,98,189,11,108,,,44,329,1302,112,38,120,129,0,27,19,1,0,1,5,186,1548,222,9226,75,98,1113,1,92,1963,0,1,11,15,17,8,1,11,13,10,2,52,37,51,50,23,0,3.3,11.6,46,11.6,71.2,98,41.6,11.4,21.3,31.3,104.7,15.5,17.8,207.1,47.6,161,497,0,0,12,4,121,54,16,212,54,16,212
,0,0,10,PENNST,,25,0,0,,1,0,15,10,0,0.6,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,739,2054,0,0,0,1795,1075,350,720,350,19,3149,0,0,7290,0,22,90.2,28.8,4.4,9,5,126,4141,3149,25,22,57,46,46,62,60,61,51,18,313,20,8,39,518,152,52,142,14,120,,,38,243,1297,95,59,125,148,0,39,30,2,1,0,9,172,1480,211,9407,97,83,958,2,66,1429,0,0,18,20,22,4,0,11,17,15,2,64,45,50,48,22,0,3.9,9,48.6,9,70.3,96,44.6,11.5,21.7,43,165.6,18.1,14,126,43.7,183,489,0,0,23,8,195,20,3,153,20,3,153
