RecordType,RecordID,Week,Season,PlayerID,TeamID,VsTeamID,RecordValue
0,0,3,1985,2,1,3,42
0,1,11,1985,2,1,10,27
0,2,12,1985,2,1,37,78.8
0,3,8,1984,2,1,7,3
0,4,4,1985,2,1,6,345
0,5,11,1985,2,1,10,5
0,6,12,1985,2,1,37,176.2
0,7,4,1985,2,1,6,76
0,8,8,1984,7,1,7,21
0,9,12,1984,2,1,37,180
0,10,12,1984,2,1,37,3
0,11,1,1985,2,1,5,78
0,12,8,1984,18,1,7,10
0,13,14,1985,19,1,23,201
0,14,9,1984,18,1,14,3
0,15,4,1985,21,1,6,76
0,16,4,1984,3,1,6,3
0,17,14,1984,2,1,23,2
0,18,11,1985,73,1,10,2
0,19,0,1984,69,1,9,85
0,20,2,1984,69,1,2,10
0,21,8,1984,52,1,7,3
0,22,7,1984,71,1,35,2
0,23,4,1984,3,1,6,2
0,24,8,1984,69,1,7,23
0,25,7,1984,70,1,35,1
0,26,9,1985,19,1,14,107
0,27,9,1985,19,1,14,1
0,28,9,1985,19,1,14,77
0,29,0,1984,69,1,9,162
0,30,2,1984,69,1,2,1
0,31,0,1984,69,1,9,102
0,32,6,1985,84,1,19,6
0,33,10,1985,84,1,11,4
0,34,4,1984,83,1,6,52
0,35,8,1985,84,1,7,8
0,36,8,1985,84,1,7,7
0,37,3,1984,83,1,3,100
0,38,1,1984,83,1,5,100
0,39,11,1984,85,1,10,52.7
0,40,11,1984,85,1,10,580
0,41,4,1984,85,1,6,63
0,42,2,1984,51,1,2,5
0,43,6,1984,34,1,19,9
0,44,2,1984,33,1,2,1
1,0,0,1984,2,1,0,331
1,1,0,1984,2,1,0,180
1,2,0,1984,2,1,0,54.4
1,3,0,1984,2,1,0,7
1,4,0,1984,2,1,0,1818
1,5,0,1984,2,1,0,17
1,6,0,1984,2,1,0,113.2
1,7,0,1984,3,1,0,49
1,8,0,1984,7,1,0,182
1,9,0,1984,7,1,0,638
1,10,0,1984,12,1,0,7
1,11,0,1984,2,1,0,61
1,12,0,1984,18,1,0,98
1,13,0,1984,18,1,0,1177
1,14,0,1984,18,1,0,12
1,15,0,1984,18,1,0,49
1,16,0,1984,3,1,0,6
1,17,0,1984,2,1,0,4
1,18,0,1984,69,1,0,2
1,19,0,1984,69,1,0,101
1,20,0,1984,59,1,0,81
1,21,0,1984,52,1,0,10
1,22,0,1984,69,1,0,5
1,23,0,1984,3,1,0,4
1,24,0,1984,69,1,0,24
1,25,0,1984,70,1,0,1
1,26,0,1984,7,1,0,169
1,27,0,0,0,0,0,0
1,28,0,1984,7,1,0,47
1,29,0,1984,7,1,0,572
1,30,0,1984,69,1,0,2
1,31,0,1984,69,1,0,102
1,32,0,1984,83,1,0,26
1,33,0,1984,83,1,0,17
1,34,0,1984,83,1,0,52
1,35,0,1984,83,1,0,40
1,36,0,1984,83,1,0,38
1,37,0,1984,83,1,0,65.4
1,38,0,1984,83,1,0,95
1,39,0,1984,85,1,0,44.9
1,40,0,1984,85,1,0,4267
1,41,0,1984,85,1,0,63
1,42,0,1984,51,1,0,13
1,43,0,1984,34,1,0,63
1,44,0,1984,7,1,0,3
2,0,0,1984,3,1,9,31
2,1,0,1984,3,1,9,12
2,2,0,1984,3,1,9,38.7
2,3,0,0,0,0,0,0
2,4,0,1984,3,1,9,108
2,5,0,0,0,0,0,0
2,6,0,1984,3,1,9,68
2,7,0,1984,3,1,9,17
2,8,0,1984,6,1,9,14
2,9,0,1984,6,1,9,73
2,10,0,1984,3,1,9,1
2,11,0,1984,3,1,9,37
2,12,0,1984,18,1,9,7
2,13,0,1984,18,1,9,67
2,14,0,0,0,0,0,0
2,15,0,1984,18,1,9,17
2,16,0,1984,3,1,9,1
2,17,0,0,0,0,0,0
2,18,0,1984,69,1,9,1
2,19,0,1984,69,1,9,85
2,20,0,1984,69,1,9,10
2,21,0,1984,64,1,9,1
2,22,0,1984,60,1,9,1
2,23,0,1984,3,1,9,1
2,24,0,0,0,0,0,0
2,25,0,0,0,0,0,0
2,26,0,0,0,0,0,0
2,27,0,0,0,0,0,0
2,28,0,0,0,0,0,0
2,29,0,1984,69,1,9,162
2,30,0,1984,69,1,9,1
2,31,0,1984,69,1,9,102
2,32,0,1984,83,1,9,2
2,33,0,1984,83,1,9,2
2,34,0,1984,83,1,9,32
2,35,0,1984,83,1,9,3
2,36,0,1984,83,1,9,3
2,37,0,1984,83,1,9,100
2,38,0,1984,83,1,9,100
2,39,0,1984,85,1,9,42.2
2,40,0,1984,85,1,9,253
2,41,0,1984,85,1,9,52
2,42,0,1984,46,1,9,1
2,43,0,1984,29,1,9,7
2,44,0,0,0,0,0,0
3,0,0,1984,2,1,0,331
3,1,0,1984,2,1,0,180
3,2,0,1984,2,1,0,54.4
3,3,0,1984,2,1,0,7
3,4,0,1984,2,1,0,1818
3,5,0,1984,2,1,0,17
3,6,0,1984,2,1,0,113.2
3,7,0,1984,3,1,0,49
3,8,0,1984,7,1,0,182
3,9,0,1984,7,1,0,638
3,10,0,1984,12,1,0,7
3,11,0,1984,2,1,0,61
3,12,0,1984,18,1,0,98
3,13,0,1984,18,1,0,1177
3,14,0,1984,18,1,0,12
3,15,0,1984,18,1,0,49
3,16,0,1984,3,1,0,6
3,17,0,1984,2,1,0,4
3,18,0,1984,69,1,0,2
3,19,0,1984,69,1,0,101
3,20,0,1984,59,1,0,81
3,21,0,1984,52,1,0,10
3,22,0,1984,69,1,0,5
3,23,0,1984,3,1,0,4
3,24,0,1984,69,1,0,24
3,25,0,1984,70,1,0,1
3,26,0,1984,7,1,0,169
3,27,0,0,0,0,0,0
3,28,0,1984,7,1,0,47
3,29,0,1984,7,1,0,572
3,30,0,1984,69,1,0,2
3,31,0,1984,69,1,0,102
3,32,0,1984,83,1,0,26
3,33,0,1984,83,1,0,17
3,34,0,1984,83,1,0,52
3,35,0,1984,83,1,0,40
3,36,0,1984,83,1,0,38
3,37,0,1984,83,1,0,65.4
3,38,0,1984,83,1,0,95
3,39,0,1984,85,1,0,44.9
3,40,0,1984,85,1,0,4267
3,41,0,1984,85,1,0,63
3,42,0,1984,51,1,0,13
3,43,0,1984,34,1,0,63
3,44,0,1984,7,1,0,3
0,0,9,1984,427,6,10,47
0,1,7,1985,429,6,14,30
0,2,11,1985,429,6,23,69
0,3,6,1984,427,6,7,3
0,4,3,1985,429,6,4,349
0,5,7,1984,427,6,14,3
0,6,11,1985,429,6,23,164.6
0,7,3,1985,429,6,4,80
0,8,6,1985,432,6,7,23
0,9,12,1985,432,6,19,145
0,10,9,1985,432,6,10,3
0,11,9,1985,432,6,10,76
0,12,9,1984,447,6,10,11
0,13,1,1984,443,6,8,161
0,14,7,1984,443,6,14,2
0,15,3,1985,5407,6,4,80
0,16,4,1985,432,6,1,2
0,17,12,1984,431,6,19,1
0,18,3,1984,497,6,4,2
0,19,14,1984,504,6,37,61
0,20,12,1984,500,6,19,13
0,21,6,1984,476,6,7,2
0,22,4,1984,479,6,1,2
0,23,4,1985,432,6,1,2
0,24,11,1985,484,6,23,20
0,25,2,1984,500,6,12,1
0,26,2,1985,443,6,12,98
0,27,8,1984,443,6,11,1
0,28,2,1985,443,6,12,72
0,29,0,1984,443,6,3,141
0,30,0,1984,443,6,3,1
0,31,0,1984,443,6,3,106
0,32,6,1985,509,6,7,7
0,33,14,1984,509,6,37,4
0,34,14,1984,509,6,37,52
0,35,8,1984,509,6,11,6
0,36,8,1984,509,6,11,6
0,37,1,1984,509,6,8,100
0,38,1,1984,509,6,8,100
0,39,3,1984,510,6,4,51
0,40,4,1984,510,6,1,455
0,41,1,1984,510,6,8,56
0,42,4,1984,479,6,1,4
0,43,2,1984,460,6,12,10
0,44,1,1984,464,6,8,1
1,0,0,1984,427,6,0,379
1,1,0,1984,427,6,0,229
1,2,0,1984,427,6,0,60.4
1,3,0,1984,427,6,0,12
1,4,0,1984,427,6,0,2473
1,5,0,1984,427,6,0,14
1,6,0,1984,427,6,0,121.1
1,7,0,1984,427,6,0,75
1,8,0,1984,431,6,0,199
1,9,0,1984,431,6,0,817
1,10,0,1984,431,6,0,5
1,11,0,1984,431,6,0,51
1,12,0,1984,443,6,0,73
1,13,0,1984,443,6,0,1090
1,14,0,1984,443,6,0,11
1,15,0,1984,443,6,0,75
1,16,0,1984,431,6,0,3
1,17,0,1984,431,6,0,2
1,18,0,1984,497,6,0,3
1,19,0,1984,504,6,0,82
1,20,0,1984,484,6,0,85
1,21,0,1984,479,6,0,7
1,22,0,1984,479,6,0,4
1,23,0,1984,443,6,0,3
1,24,0,1984,500,6,0,9
1,25,0,1984,500,6,0,1
1,26,0,1984,443,6,0,321
1,27,0,1984,443,6,0,1
1,28,0,1984,443,6,0,61
1,29,0,1984,431,6,0,671
1,30,0,1984,443,6,0,1
1,31,0,1984,443,6,0,106
1,32,0,1984,509,6,0,25
1,33,0,1984,509,6,0,20
1,34,0,1984,509,6,0,52
1,35,0,1984,509,6,0,33
1,36,0,1984,509,6,0,31
1,37,0,1984,509,6,0,80
1,38,0,1984,509,6,0,93.9
1,39,0,1984,510,6,0,40.4
1,40,0,1984,510,6,0,3435
1,41,0,1984,510,6,0,56
1,42,0,1984,476,6,0,14
1,43,0,1984,460,6,0,65
1,44,0,1984,432,6,0,2
2,0,0,1984,427,6,3,37
2,1,0,1984,427,6,3,24
2,2,0,1984,427,6,3,64.9
2,3,0,1984,427,6,3,2
2,4,0,1984,427,6,3,244
2,5,0,0,0,0,0,0
2,6,0,1984,427,6,3,109.4
2,7,0,1984,427,6,3,27
2,8,0,1984,431,6,3,18
2,9,0,1984,431,6,3,124
2,10,0,1984,431,6,3,2
2,11,0,1984,431,6,3,45
2,12,0,1984,443,6,3,6
2,13,0,1984,443,6,3,69
2,14,0,0,0,0,0,0
2,15,0,1984,431,6,3,27
2,16,0,1984,431,6,3,1
2,17,0,1984,431,6,3,1
2,18,0,0,0,0,0,0
2,19,0,0,0,0,0,0
2,20,0,1984,484,6,3,9
2,21,0,0,0,0,0,0
2,22,0,0,0,0,0,0
2,23,0,1984,443,6,3,1
2,24,0,0,0,0,0,0
2,25,0,0,0,0,0,0
2,26,0,1984,431,6,3,18
2,27,0,0,0,0,0,0
2,28,0,1984,431,6,3,7
2,29,0,1984,443,6,3,141
2,30,0,1984,443,6,3,1
2,31,0,1984,443,6,3,106
2,32,0,1984,509,6,3,3
2,33,0,1984,509,6,3,2
2,34,0,1984,509,6,3,47
2,35,0,1984,509,6,3,4
2,36,0,1984,509,6,3,4
2,37,0,1984,509,6,3,66.7
2,38,0,1984,509,6,3,100
2,39,0,1984,510,6,3,45
2,40,0,1984,510,6,3,225
2,41,0,1984,510,6,3,56
2,42,0,1984,501,6,3,2
2,43,0,1984,464,6,3,6
2,44,0,1984,431,6,3,1
3,0,0,1984,427,6,0,379
3,1,0,1984,427,6,0,229
3,2,0,1984,427,6,0,60.4
3,3,0,1984,427,6,0,12
3,4,0,1984,427,6,0,2473
3,5,0,1984,427,6,0,14
3,6,0,1984,427,6,0,121.1
3,7,0,1984,427,6,0,75
3,8,0,1984,431,6,0,199
3,9,0,1984,431,6,0,817
3,10,0,1984,431,6,0,5
3,11,0,1984,431,6,0,51
3,12,0,1984,443,6,0,73
3,13,0,1984,443,6,0,1090
3,14,0,1984,443,6,0,11
3,15,0,1984,443,6,0,75
3,16,0,1984,431,6,0,3
3,17,0,1984,431,6,0,2
3,18,0,1984,497,6,0,3
3,19,0,1984,504,6,0,82
3,20,0,1984,484,6,0,85
3,21,0,1984,479,6,0,7
3,22,0,1984,479,6,0,4
3,23,0,1984,443,6,0,3
3,24,0,1984,500,6,0,9
3,25,0,1984,500,6,0,1
3,26,0,1984,443,6,0,321
3,27,0,1984,443,6,0,1
3,28,0,1984,443,6,0,61
3,29,0,1984,431,6,0,671
3,30,0,1984,443,6,0,1
3,31,0,1984,443,6,0,106
3,32,0,1984,509,6,0,25
3,33,0,1984,509,6,0,20
3,34,0,1984,509,6,0,52
3,35,0,1984,509,6,0,33
3,36,0,1984,509,6,0,31
3,37,0,1984,509,6,0,80
3,38,0,1984,509,6,0,93.9
3,39,0,1984,510,6,0,40.4
3,40,0,1984,510,6,0,3435
3,41,0,1984,510,6,0,56
3,42,0,1984,476,6,0,14
3,43,0,1984,460,6,0,65
3,44,0,1984,432,6,0,2
0,0,3,1984,513,7,17,37
0,1,3,1984,513,7,17,13
0,2,4,1984,513,7,14,50
0,3,0,1984,512,7,25,2
0,4,9,1984,512,7,35,224
0,5,3,1984,513,7,17,2
0,6,4,1984,513,7,14,182.8
0,7,11,1985,515,7,11,97
0,8,2,1985,520,7,15,32
0,9,11,1985,518,7,11,135
0,10,6,1984,516,7,6,2
0,11,13,1985,518,7,37,65
0,12,2,1984,524,7,15,5
0,13,4,1984,528,7,14,161
0,14,3,1984,526,7,17,2
0,15,11,1985,532,7,11,97
0,16,12,1984,513,7,23,4
0,17,13,1984,512,7,37,2
0,18,6,1984,579,7,6,2
0,19,1,1985,572,7,9,36
0,20,13,1985,585,7,37,15
0,21,1,1984,562,7,9,2
0,22,1,1984,562,7,9,1
0,23,12,1984,513,7,23,2
0,24,6,1985,564,7,6,8
0,25,8,1984,580,7,1,1
0,26,3,1984,528,7,17,122
0,27,1,1984,528,7,9,1
0,28,1,1985,528,7,9,73
0,29,14,1985,528,7,19,170
0,30,14,1985,528,7,19,1
0,31,14,1985,528,7,19,100
0,32,1,1984,594,7,9,4
0,33,1,1984,594,7,9,4
0,34,7,1985,594,7,10,48
0,35,3,1984,594,7,17,5
0,36,3,1984,594,7,17,5
0,37,1,1984,594,7,9,100
0,38,1,1984,594,7,9,100
0,39,12,1985,595,7,23,47.3
0,40,8,1985,595,7,1,605
0,41,3,1985,595,7,17,58
0,42,6,1984,562,7,6,5
0,43,12,1984,544,7,23,15
0,44,8,1984,516,7,1,3
1,0,0,1984,512,7,0,191
1,1,0,1984,512,7,0,71
1,2,0,1984,512,7,0,37.2
1,3,0,1984,512,7,0,3
1,4,0,1984,512,7,0,1345
1,5,0,1984,512,7,0,8
1,6,0,1984,512,7,0,107
1,7,0,1984,512,7,0,75
1,8,0,1984,516,7,0,290
1,9,0,1984,516,7,0,1142
1,10,0,1984,516,7,0,6
1,11,0,1984,516,7,0,21
1,12,0,1984,526,7,0,36
1,13,0,1984,528,7,0,845
1,14,0,1984,528,7,0,4
1,15,0,1984,524,7,0,75
1,16,0,1984,513,7,0,9
1,17,0,1984,512,7,0,3
1,18,0,1984,579,7,0,4
1,19,0,1984,580,7,0,73
1,20,0,1984,589,7,0,97
1,21,0,1984,562,7,0,9
1,22,0,1984,562,7,0,3
1,23,0,1984,513,7,0,4
1,24,0,1984,555,7,0,7
1,25,0,1984,580,7,0,2
1,26,0,1984,528,7,0,498
1,27,0,1984,528,7,0,3
1,28,0,1984,528,7,0,71
1,29,0,1984,517,7,0,662
1,30,0,0,0,0,0,0
1,31,0,1984,517,7,0,74
1,32,0,1984,594,7,0,27
1,33,0,1984,594,7,0,22
1,34,0,1984,594,7,0,46
1,35,0,1984,594,7,0,28
1,36,0,1984,594,7,0,28
1,37,0,1984,594,7,0,81.5
1,38,0,1984,594,7,0,100
1,39,0,1984,595,7,0,41
1,40,0,1984,595,7,0,4596
1,41,0,1984,595,7,0,57
1,42,0,1984,562,7,0,13
1,43,0,1984,544,7,0,107
1,44,0,1984,516,7,0,6
2,0,0,1984,512,7,25,27
2,1,0,1984,512,7,25,12
2,2,0,1984,512,7,25,44.4
2,3,0,1984,512,7,25,2
2,4,0,1984,512,7,25,196
2,5,0,1984,512,7,25,1
2,6,0,1984,512,7,25,102.8
2,7,0,1984,512,7,25,44
2,8,0,1984,518,7,25,16
2,9,0,1984,518,7,25,26
2,10,0,0,0,0,0,0
2,11,0,1984,518,7,25,13
2,12,0,1984,528,7,25,5
2,13,0,1984,528,7,25,101
2,14,0,1984,528,7,25,1
2,15,0,1984,528,7,25,44
2,16,0,0,0,0,0,0
2,17,0,0,0,0,0,0
2,18,0,1984,580,7,25,1
2,19,0,1984,580,7,25,16
2,20,0,1984,569,7,25,8
2,21,0,1984,562,7,25,2
2,22,0,1984,562,7,25,1
2,23,0,1984,562,7,25,1
2,24,0,0,0,0,0,0
2,25,0,1984,580,7,25,1
2,26,0,0,0,0,0,0
2,27,0,0,0,0,0,0
2,28,0,0,0,0,0,0
2,29,0,1984,517,7,25,98
2,30,0,0,0,0,0,0
2,31,0,1984,528,7,25,33
2,32,0,0,0,0,0,0
2,33,0,0,0,0,0,0
2,34,0,0,0,0,0,0
2,35,0,1984,594,7,25,2
2,36,0,1984,594,7,25,2
2,37,0,0,0,0,0,0
2,38,0,1984,594,7,25,100
2,39,0,1984,595,7,25,35.8
2,40,0,1984,595,7,25,286
2,41,0,1984,595,7,25,55
2,42,0,1984,570,7,25,1
2,43,0,1984,544,7,25,8
2,44,0,1984,518,7,25,1
3,0,0,1984,512,7,0,191
3,1,0,1984,512,7,0,71
3,2,0,1984,512,7,0,37.2
3,3,0,1984,512,7,0,3
3,4,0,1984,512,7,0,1345
3,5,0,1984,512,7,0,8
3,6,0,1984,512,7,0,107
3,7,0,1984,512,7,0,75
3,8,0,1984,516,7,0,290
3,9,0,1984,516,7,0,1142
3,10,0,1984,516,7,0,6
3,11,0,1984,516,7,0,21
3,12,0,1984,526,7,0,36
3,13,0,1984,528,7,0,845
3,14,0,1984,528,7,0,4
3,15,0,1984,524,7,0,75
3,16,0,1984,513,7,0,9
3,17,0,1984,512,7,0,3
3,18,0,1984,579,7,0,4
3,19,0,1984,580,7,0,73
3,20,0,1984,589,7,0,97
3,21,0,1984,562,7,0,9
3,22,0,1984,562,7,0,3
3,23,0,1984,513,7,0,4
3,24,0,1984,555,7,0,7
3,25,0,1984,580,7,0,2
3,26,0,1984,528,7,0,498
3,27,0,1984,528,7,0,3
3,28,0,1984,528,7,0,71
3,29,0,1984,517,7,0,662
3,30,0,0,0,0,0,0
3,31,0,1984,517,7,0,74
3,32,0,1984,594,7,0,27
3,33,0,1984,594,7,0,22
3,34,0,1984,594,7,0,46
3,35,0,1984,594,7,0,28
3,36,0,1984,594,7,0,28
3,37,0,1984,594,7,0,81.5
3,38,0,1984,594,7,0,100
3,39,0,1984,595,7,0,41
3,40,0,1984,595,7,0,4596
3,41,0,1984,595,7,0,57
3,42,0,1984,562,7,0,13
3,43,0,1984,544,7,0,107
3,44,0,1984,516,7,0,6
0,0,10,1985,767,10,35,37
0,1,6,1985,767,10,23,24
0,2,6,1985,767,10,23,72.7
0,3,3,1984,767,10,22,3
0,4,6,1985,767,10,23,207
0,5,6,1985,767,10,23,4
0,6,5,1984,767,10,19,162.8
0,7,10,1985,767,10,35,46
0,8,6,1984,771,10,23,33
0,9,9,1984,771,10,6,132
0,10,2,1984,773,10,20,2
0,11,6,1984,775,10,23,57
0,12,0,1984,786,10,26,9
0,13,6,1984,783,10,23,82
0,14,5,1984,783,10,19,2
0,15,10,1985,786,10,35,46
0,16,2,1984,767,10,20,1
0,17,2,1984,771,10,20,1
0,18,5,1984,827,10,19,2
0,19,9,1985,846,10,6,49
0,20,1,1985,844,10,13,12
0,21,3,1984,809,10,22,3
0,22,3,1984,825,10,22,2
0,23,7,1985,787,10,7,2
0,24,5,1984,834,10,19,22
0,25,5,1985,835,10,19,1
0,26,14,1985,784,10,14,118
0,27,1,1985,811,10,13,1
0,28,0,1984,771,10,26,61
0,29,14,1984,771,10,14,135
0,30,0,0,0,0,0,0
0,31,11,1985,835,10,1,60
0,32,7,1985,849,10,7,7
0,33,3,1984,849,10,22,4
0,34,8,1984,849,10,37,51
0,35,14,1985,849,10,14,6
0,36,14,1985,849,10,14,6
0,37,3,1984,849,10,22,100
0,38,1,1984,849,10,13,100
0,39,5,1984,850,10,19,50.7
0,40,11,1984,850,10,1,699
0,41,2,1984,850,10,20,62
0,42,4,1984,816,10,11,6
0,43,9,1984,799,10,6,10
0,44,5,1985,804,10,19,3
1,0,0,1984,767,10,0,260
1,1,0,1984,767,10,0,143
1,2,0,1984,767,10,0,55
1,3,0,1984,767,10,0,8
1,4,0,1984,767,10,0,1330
1,5,0,1984,767,10,0,9
1,6,0,1984,767,10,0,103.2
1,7,0,1984,767,10,0,42
1,8,0,1984,771,10,0,311
1,9,0,1984,771,10,0,1396
1,10,0,1984,773,10,0,8
1,11,0,1984,775,10,0,57
1,12,0,1984,779,10,0,44
1,13,0,1984,783,10,0,480
1,14,0,1984,783,10,0,4
1,15,0,1984,779,10,0,42
1,16,0,1984,767,10,0,2
1,17,0,1984,771,10,0,2
1,18,0,1984,834,10,0,3
1,19,0,1984,827,10,0,48
1,20,0,1984,834,10,0,83
1,21,0,1984,819,10,0,8
1,22,0,1984,836,10,0,4
1,23,0,1984,834,10,0,3
1,24,0,1984,834,10,0,23
1,25,0,0,0,0,0,0
1,26,0,1984,771,10,0,489
1,27,0,0,0,0,0,0
1,28,0,1984,771,10,0,61
1,29,0,1984,771,10,0,505
1,30,0,0,0,0,0,0
1,31,0,1984,771,10,0,34
1,32,0,1984,849,10,0,30
1,33,0,1984,849,10,0,19
1,34,0,1984,849,10,0,51
1,35,0,1984,849,10,0,25
1,36,0,1984,849,10,0,25
1,37,0,1984,849,10,0,63.3
1,38,0,0,0,0,0,0
1,39,0,1984,850,10,0,44.9
1,40,0,1984,850,10,0,4799
1,41,0,1984,850,10,0,62
1,42,0,1984,816,10,0,12
1,43,0,1984,799,10,0,65
1,44,0,1984,773,10,0,1
2,0,0,1984,767,10,26,31
2,1,0,1984,767,10,26,18
2,2,0,1984,767,10,26,58.1
2,3,0,1984,767,10,26,2
2,4,0,1984,767,10,26,143
2,5,0,1984,767,10,26,1
2,6,0,1984,767,10,26,94.6
2,7,0,1984,767,10,26,19
2,8,0,1984,771,10,26,20
2,9,0,1984,771,10,26,97
2,10,0,1984,773,10,26,1
2,11,0,1984,771,10,26,34
2,12,0,1984,786,10,26,9
2,13,0,1984,786,10,26,77
2,14,0,1984,786,10,26,1
2,15,0,1984,786,10,26,19
2,16,0,1984,771,10,26,1
2,17,0,1984,771,10,26,1
2,18,0,0,0,0,0,0
2,19,0,0,0,0,0,0
2,20,0,1984,826,10,26,8
2,21,0,1984,819,10,26,2
2,22,0,0,0,0,0,0
2,23,0,0,0,0,0,0
2,24,0,0,0,0,0,0
2,25,0,0,0,0,0,0
2,26,0,1984,771,10,26,99
2,27,0,0,0,0,0,0
2,28,0,1984,771,10,26,61
2,29,0,1984,771,10,26,16
2,30,0,0,0,0,0,0
2,31,0,1984,771,10,26,16
2,32,0,1984,849,10,26,2
2,33,0,1984,849,10,26,2
2,34,0,1984,849,10,26,32
2,35,0,1984,849,10,26,2
2,36,0,1984,849,10,26,2
2,37,0,1984,849,10,26,100
2,38,0,1984,849,10,26,100
2,39,0,1984,850,10,26,45.4
2,40,0,1984,850,10,26,318
2,41,0,1984,850,10,26,51
2,42,0,1984,825,10,26,2
2,43,0,1984,799,10,26,4
2,44,0,0,0,0,0,0
3,0,0,1984,767,10,0,260
3,1,0,1984,767,10,0,143
3,2,0,1984,767,10,0,55
3,3,0,1984,767,10,0,8
3,4,0,1984,767,10,0,1330
3,5,0,1984,767,10,0,9
3,6,0,1984,767,10,0,103.2
3,7,0,1984,767,10,0,42
3,8,0,1984,771,10,0,311
3,9,0,1984,771,10,0,1396
3,10,0,1984,773,10,0,8
3,11,0,1984,775,10,0,57
3,12,0,1984,779,10,0,44
3,13,0,1984,783,10,0,480
3,14,0,1984,783,10,0,4
3,15,0,1984,779,10,0,42
3,16,0,1984,767,10,0,2
3,17,0,1984,771,10,0,2
3,18,0,1984,834,10,0,3
3,19,0,1984,827,10,0,48
3,20,0,1984,834,10,0,83
3,21,0,1984,819,10,0,8
3,22,0,1984,836,10,0,4
3,23,0,1984,834,10,0,3
3,24,0,1984,834,10,0,23
3,25,0,0,0,0,0,0
3,26,0,1984,771,10,0,489
3,27,0,0,0,0,0,0
3,28,0,1984,771,10,0,61
3,29,0,1984,771,10,0,505
3,30,0,0,0,0,0,0
3,31,0,1984,771,10,0,34
3,32,0,1984,849,10,0,30
3,33,0,1984,849,10,0,19
3,34,0,1984,849,10,0,51
3,35,0,1984,849,10,0,25
3,36,0,1984,849,10,0,25
3,37,0,1984,849,10,0,63.3
3,38,0,0,0,0,0,0
3,39,0,1984,850,10,0,44.9
3,40,0,1984,850,10,0,4799
3,41,0,1984,850,10,0,62
3,42,0,1984,816,10,0,12
3,43,0,1984,799,10,0,65
3,44,0,1984,773,10,0,1
0,0,11,1985,855,11,7,46
0,1,14,1984,852,11,35,24
0,2,10,1984,852,11,1,75
0,3,1,1984,852,11,16,2
0,4,13,1984,852,11,19,268
