WeekNumber,GameID,Season,TeamID,Team,PlayerID,G,GS,Championships,ChampionshipYears,MadePlayoffs,Wins,Losses,Ties,WinPct,Round1Wins,Round1Losses,Rounds1WinPct,Round2Wins,Round2Losses,Round2WinPct,Round3Wins,Round3Losses,Round3WinPct,ChampionshipWins,ChampionshipLosses,ChampionshipWinPct,ELORating,Plays,RushAtt,Catches,PassAtt,PassCmp,PassInt,PassYds,PassYdsAgainst,TotalYdsAgainst,TotalYds,RushYdsAgainst,PassTD,PassRating,PassingAttemptsPerGame,PassingYardsPerAttempt,PassingYardsPerCompletion,SackPct,PassingYdsPerGame,RushYds,RecYds,RushTD,RecTD,RunLong,PassLong,RecLong,PuntLong,KRLong,PRLong,FGLong,Int,IntReturnYds,Fumbles,FumblesLost,FumReturnYds,Pancakes,MissedTackles,DroppedPasses,PassesDefensed,SacksAllowed,MissedBlocks,TeamOwner,WasSacked,SackedYards,Tackles,TFL,Sacks,Hurries,Knockdowns,Safeties,ForcedFumbles,FumblesRecovered,DefensiveTD,BlockedFG,BlockedPAT,BlockedPunt,Penalties,PenaltyYds,Punts,PuntYds,PuntsInside20,PuntReturns,PuntReturnYds,PuntReturnTD,KickoffReturns,KickoffReturnYds,KickoffReturnTD,FGA_U20,FGA_2029,FGA_3039,FGA_4049,FGA_50,FGM_U20,FGM_2029,FGM_3039,FGM_4049,FGM_50,FGA,FGM,XPA,XPM,POG,POW,POY,POYYears,ProBowl,ProBowlYears,MVP,MVPYears,PlayoffMVP,PlayoffMVPYears,ROY,ROYYears,RushAvg,PassAvg,PassPct,RecAvg,FGPct,XPPct,PuntAvg,PuntReturnAvg,KickReturnAvg,RushingAttPerGame,RushingYdsPerGame,RushFDPct,CatchesPerGame,ReceivingYdsPerGame,RecFDPct,KickingPoints,Points,PointsFor,PointsAgainst,Rush20,Rush40,RushFD,Pass20,Pass40,PassFD,Rec20,Rec40,RecFD,CtA,Tar,Job
,0,1985,7,CIN,3841,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,25,38,25,0,213,243,445,303,202,2,97.8,0,5.6,8.5,0,0,90,213,0,2,24,18,18,58,35,0,48,0,0,2,1,1,23,5,2,3,0,5,,2,18,36,3,2,1,2,0,2,2,0,0,0,0,6,44,5,255,3,0,0,0,7,166,0,0,1,0,1,0,0,1,0,1,0,2,2,2,2,0,0,0,,0,,0,,0,,0,,3.8,5.6,65.8,8.5,100,100,51,0,23.7,0,0,16.7,0,0,36,8,20,20,34,1,0,4,0,0,9,0,0,9,15,62,Head Coach
,0,1985,14,ATL,23772,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Defensive Coordinator
,0,1985,2,MIA,29522,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Head Coach
,0,1985,11,CHI,56262,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,21,26,21,1,224,143,299,317,156,1,99.4,0,8.6,10.7,0,0,93,224,1,1,12,28,28,58,27,13,0,0,0,0,0,3,29,2,0,4,3,8,,3,20,57,6,2,6,1,0,3,2,0,0,0,0,15,126,6,264,1,1,13,0,6,119,0,0,0,0,1,0,0,0,0,0,0,1,0,2,2,1,0,0,,0,,0,,0,,0,,3.1,8.6,80.8,10.7,0,100,44,13,19.8,0,0,16.7,0,0,38.1,2,14,14,23,0,0,5,4,0,8,4,0,8,15,54,Offensive Coordinator
,0,1985,12,DET,61172,0,0,0,,0,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,32,59,32,1,292,348,462,597,114,1,66.5,0,4.9,9.1,0,0,305,292,3,1,26,27,27,56,33,17,48,3,90,4,2,0,69,9,2,8,1,22,,5,39,96,18,6,10,3,0,1,2,0,0,0,1,11,111,9,379,3,8,59,0,6,120,0,0,1,3,4,0,0,0,2,3,0,8,5,4,4,2,0,0,,0,,0,,0,,0,,3.5,4.9,54.2,9.1,62.5,100,42.1,7.4,20,0,0,17.4,0,0,43.8,19,43,43,35,2,0,15,3,0,14,3,0,14,51,131,Head Coach
,0,1985,15,SF,67835,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Offensive Coordinator
,0,1985,11,CHI,70157,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,21,26,21,1,224,143,299,317,156,1,99.4,0,8.6,10.7,0,0,93,224,1,1,12,28,28,58,27,13,0,0,0,0,0,3,29,2,0,4,3,8,,3,20,57,6,2,6,1,0,3,2,0,0,0,0,15,126,6,264,1,1,13,0,6,119,0,0,0,0,1,0,0,0,0,0,0,1,0,2,2,1,0,0,,0,,0,,0,,0,,3.1,8.6,80.8,10.7,0,100,44,13,19.8,0,0,16.7,0,0,38.1,2,14,14,23,0,0,5,4,0,8,4,0,8,15,54,Head Coach
,0,1985,16,PHI,95660,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,11,23,11,0,190,150,255,238,105,0,76.4,0,8.3,17.3,0,0,48,190,1,0,9,47,47,52,28,11,0,1,30,1,0,0,30,4,3,4,4,8,,6,55,57,10,1,2,2,0,0,1,0,0,0,0,13,91,8,339,2,2,16,0,4,99,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,,0,,0,,0,,0,,1.8,8.3,47.8,17.3,0,100,42.4,8,24.8,0,0,7.7,0,0,54.5,1,7,7,16,0,0,2,4,1,6,4,1,6,14,40,Head Coach
,0,1985,8,PRO,122637,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Head Coach
,0,1985,18,CLM,136373,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Defensive Coordinator
