RecordType,RecordID,Week,Season,PlayerID,TeamID,VsTeamID,RecordValue
0,0,2,1985,2036,12,13,45
0,1,6,1985,1832,3,6,34
0,2,5,1985,1989,3,18,100
0,3,15,1985,2155,18,14,4
0,4,16,1985,1923,16,11,494
0,5,16,1985,1923,16,11,6
0,6,13,1985,1923,16,14,158.3
0,7,5,1985,1832,3,18,88
0,8,14,1985,1823,6,5,36
0,9,2,1985,1833,9,1,229
0,10,8,1985,2026,4,15,4
0,11,10,1985,1809,14,17,81
0,12,1,1985,1880,5,7,12
0,13,16,1985,1827,16,11,248
0,14,16,1985,1827,16,11,4
0,15,5,1985,2282,3,18,88
0,16,10,1985,1851,13,5,5
0,17,2,1985,1851,13,12,2
0,18,1,1985,2353,10,6,2
0,19,14,1985,2706,16,18,95
0,20,5,1985,1810,17,12,19
0,21,7,1985,1818,5,9,8
0,22,3,1985,1818,5,9,3
0,23,3,1985,1818,5,9,2
0,24,9,1985,2144,7,5,34
0,25,1,1985,2025,7,5,1
0,26,2,1985,1889,12,13,99
0,27,2,1985,1889,12,13,1
0,28,10,1985,1913,2,9,84
0,29,12,1985,1862,4,8,181
0,30,11,1985,1947,10,11,1
0,31,11,1985,1947,10,11,100
0,32,3,1985,2209,7,6,7
0,33,3,1985,2209,7,6,6
0,34,1,1985,2634,9,8,56
0,35,13,1985,2102,16,14,8
0,36,13,1985,2102,16,14,8
0,37,1,1985,2209,7,5,100
0,38,1,1985,2210,5,7,100
0,39,4,1985,2570,2,14,53.7
0,40,10,1985,2861,13,5,564
0,41,12,1985,2863,18,1,63
0,42,1,1985,2199,11,12,7
0,43,1,1985,1835,14,15,12
0,44,9,1985,2515,16,10,4
1,0,0,1985,1832,3,0,551
1,1,0,1985,1832,3,0,384
1,2,0,1985,1819,8,0,70.4
1,3,0,1985,1944,5,0,13
1,4,0,1985,1832,3,0,4390
1,5,0,1985,1832,3,0,40
1,6,0,1985,1923,16,0,124
1,7,0,1985,1832,3,0,88
1,8,0,1985,1908,5,0,442
1,9,0,1985,1809,14,0,1889
1,10,0,1985,1824,1,0,17
1,11,0,1985,1809,14,0,81
1,12,0,1985,1870,8,0,111
1,13,0,1985,1827,16,0,1274
1,14,0,1985,1928,1,0,15
1,15,0,1985,2282,4,0,88
1,16,0,1985,1851,13,0,21
1,17,0,1985,1869,9,0,7
1,18,0,1985,2335,16,0,6
1,19,0,1985,2335,16,0,189
1,20,0,1985,1810,17,0,222
1,21,0,1985,1839,10,0,26
1,22,0,1985,1818,5,0,10
1,23,0,1985,1851,13,0,10
1,24,0,1985,1981,12,0,36
1,25,0,1985,2335,16,0,3
1,26,0,1985,1889,12,0,395
1,27,0,1985,1889,12,0,1
1,28,0,1985,1913,2,0,84
1,29,0,1985,1809,14,0,999
1,30,0,1985,1947,10,0,1
1,31,0,1985,1947,10,0,100
1,32,0,1985,2406,4,0,39
1,33,0,1985,2406,4,0,31
1,34,0,1985,2481,3,0,56
1,35,0,1985,2275,1,0,56
1,36,0,1985,2275,1,0,53
1,37,0,1985,1977,18,0,92.6
1,38,0,1985,2483,2,0,100
1,39,0,1985,2861,13,0,45.1
1,40,0,1985,2276,6,0,4860
1,41,0,1985,2278,8,0,63
1,42,0,1985,2537,15,0,39
1,43,0,1985,1932,16,0,105
1,44,0,1985,2515,16,0,18
2,0,0,1985,2420,1,9,41
2,1,0,1985,1816,7,4,25
2,2,0,1985,1813,11,12,80.8
2,3,0,1985,1869,9,4,3
2,4,0,1985,1964,4,7,243
2,5,0,1985,1964,4,7,3
2,6,0,1985,1964,4,7,141.5
2,7,0,1985,1964,4,7,65
2,8,0,1985,1814,17,16,32
2,9,0,1985,1946,4,7,112
2,10,0,1985,1869,9,1,1
2,11,0,1985,1946,4,7,51
2,12,0,1985,2237,9,4,8
2,13,0,1985,1852,16,17,111
