StreakID,CurrentStreak,MaxStreak,PlayerID
ConsecutiveGamesPlayed,16,16,1824
GamesWith100YardsRushing,1,2,1824
GamesWRecTD,0,1,1824
GamesWRushTD,0,5,1824
ConsecutiveGamesPlayed,11,11,1828
ConsecutiveGamesPlayed,16,16,1848
GamesWSack,0,2,1848
ConsecutiveGamesPlayed,16,16,1875
GamesWSack,4,4,1875
ConsecutiveGamesPlayed,3,12,1902
GamesWSack,0,1,1902
ConsecutiveGamesPlayed,16,16,1906
GamesWPassTD,12,12,1906
ConsecutivePassesNoInt,25,71,1906
ConsecutiveCompletions,1,9,1906
GamesWith300Yards,0,1,1906
GamesWNoInt,1,2,1906
ConsecutiveGamesPlayed,16,16,1921
GamesWInt,0,1,1921
GamesWSack,0,1,1921
ConsecutiveGamesPlayed,6,9,1949
ConsecutiveGamesPlayed,16,16,1985
GamesWInt,0,1,1985
ConsecutiveGamesPlayed,5,9,1928
GamesWith100YardsReceiving,0,3,1928
GamesWRecTD,1,3,1928
GamesWRushTD,0,1,1928
ConsecutiveGamesPlayed,16,16,1998
GamesWRecTD,0,2,1998
GamesWRushTD,1,1,1998
ConsecutiveGamesPlayed,2,11,1999
GamesWRecTD,0,2,1999
GamesWRushTD,1,1,1999
ConsecutiveGamesPlayed,16,16,2017
GamesWInt,0,1,2017
ConsecutiveGamesPlayed,0,8,2015
GamesWSack,0,1,2015
ConsecutiveGamesPlayed,16,16,2051
ConsecutiveGamesPlayed,0,12,2232
ConsecutiveGamesPlayed,16,16,2250
ConsecutiveGamesPlayed,16,16,2348
ConsecutiveGamesPlayed,16,16,2340
GamesWInt,0,1,2340
ConsecutiveGamesPlayed,16,16,2275
ConsecutiveFGMade,0,18,2275
ConsecutiveGamesPlayed,16,16,2398
GamesWSack,0,1,2398
ConsecutiveGamesPlayed,16,16,2131
ConsecutiveGamesPlayed,16,16,2485
ConsecutiveFGMade,2,2,2485
ConsecutiveGamesPlayed,16,16,2175
GamesWith100YardsReceiving,1,1,2175
GamesWRecTD,0,1,2175
ConsecutiveGamesPlayed,16,16,1995
GamesWRushTD,0,1,1995
ConsecutiveGamesPlayed,1,1,2072
ConsecutivePassesNoInt,9,9,2072
ConsecutiveCompletions,1,2,2072
GamesWNoInt,1,1,2072
ConsecutiveGamesPlayed,0,3,2327
ConsecutiveGamesPlayed,12,12,2784
ConsecutiveGamesPlayed,16,16,2336
GamesWSack,0,1,2336
ConsecutiveGamesPlayed,16,16,2397
ConsecutiveGamesPlayed,4,4,2262
ConsecutiveGamesPlayed,16,16,2394
GamesWSack,0,1,2394
ConsecutiveGamesPlayed,4,10,2870
GamesWSack,0,1,2870
ConsecutiveGamesPlayed,0,3,2307
ConsecutiveGamesPlayed,0,12,2593
ConsecutiveGamesPlayed,16,16,2464
GamesWSack,1,1,2464
ConsecutiveGamesPlayed,16,16,2432
GamesWRecTD,0,1,2432
ConsecutiveGamesPlayed,0,2,2118
ConsecutiveGamesPlayed,1,12,2566
ConsecutiveGamesPlayed,0,3,2623
ConsecutiveGamesPlayed,0,1,2318
ConsecutiveGamesPlayed,0,13,2619
GamesWSack,0,2,2619
ConsecutiveGamesPlayed,16,16,2849
ConsecutiveGamesPlayed,1,1,2420
ConsecutivePassesNoInt,4,4,2420
ConsecutiveCompletions,2,2,2420
GamesWNoInt,1,1,2420
ConsecutiveGamesPlayed,0,9,2598
ConsecutiveGamesPlayed,14,14,2683
GamesWSack,0,2,2683
ConsecutiveGamesPlayed,16,16,3231
GamesWSack,0,1,3231
ConsecutiveGamesPlayed,0,4,2659
GamesWRecTD,0,1,2659
ConsecutiveGamesPlayed,0,1,2729
ConsecutiveGamesPlayed,4,5,2738
ConsecutiveGamesPlayed,0,12,2774
ConsecutiveGamesPlayed,8,8,1888
GamesWPassTD,1,5,1888
ConsecutivePassesNoInt,141,141,1888
ConsecutiveCompletions,1,9,1888
GamesWNoInt,5,5,1888
ConsecutiveGamesPlayed,16,16,1822
GamesWith100YardsReceiving,0,1,1822
GamesWRecTD,1,2,1822
GamesWRushTD,0,1,1822
ConsecutiveGamesPlayed,9,9,1913
GamesWRecTD,0,1,1913
GamesWRushTD,0,1,1913
ConsecutiveGamesPlayed,1,14,1911
GamesWith100YardsRushing,0,1,1911
GamesWRushTD,1,4,1911
ConsecutiveGamesPlayed,3,10,1931
ConsecutiveGamesPlayed,6,8,1940
GamesWSack,0,1,1940
ConsecutiveGamesPlayed,15,15,2308
ConsecutiveGamesPlayed,6,6,2031
ConsecutiveGamesPlayed,16,16,2010
ConsecutiveGamesPlayed,16,16,2139
GamesWSack,0,1,2139
ConsecutiveGamesPlayed,16,16,2152
GamesWInt,0,1,2152
GamesWSack,0,1,2152
ConsecutiveGamesPlayed,1,14,2220
GamesWSack,1,1,2220
ConsecutiveGamesPlayed,16,16,2334
GamesWInt,0,1,2334
ConsecutiveGamesPlayed,7,7,2183
ConsecutiveGamesPlayed,16,16,2280
ConsecutiveGamesPlayed,16,16,2138
GamesWSack,0,2,2138
ConsecutiveGamesPlayed,14,14,2718
ConsecutiveGamesPlayed,15,15,2333
GamesWSack,1,1,2333
ConsecutiveGamesPlayed,16,16,2853
GamesWSack,0,1,2853
ConsecutiveGamesPlayed,16,16,2483
ConsecutiveFGMade,0,5,2483
ConsecutiveGamesPlayed,16,16,2261
GamesWInt,0,1,2261
ConsecutiveGamesPlayed,16,16,2508
ConsecutiveGamesPlayed,16,16,2876
ConsecutiveGamesPlayed,0,1,2284
GamesWPassTD,0,1,2284
ConsecutivePassesNoInt,11,11,2284
ConsecutiveCompletions,0,4,2284
GamesWNoInt,0,1,2284
ConsecutiveGamesPlayed,16,16,2570
ConsecutiveFGMade,1,1,2570
ConsecutiveGamesPlayed,0,9,2367
GamesWRecTD,0,2,2367
ConsecutiveGamesPlayed,16,16,2368
GamesWith100YardsReceiving,0,1,2368
GamesWRecTD,0,4,2368
GamesWRushTD,0,1,2368
ConsecutiveGamesPlayed,16,16,2927
ConsecutiveGamesPlayed,16,16,2866
GamesWSack,1,1,2866
ConsecutiveGamesPlayed,16,16,1996
GamesWith100YardsRushing,0,1,1996
GamesWRecTD,0,1,1996
GamesWRushTD,0,1,1996
ConsecutiveGamesPlayed,16,16,2330
GamesWSack,0,1,2330
ConsecutiveGamesPlayed,8,8,2403
GamesWInt,0,1,2403
ConsecutiveGamesPlayed,16,16,2511
GamesWRecTD,0,1,2511
ConsecutiveGamesPlayed,1,11,2241
ConsecutiveGamesPlayed,0,1,2319
ConsecutiveGamesPlayed,0,3,2453
ConsecutiveGamesPlayed,16,16,2462
GamesWSack,0,2,2462
ConsecutiveGamesPlayed,1,2,2156
GamesWPassTD,0,2,2156
ConsecutivePassesNoInt,23,23,2156
ConsecutiveCompletions,0,8,2156
GamesWNoInt,0,2,2156
ConsecutiveGamesPlayed,0,10,2546
GamesWInt,0,1,2546
GamesWSack,0,1,2546
ConsecutiveGamesPlayed,2,5,2564
GamesWInt,0,2,2564
ConsecutiveGamesPlayed,0,3,2548
ConsecutiveGamesPlayed,16,16,3057
GamesWSack,0,1,3057
ConsecutiveGamesPlayed,4,4,2229
ConsecutiveGamesPlayed,1,4,2383
ConsecutiveGamesPlayed,0,2,2521
ConsecutiveGamesPlayed,0,6,2565
GamesWInt,0,1,2565
ConsecutiveGamesPlayed,0,5,2359
ConsecutiveGamesPlayed,1,5,2671
ConsecutiveGamesPlayed,3,11,2731
GamesWRecTD,0,1,2731
ConsecutiveGamesPlayed,3,4,2771
ConsecutiveGamesPlayed,16,16,2832
GamesWSack,0,1,2832
ConsecutiveGamesPlayed,16,16,2904
ConsecutiveGamesPlayed,11,11,2986
ConsecutiveGamesPlayed,10,10,1812
GamesWith100YardsRushing,1,1,1812
GamesWRecTD,0,1,1812
GamesWRushTD,0,2,1812
ConsecutiveGamesPlayed,16,16,1832
GamesWPassTD,16,16,1832
ConsecutivePassesNoInt,13,120,1832
ConsecutiveCompletions,2,16,1832
GamesWith300Yards,0,2,1832
GamesWNoInt,0,3,1832
ConsecutiveGamesPlayed,16,16,1887
GamesWRecTD,0,2,1887
ConsecutiveGamesPlayed,16,16,1890
GamesWSack,1,1,1890
ConsecutiveGamesPlayed,14,14,1900
GamesWith100YardsReceiving,0,4,1900
GamesWRecTD,0,2,1900
GamesWRushTD,0,1,1900
ConsecutiveGamesPlayed,3,12,1988
GamesWith100YardsReceiving,0,1,1988
GamesWRecTD,0,3,1988
GamesWRushTD,0,1,1988
ConsecutiveGamesPlayed,16,16,1952
ConsecutiveGamesPlayed,16,16,1982
GamesWSack,1,1,1982
ConsecutiveGamesPlayed,16,16,2060
ConsecutiveGamesPlayed,16,16,1976
GamesWInt,1,1,1976
GamesWSack,0,1,1976
ConsecutiveGamesPlayed,16,16,2125
ConsecutiveGamesPlayed,16,16,2096
GamesWInt,0,1,2096
ConsecutiveGamesPlayed,0,1,1989
ConsecutivePassesNoInt,1,1,1989
ConsecutiveCompletions,1,1,1989
GamesWNoInt,0,1,1989
ConsecutiveGamesPlayed,16,16,1971
ConsecutiveGamesPlayed,16,16,2257
GamesWSack,0,1,2257
ConsecutiveGamesPlayed,16,16,2413
GamesWInt,0,1,2413
ConsecutiveGamesPlayed,1,7,2110
GamesWRushTD,1,1,2110
ConsecutiveGamesPlayed,11,11,2350
GamesWSack,1,1,2350
ConsecutiveGamesPlayed,16,16,2256
GamesWSack,1,3,2256
ConsecutiveGamesPlayed,16,16,2311
ConsecutiveGamesPlayed,16,16,2321
GamesWSack,0,1,2321
ConsecutiveGamesPlayed,16,16,2196
ConsecutiveGamesPlayed,16,16,2573
GamesWSack,0,1,2573
ConsecutiveGamesPlayed,16,16,2281
GamesWRecTD,0,1,2281
ConsecutiveGamesPlayed,16,16,2575
GamesWRecTD,1,1,2575
ConsecutiveGamesPlayed,16,16,2063
ConsecutiveGamesPlayed,16,16,2620
ConsecutiveGamesPlayed,0,3,2191
ConsecutiveGamesPlayed,4,11,2411
GamesWSack,0,1,2411
ConsecutiveGamesPlayed,2,2,2469
ConsecutiveGamesPlayed,16,16,2379
ConsecutiveGamesPlayed,1,7,2514
ConsecutiveGamesPlayed,16,16,2603
ConsecutiveGamesPlayed,1,2,2572
ConsecutiveGamesPlayed,16,16,2533
ConsecutiveGamesPlayed,16,16,3053
ConsecutiveFGMade,0,1,3053
ConsecutiveGamesPlayed,0,1,2516
ConsecutiveGamesPlayed,0,4,2523
ConsecutiveGamesPlayed,16,16,3209
GamesWSack,1,1,3209
ConsecutiveGamesPlayed,1,2,2690
ConsecutiveGamesPlayed,16,16,3022
GamesWSack,0,1,3022
ConsecutiveGamesPlayed,1,6,2696
ConsecutiveGamesPlayed,0,2,2773
ConsecutiveGamesPlayed,16,16,3042
ConsecutiveGamesPlayed,7,7,3182
GamesWRecTD,0,1,3182
ConsecutiveGamesPlayed,16,16,1965
GamesWRecTD,0,1,1965
GamesWRushTD,0,1,1965
ConsecutiveGamesPlayed,12,12,1925
GamesWRecTD,3,3,1925
GamesWRushTD,0,1,1925
ConsecutiveGamesPlayed,16,16,2035
GamesWSack,0,1,2035
ConsecutiveGamesPlayed,5,5,2184
ConsecutiveGamesPlayed,13,13,2481
ConsecutiveFGMade,6,10,2481
ConsecutiveGamesPlayed,0,1,2502
ConsecutiveGamesPlayed,16,16,1811
GamesWInt,0,1,1811
GamesWSack,0,1,1811
ConsecutiveGamesPlayed,16,16,1862
GamesWInt,0,2,1862
GamesWSack,0,1,1862
ConsecutiveGamesPlayed,16,16,1892
GamesWInt,1,1,1892
ConsecutiveGamesPlayed,16,16,2055
GamesWSack,0,1,2055
ConsecutiveGamesPlayed,16,16,1954
GamesWSack,0,3,1954
ConsecutiveGamesPlayed,16,16,1918
GamesWSack,0,2,1918
ConsecutiveGamesPlayed,1,12,1879
GamesWith100YardsRushing,0,2,1879
GamesWRushTD,0,4,1879
ConsecutiveGamesPlayed,16,16,2026
GamesWith100YardsRushing,0,1,2026
GamesWRushTD,0,2,2026
ConsecutiveGamesPlayed,16,16,2033
GamesWith100YardsReceiving,1,2,2033
GamesWRecTD,1,5,2033
GamesWRushTD,0,1,2033
ConsecutiveGamesPlayed,2,11,2066
GamesWith100YardsReceiving,1,1,2066
GamesWRecTD,0,3,2066
ConsecutiveGamesPlayed,16,16,1964
GamesWPassTD,8,8,1964
ConsecutivePassesNoInt,6,143,1964
ConsecutiveCompletions,4,10,1964
GamesWith300Yards,1,1,1964
GamesWNoInt,0,5,1964
ConsecutiveGamesPlayed,2,12,2214
ConsecutiveGamesPlayed,16,16,2092
GamesWSack,0,1,2092
