Season,GameID,OPOGPlayerID,DPOGPlayerID,Simmed,Weather,HomeTeamID,AwayTeamID,Week,HomeScore1Q,HomeScore2Q,HomeScore3Q,HomeScore4Q,HomeScoreOT,AwayScore1Q,AwayScore2Q,AwayScore3Q,AwayScore4Q,AwayScoreOT,AwayScore,HomeScore,Overtime,HomePlaysRun,AwayPlaysRun,PlaysRun,HomeTOP,AwayTOP,Home1stDowns,Away1stDowns,Home3rdDownAtt,Away3rdDownAtt,Home3rdDownComp,Away3rdDownComp,Home4thDownAtt,Away4thDownAtt,Home4thDownComp,Away4thDownComp,HomeTotalYds,AwayTotalYds,HomePassYds,HomePassAtt,HomePassCmp,HomeRushYds,HomeRushAtt,AwayPassYds,AwayPassAtt,AwayPassCmp,AwayRushYds,AwayRushAtt,HomePenalties,HomePenaltyYds,AwayPenalties,AwayPenaltyYds,HomeFumbles,HomeFumblesLost,HomeInt,AwayFumbles,AwayFumblesLost,AwayInt,HomeSacked,AwaySacked,HomeSackedYds,AwaySackedYds,GameType,PlayoffGameType
1986,837,1809,3549,True,"82° F, Wind 15 mph",14,2,-4,7,0,7,7,0,3,0,0,15,0,18,21,False,51,63,114,1730,1870,19,15,14,12,8,5,1,0,0,0,242,478,107,16,12,128,35,291,24,18,183,39,7,52,4,49,1,0,0,1,1,0,3,2,13,14,Preseason,WildCard
1986,838,2235,2923,True,"54° F, Wind 22 mph",9,11,-4,7,3,7,7,0,0,3,14,17,0,34,24,False,64,42,106,1643,1957,15,18,13,17,4,7,0,1,0,1,356,237,197,30,18,159,34,207,14,11,103,28,6,64,8,86,1,1,0,0,0,0,1,0,6,0,Preseason,WildCard
1986,839,1907,3600,True,"69° F, Wind 4 mph",15,18,-4,7,14,3,7,0,6,0,3,7,0,16,31,False,81,58,139,1776,1824,17,19,15,14,8,5,1,3,1,2,452,314,344,43,27,108,38,110,19,12,204,39,12,108,9,72,1,1,2,3,2,0,1,0,6,0,Preseason,WildCard
1986,840,1827,1830,True,"88° F, Wind 15 mph, Rain",16,17,-4,10,3,7,7,0,0,0,7,0,0,7,27,False,76,55,131,1807,1793,15,18,15,12,5,3,0,2,0,1,337,259,207,30,20,130,46,181,24,19,78,31,4,46,8,70,0,0,1,1,1,0,0,2,0,7,Preseason,WildCard
1986,841,1947,1818,True,"64° F, Wind 4 mph",5,10,-4,0,7,7,10,3,10,7,0,7,0,24,27,True,57,61,118,1778,2194,18,19,12,12,6,5,0,1,0,0,210,360,127,23,13,83,34,166,19,12,194,42,2,15,3,29,3,2,1,0,0,0,2,0,14,0,Preseason,WildCard
1986,842,3390,2142,True,"61° F, Wind 5 mph",6,4,-4,3,14,0,14,0,0,0,0,7,0,7,31,False,57,63,120,2289,1311,18,11,12,12,6,4,0,3,0,1,228,380,104,24,15,124,33,334,26,13,46,37,7,55,3,25,0,0,0,1,1,0,3,5,19,54,Preseason,WildCard
1986,843,1925,2469,True,"57° F, Wind 13 mph",3,8,-4,7,3,3,14,0,3,0,7,13,0,23,27,False,53,62,115,1800,1800,18,16,11,12,4,5,0,1,0,0,376,313,317,34,24,50,19,179,33,22,134,29,10,97,6,49,0,0,0,1,0,2,1,1,7,7,Preseason,WildCard
1986,844,1942,2024,True,"72° F, Indoors",13,7,-4,10,0,0,3,0,7,0,3,3,6,19,13,True,50,59,109,2023,1900,10,22,16,14,3,5,1,1,0,0,174,452,84,18,12,90,32,329,32,21,109,27,5,58,7,68,0,0,1,0,0,0,1,1,6,6,Preseason,WildCard
1986,845,1897,2065,True,"77° F, Wind 1 mph",1,12,-4,0,10,0,0,0,14,0,0,6,0,20,10,False,59,65,124,1837,1763,13,15,16,14,4,5,2,0,1,0,326,428,211,32,19,115,27,286,27,17,142,38,5,38,8,80,0,0,0,1,0,0,2,2,7,16,Preseason,WildCard
1986,846,2189,2619,True,"58° F, Wind 9 mph",9,1,-3,10,0,0,15,0,14,7,0,14,0,35,25,False,64,59,123,1936,1664,17,9,13,12,1,2,0,0,0,0,356,326,197,30,18,159,34,211,32,19,115,27,6,64,5,38,1,1,0,0,0,0,1,2,6,7,Preseason,WildCard
