PlayerID,Season,Type,Strength,Agility,Arm,Speed,Hands,Intelligence,Accuracy,RunBlocking,PassBlocking,Tackling,Endurance,KickDistance,KickAccuracy
1809,1985,,80,88,29,97,65,70,32,34,48,38,90,4,1
1809,1985,Training Camp,80,88,29,97,65,70,32,34,49,38,90,4,1
1809,1986,,80,88,29,97,65,70,32,34,49,38,91,4,1
1809,1986,Training Camp,80,88,29,97,68,70,32,34,49,38,91,4,1
1810,1985,,83,81,10,90,55,75,8,7,5,90,90,1,1
1810,1985,Training Camp,83,81,10,90,55,75,8,7,5,90,92,1,1
1810,1986,,83,81,10,90,55,75,8,7,5,91,92,1,1
1810,1986,Training Camp,86,81,10,90,55,75,8,7,5,91,93,1,1
1811,1985,,71,90,1,92,68,76,4,1,2,77,87,3,1
1811,1985,Training Camp,71,90,1,92,68,76,4,1,2,77,88,3,1
1811,1986,,71,90,1,92,68,76,4,1,2,77,89,3,1
1811,1986,Training Camp,71,90,1,92,68,76,4,1,2,77,89,3,1
1812,1985,,75,75,5,80,90,68,1,67,53,43,76,1,1
1812,1985,Training Camp,75,76,5,82,90,68,1,68,56,43,79,1,1
1812,1986,,76,76,5,82,90,69,1,68,57,43,79,1,1
1812,1986,Training Camp,76,76,5,82,92,69,1,71,57,43,79,1,1
1813,1985,,68,65,93,60,18,93,98,5,1,39,100,1,1
1813,1985,Training Camp,64,64,93,55,20,93,97,5,1,39,100,1,1
1813,1986,,64,64,93,55,21,93,97,5,1,39,100,1,1
1813,1986,Training Camp,60,62,92,53,21,93,96,5,1,39,100,1,1
1814,1985,,65,92,31,90,70,80,36,36,36,44,90,8,1
1814,1985,Training Camp,61,91,31,82,69,80,36,33,34,44,89,8,1
1815,1985,,59,79,90,65,21,92,94,1,1,31,84,1,5
1815,1985,Training Camp,59,79,90,67,21,92,94,1,1,31,84,1,5
1815,1986,,59,79,90,67,21,92,94,1,1,31,85,1,5
1815,1986,Training Camp,62,79,90,67,21,92,94,1,1,31,85,1,5
1816,1985,,65,70,97,60,29,85,97,1,4,29,92,3,1
1816,1985,Training Camp,65,71,97,60,29,85,97,1,4,29,92,3,1
1816,1986,,65,71,97,60,29,85,97,1,4,29,93,3,1
1816,1986,Training Camp,68,71,97,60,29,85,97,1,4,29,96,3,1
1817,1985,,79,83,1,80,60,69,2,1,1,83,88,2,10
1817,1985,Training Camp,79,83,1,80,60,71,2,1,1,85,89,2,10
1817,1986,,79,83,1,80,62,71,2,1,1,85,89,2,10
1817,1986,Training Camp,79,83,1,80,62,73,2,1,1,85,89,2,10
1818,1985,,85,80,7,71,55,70,1,5,1,85,85,1,2
1818,1985,Training Camp,85,80,7,71,55,70,1,5,1,85,85,1,2
1818,1986,,85,80,7,72,56,70,1,5,1,85,85,1,2
1818,1986,Training Camp,85,80,7,72,56,70,1,5,1,87,85,1,2
1819,1985,,63,65,92,65,23,92,84,5,1,39,89,9,1
1819,1985,Training Camp,63,65,92,65,23,92,84,5,1,39,89,9,1
1819,1986,,63,65,92,65,23,92,84,5,1,39,89,9,1
1819,1986,Training Camp,60,65,92,59,22,92,82,5,1,39,89,9,1
1820,1985,,92,63,5,63,13,61,1,88,83,44,65,1,5
1820,1985,Training Camp,92,63,5,63,15,63,1,88,85,44,65,1,5
1820,1986,,92,63,5,63,15,63,1,88,85,44,65,1,5
1820,1986,Training Camp,87,63,5,60,15,63,1,88,83,44,62,1,5
1821,1985,,86,75,8,78,44,59,1,9,5,78,84,3,1
1821,1985,Training Camp,80,74,8,74,44,59,1,9,5,78,83,3,1
1822,1985,,40,90,1,88,90,60,10,35,30,38,90,1,1
1822,1985,Training Camp,40,90,1,88,90,60,10,35,30,38,90,1,1
1822,1986,,40,90,1,88,91,60,10,35,30,38,90,1,1
1822,1986,Training Camp,40,90,1,88,92,60,10,35,30,38,90,1,1
1823,1985,,85,72,34,81,72,61,23,44,24,36,77,1,5
1823,1985,Training Camp,80,70,34,72,72,61,23,41,22,36,75,1,5
1824,1985,,72,85,30,85,75,66,35,38,39,50,97,1,1
1824,1985,Training Camp,72,85,30,88,75,66,35,38,39,50,97,1,1
1824,1986,,72,85,30,89,76,66,35,38,39,50,97,1,1
1824,1986,Training Camp,72,85,30,89,78,66,35,38,42,50,97,1,1
1825,1985,,73,84,1,85,70,66,1,5,1,64,89,1,1
1825,1985,Training Camp,73,87,1,85,70,66,1,5,1,64,89,1,1
1825,1986,,73,87,1,85,70,66,1,5,1,64,89,1,1
1825,1986,Training Camp,73,87,1,85,70,66,1,5,1,64,89,1,1
1826,1985,,45,95,8,95,99,80,7,30,32,34,95,7,5
1826,1985,Training Camp,47,95,8,95,99,82,7,31,32,34,97,7,5
1826,1986,,47,95,8,95,99,82,7,31,32,34,97,7,5
1826,1986,Training Camp,47,95,8,95,99,84,7,31,32,34,97,7,5
1827,1985,,50,90,1,90,90,55,8,34,19,42,85,1,1
1827,1985,Training Camp,50,92,1,90,90,55,8,34,19,42,87,1,1
1827,1986,,50,92,1,90,90,56,8,34,19,42,89,1,1
1827,1986,Training Camp,50,92,1,90,90,56,8,34,19,42,92,1,1
1828,1985,,84,57,10,56,19,72,1,86,89,59,78,9,10
1828,1985,Training Camp,84,60,10,56,19,72,1,86,89,59,80,9,10
1828,1986,,84,60,10,56,20,72,1,86,90,59,80,9,10
1828,1986,Training Camp,84,60,10,56,20,73,1,86,90,59,80,9,10
1829,1985,,79,85,1,91,60,56,8,3,1,66,83,1,1
1829,1985,Training Camp,77,83,1,86,57,55,8,3,1,64,81,1,1
1829,1986,,77,83,1,86,57,56,8,3,1,65,81,1,1
1829,1986,Training Camp,77,83,1,86,57,56,8,3,1,65,82,1,1
1830,1985,,74,79,1,78,51,75,1,1,1,80,90,1,1
1830,1985,Training Camp,67,79,1,79,48,74,1,1,1,78,90,1,1
1830,1986,,67,79,1,79,48,74,1,1,1,79,90,1,1
1830,1986,Training Camp,67,79,1,79,48,74,1,1,1,79,92,1,1
1831,1985,,65,75,32,86,69,65,25,23,31,42,89,1,1
1831,1985,Training Camp,65,75,32,86,69,65,25,23,32,42,89,1,1
1831,1986,,65,75,32,86,69,66,25,23,32,42,89,1,1
1831,1986,Training Camp,65,75,32,86,69,66,25,23,32,42,89,1,1
1832,1985,,57,72,96,59,16,91,88,1,10,28,89,1,1
1832,1985,Training Camp,60,72,96,62,16,91,88,1,10,28,89,1,1
1832,1986,,61,72,96,62,16,91,88,1,10,28,89,1,1
1832,1986,Training Camp,58,71,93,57,16,91,87,1,10,28,86,1,1
1833,1985,,65,82,25,88,68,58,35,35,48,50,82,8,1
1833,1985,Training Camp,62,79,25,87,68,58,35,32,48,50,82,8,1
1833,1986,,62,80,25,87,69,58,35,32,48,50,82,8,1
1833,1986,Training Camp,62,80,25,87,69,58,35,32,48,50,83,8,1
1834,1985,,85,68,7,70,34,73,1,79,78,53,83,1,1
1834,1985,Training Camp,85,70,7,70,34,73,1,82,81,53,83,1,1
1834,1986,,85,70,7,70,34,73,1,82,81,53,84,1,1
1834,1986,Training Camp,86,70,7,71,36,74,1,85,85,53,87,1,1
1835,1985,,92,52,1,54,31,70,1,80,87,46,76,4,1
1835,1985,Training Camp,92,52,1,54,31,70,1,80,87,46,76,4,1
1835,1986,,92,52,1,55,32,70,1,80,87,46,76,4,1
1835,1986,Training Camp,89,49,1,50,31,70,1,78,86,46,77,4,1
1836,1985,,88,55,1,66,19,75,1,78,87,57,72,7,6
1836,1985,Training Camp,84,50,1,62,19,74,1,75,85,57,72,7,6
1837,1985,,74,43,1,43,14,71,4,87,77,53,78,1,1
1837,1985,Training Camp,74,45,1,43,14,71,4,87,77,53,80,1,1
1838,1985,,81,87,10,71,55,60,1,1,7,93,81,5,1
1838,1985,Training Camp,81,87,10,71,57,60,1,1,7,93,81,5,1
1838,1986,,82,87,10,71,58,60,1,1,7,93,81,5,1
1838,1986,Training Camp,75,86,10,66,57,59,1,1,7,92,79,5,1
1839,1985,,82,72,4,78,40,61,9,1,1,68,85,9,1
1839,1985,Training Camp,82,72,4,81,40,61,9,1,1,68,85,9,1
1839,1986,,82,72,4,81,40,61,9,1,1,68,85,9,1
1839,1986,Training Camp,82,72,4,81,40,64,9,1,1,68,85,9,1
1840,1985,,91,49,6,63,21,69,9,87,71,45,64,1,1
1840,1985,Training Camp,91,49,6,63,21,69,9,87,74,45,64,1,1
1840,1986,,91,49,6,63,21,69,9,88,74,45,64,1,1
1840,1986,Training Camp,94,49,6,63,21,69,9,88,74,45,64,1,1
1841,1985,,96,54,6,51,20,65,3,90,77,40,73,1,1
1841,1985,Training Camp,92,51,6,48,19,64,3,90,77,40,72,1,1
1841,1986,,92,51,6,48,19,64,3,90,77,40,72,1,1
1841,1986,Training Camp,90,46,6,46,19,64,3,89,73,40,69,1,1
1842,1985,,88,57,1,57,15,65,1,79,83,46,59,3,1
1842,1985,Training Camp,86,55,1,54,15,64,1,74,82,46,57,3,1
1842,1986,,86,55,1,54,15,64,1,74,82,46,57,3,1
1842,1986,Training Camp,82,55,1,48,15,63,1,74,83,46,60,3,1
1843,1985,,73,79,1,89,40,68,1,1,10,80,74,1,3
1843,1985,Training Camp,73,79,1,89,40,68,1,1,10,80,74,1,3
1843,1986,,73,80,1,89,41,69,1,1,10,80,74,1,3
1843,1986,Training Camp,73,80,1,89,43,69,1,1,10,80,77,1,3
1844,1985,,82,74,1,64,40,55,7,1,10,79,79,1,1
1844,1985,Training Camp,82,76,1,64,40,55,7,1,10,82,81,1,1
1844,1986,,82,76,1,65,40,55,7,1,10,82,81,1,1
1844,1986,Training Camp,82,76,1,65,40,57,7,1,10,82,81,1,1
1845,1985,,86,66,1,59,26,74,1,81,88,59,69,2,1
1845,1985,Training Camp,86,66,1,59,26,74,1,83,88,59,69,2,1
1845,1986,,86,66,1,59,26,74,1,83,88,59,70,2,1
1845,1986,Training Camp,86,66,1,59,26,74,1,83,88,59,70,2,1
1846,1985,,95,61,1,48,14,60,1,90,83,45,66,1,1
1846,1985,Training Camp,95,61,1,48,14,60,1,90,85,45,66,1,1
1846,1986,,95,61,1,48,14,60,1,90,85,45,66,1,1
1846,1986,Training Camp,95,61,1,48,14,60,1,90,85,45,69,1,1
1847,1985,,87,76,1,80,55,65,2,1,1,70,84,5,1
1847,1985,Training Camp,87,76,1,80,55,65,2,1,1,70,84,5,1
1847,1986,,87,76,1,80,55,65,2,1,1,70,84,5,1
1847,1986,Training Camp,87,78,1,81,55,67,2,1,1,70,85,5,1
1848,1985,,80,74,1,83,43,59,5,1,1,80,74,1,1
1848,1985,Training Camp,82,74,1,83,43,59,5,1,1,80,76,1,1
1848,1986,,82,74,1,83,43,59,5,1,1,81,76,1,1
1848,1986,Training Camp,82,74,1,83,43,59,5,1,1,81,76,1,1
1849,1985,,53,79,1,96,63,63,1,1,1,61,88,1,6
1849,1985,Training Camp,53,81,1,96,66,63,1,1,1,61,89,1,6
1849,1986,,53,81,1,96,66,63,1,1,1,61,91,1,6
1849,1986,Training Camp,53,81,1,96,66,63,1,1,1,61,91,1,6
1850,1985,,71,83,1,90,63,70,1,1,1,56,73,1,1
1850,1985,Training Camp,71,83,1,90,66,70,1,1,1,56,73,1,1
1850,1986,,71,83,1,90,67,70,1,1,1,56,73,1,1
1850,1986,Training Camp,71,83,1,91,67,70,1,1,1,56,75,1,1
1851,1985,,61,80,84,70,20,73,81,1,1,14,83,1,1
1851,1985,Training Camp,61,80,84,70,20,73,81,1,1,14,83,1,1
1851,1986,,61,81,84,70,20,73,81,1,1,14,84,1,1
1851,1986,Training Camp,61,81,84,70,20,73,81,1,1,14,84,1,1
1852,1985,,53,85,9,85,94,65,1,28,31,38,84,1,1
1852,1985,Training Camp,47,82,9,81,94,65,1,26,31,38,83,1,1
1852,1986,,47,82,9,81,94,65,1,26,31,38,83,1,1
1852,1986,Training Camp,43,80,9,76,94,65,1,25,29,38,81,1,1
1853,1985,,65,86,29,83,71,63,30,40,44,49,82,3,1
1853,1985,Training Camp,67,86,29,83,71,63,30,40,44,49,82,3,1
1854,1985,,78,82,16,82,70,60,29,44,45,30,86,1,1
1854,1985,Training Camp,78,83,16,82,70,60,29,44,45,30,86,1,1
1854,1986,,78,83,16,82,70,60,29,44,45,30,86,1,1
1854,1986,Training Camp,78,83,16,82,73,60,29,44,45,30,86,1,1
1855,1985,,57,98,9,81,88,76,9,41,33,50,90,10,1
1855,1985,Training Camp,54,96,9,80,88,74,9,40,33,50,88,10,1
1855,1986,,54,96,9,80,88,74,9,40,33,50,89,10,1
1855,1986,Training Camp,49,96,9,79,88,73,9,38,33,50,88,10,1
1856,1985,,91,46,4,59,17,62,5,88,84,43,59,1,1
1856,1985,Training Camp,91,46,4,59,17,62,5,88,84,43,60,1,1
1856,1986,,91,46,4,59,17,62,5,88,84,43,60,1,1
1856,1986,Training Camp,91,46,4,59,17,62,5,88,84,43,62,1,1
1857,1985,,83,65,6,74,50,58,1,9,4,70,78,1,1
1857,1985,Training Camp,83,67,6,74,50,61,1,9,4,73,81,1,1
1857,1986,,83,67,6,74,50,61,1,9,4,74,82,1,1
1857,1986,Training Camp,83,67,6,74,50,63,1,9,4,77,82,1,1
1858,1985,,71,76,1,86,54,68,9,10,1,91,82,1,1
1858,1985,Training Camp,65,76,1,83,53,68,9,10,1,88,81,1,1
1858,1986,,65,76,1,83,53,68,9,10,1,88,81,1,1
1858,1986,Training Camp,62,75,1,79,51,67,9,10,1,87,79,1,1
1859,1985,,58,88,1,86,75,60,9,1,5,49,92,1,1
1859,1985,Training Camp,50,90,1,83,74,60,9,1,5,48,93,1,1
1859,1986,,50,92,1,83,75,60,9,1,5,48,93,1,1
1859,1986,Training Camp,50,92,1,83,75,60,9,1,5,48,93,1,1
1860,1985,,83,60,2,73,40,72,5,1,1,75,73,1,1
1860,1985,Training Camp,83,60,2,73,43,72,5,1,1,75,73,1,1
1860,1986,,83,60,2,73,43,72,5,1,1,75,74,1,1
1860,1986,Training Camp,83,60,2,75,43,72,5,1,1,75,74,1,1
1861,1985,,57,73,1,91,48,62,1,1,4,65,77,1,1
