PlayerID,Jersey,FirstName,LastName,College,Age,Experience,Height,Weight,TeamID,DraftedBy,DraftRound,DraftPick,DraftSeason,HallOfFame,Injury,InjuryLength,Salary,ContractYears,Position,Alt Position,Team,RetiredSeason,Franchise Tag,Tender Type,Awards,Strength,Agility,Arm,Speed,Hands,Intelligence,Accuracy,Run Blocking,Pass Blocking,Tackling,Endurance,Kick Distance,Kick Accuracy,Overall
1809,29,Eric,Dickerson,SMU,25,0,75,220,14,14,1,10,1985,False,,,39341664,5,RB,RB,ATL,0,False,None,,80,88,29,97,65,70,32,34,49,38,90,4,1,98
1810,56,Lawrence,Taylor,North Carolina,26,0,75,237,17,17,1,4,1985,False,,,40039038,6,LB,LB,WAS,0,False,None,,83,81,10,90,55,75,8,7,5,90,92,1,1,100
1811,42,Ronnie,Lott,USC,26,0,72,203,4,4,1,12,1985,False,,,38247787,4,FS,FS,OAK,0,False,None,,71,90,1,93,68,76,4,1,2,77,88,3,1,98
1812,33,Roger,Craig,Nebraska,25,0,72,222,3,3,1,17,1985,False,,,35997449,6,FB,FB,HOU,0,False,None,,75,77,5,82,90,68,1,68,56,43,79,1,1,99
1813,16,Joe,Montana,Notre Dame,29,0,74,200,11,11,1,2,1985,False,,,36307151,4,QB,QB,CHI,0,False,None,,64,64,93,55,20,93,97,5,1,39,100,1,1,95
1814,34,Walter,Payton,Jackson State,31,0,70,200,17,17,2,15,1985,False,,,34038176,6,RB,RB,WAS,0,False,None,,61,91,31,82,69,80,36,33,34,44,89,8,1,89
1815,7,John,Elway,Stanford,25,0,75,215,18,18,1,5,1985,False,,,33909851,5,QB,QB,CLM,0,False,None,,59,79,90,67,21,92,94,1,1,31,84,1,5,93
1816,13,Dan,Marino,Pittsburgh,24,0,76,224,7,7,1,1,1985,False,Fractured Hip,,33257535,4,QB,QB,CIN,0,False,None,,65,71,97,60,29,85,97,1,4,29,92,3,1,95
1817,57,Rickey,Jackson,Pittsburgh,27,0,74,243,6,6,1,15,1985,False,,,32625020,5,LB,LB,WIN,0,False,None,,79,83,1,80,60,71,2,1,1,85,89,2,10,94
1818,91,Reggie,White,Tennessee,24,0,77,291,5,5,1,6,1985,False,,,31964869,4,DE,DE,BUF,0,False,None,,85,80,7,71,56,70,1,5,1,85,85,1,2,93
1819,1,Warren,Moon,Washington,29,0,75,218,8,8,1,9,1985,False,,,32687262,6,QB,QB,PRO,0,False,None,,63,65,92,65,23,92,84,5,1,39,89,9,1,92
1820,72,Kent,Hill,Georgia Tech,28,0,77,260,14,14,2,9,1985,False,,,33234488,4,G,G,ATL,0,False,None,,92,63,5,63,15,63,1,88,85,44,65,1,5,95
1821,54,Randy,White,Maryland,32,0,76,257,5,5,2,13,1985,False,,,32620018,5,DT,DT,BUF,0,False,None,,80,74,8,74,44,59,1,9,5,78,83,3,1,88
1822,80,Henry,Ellard,Fresno State,24,0,71,180,2,2,2,6,1985,False,,,31987057,6,WR,WR,MIA,0,False,None,,41,90,1,88,90,60,10,35,30,38,91,1,1,91
1823,44,John,Riggins,Kansas,36,0,74,230,6,6,5,15,1985,False,,,28891396,5,RB,RB,WIN,0,False,None,,80,70,34,72,72,61,23,41,22,36,75,1,5,84
1824,32,Marcus,Allen,USC,25,0,74,210,1,1,1,16,1985,False,,,6000000,5,RB,RB,KC,0,False,None,,72,85,30,88,75,66,35,38,39,50,97,1,1,92
