Season,GameID,OPOGPlayerID,DPOGPlayerID,Simmed,Weather,HomeTeamID,AwayTeamID,Week,HomeScore1Q,HomeScore2Q,HomeScore3Q,HomeScore4Q,HomeScoreOT,AwayScore1Q,AwayScore2Q,AwayScore3Q,AwayScore4Q,AwayScoreOT,AwayScore,HomeScore,Overtime,HomePlaysRun,AwayPlaysRun,PlaysRun,HomeTOP,AwayTOP,Home1stDowns,Away1stDowns,Home3rdDownAtt,Away3rdDownAtt,Home3rdDownComp,Away3rdDownComp,Home4thDownAtt,Away4thDownAtt,Home4thDownComp,Away4thDownComp,HomeTotalYds,AwayTotalYds,HomePassYds,HomePassAtt,HomePassCmp,HomeRushYds,HomeRushAtt,AwayPassYds,AwayPassAtt,AwayPassCmp,AwayRushYds,AwayRushAtt,HomePenalties,HomePenaltyYds,AwayPenalties,AwayPenaltyYds,HomeFumbles,HomeFumblesLost,HomeInt,AwayFumbles,AwayFumblesLost,AwayInt,HomeSacked,AwaySacked,HomeSackedYds,AwaySackedYds,GameType,PlayoffGameType
1987,1572,1947,2015,True,"72° F, Indoors",19,10,-4,0,14,0,0,0,0,17,0,7,0,24,14,False,50,54,104,1561,2039,12,16,9,16,3,12,2,0,2,0,345,328,268,23,14,77,27,175,18,12,153,36,3,35,13,113,0,0,0,0,0,0,8,0,62,0,Preseason,WildCard
1987,1573,2421,6045,True,"64° F, Wind 13 mph",7,13,-4,3,7,7,7,0,3,13,10,0,0,26,24,False,66,51,117,1534,2066,13,17,11,13,3,4,1,0,0,0,406,201,247,35,29,159,31,127,14,10,74,37,1,10,4,41,1,0,0,2,0,0,2,1,18,10,Preseason,WildCard
1987,1574,2482,3311,True,"59° F, Wind 3 mph",15,1,-4,0,9,3,10,0,0,3,3,0,0,6,22,False,49,61,110,2145,1455,21,15,16,12,5,1,0,3,0,2,464,309,288,29,21,176,20,250,39,25,59,22,5,57,4,53,0,0,1,0,0,1,4,1,22,7,Preseason,WildCard
1987,1575,1898,2194,True,"55° F, Wind 2 mph, Rain",9,17,-4,7,7,0,0,0,0,0,0,20,0,20,14,False,62,62,124,1344,2256,8,17,13,18,1,5,0,1,0,0,378,296,307,27,19,71,35,171,29,18,125,33,2,10,10,80,0,0,0,1,0,0,0,3,0,26,Preseason,WildCard
1987,1576,5645,2542,True,"70° F, Wind 9 mph",4,11,-4,7,6,7,14,0,10,0,7,7,0,24,34,False,66,56,122,1653,1947,15,15,12,15,4,4,0,3,0,1,392,306,268,27,22,124,39,156,26,14,150,30,5,50,12,95,2,1,0,0,0,1,6,1,43,8,Preseason,WildCard
1987,1577,1910,2390,True,"76° F, Wind 21 mph",20,14,-4,7,7,0,7,0,3,7,7,17,0,34,21,False,51,73,124,1445,2155,15,21,8,11,2,3,2,2,0,2,324,280,201,33,21,123,18,204,43,27,76,30,8,46,9,79,2,1,1,1,0,1,4,1,24,12,Preseason,WildCard
1987,1578,1822,2329,True,"92° F, Wind 12 mph, Rain",16,2,-4,14,0,0,3,0,7,0,7,10,0,24,17,False,61,65,126,1754,1846,13,12,12,13,4,4,1,2,0,2,301,444,179,27,16,122,34,368,39,27,76,26,4,23,4,32,0,0,0,4,2,1,1,3,5,22,Preseason,WildCard
1987,1579,2034,2324,True,"81° F, Wind 12 mph",18,6,-4,7,7,0,0,0,0,7,3,7,0,17,14,False,62,52,114,1718,1882,15,15,12,10,4,2,2,0,0,0,306,389,180,26,14,126,36,281,28,15,108,24,8,75,11,89,1,1,0,0,0,0,0,2,0,15,Preseason,WildCard
1987,1580,2345,1818,True,"72° F, Indoors",12,5,-4,3,3,0,7,0,0,3,6,3,0,12,13,False,63,59,122,1886,1714,14,11,15,17,3,6,2,1,1,0,351,250,218,28,20,133,35,182,29,18,68,30,2,27,11,93,1,1,0,1,0,0,1,2,11,17,Preseason,WildCard
1987,1581,2567,5709,True,"65° F, Wind 5 mph",3,8,-4,0,6,7,0,0,0,0,0,0,0,0,13,False,51,62,113,1657,1943,11,13,13,14,5,5,0,3,0,0,197,445,169,29,17,52,22,364,37,29,81,25,5,43,13,130,2,1,0,0,0,0,1,1,6,10,Preseason,WildCard
1987,1582,2117,5409,True,"68° F, Wind 14 mph",15,19,-3,7,10,14,7,0,7,3,7,0,0,17,38,False,49,50,99,1786,1814,23,16,10,14,5,5,0,2,0,1,464,345,288,29,21,176,20,268,23,14,77,27,5,57,3,35,0,0,1,0,0,0,4,8,22,62,Preseason,WildCard
