StreakID,CurrentStreak,MaxStreak,PlayerID
ConsecutiveGamesPlayed,35,35,1824
GamesWith100YardsRushing,0,4,1824
GamesWRecTD,0,2,1824
GamesWRushTD,0,5,1824
ConsecutiveGamesPlayed,6,15,1828
ConsecutiveGamesPlayed,35,35,1848
GamesWSack,1,2,1848
ConsecutiveGamesPlayed,35,35,1875
GamesWSack,1,4,1875
ConsecutiveGamesPlayed,5,12,1902
GamesWSack,0,1,1902
ConsecutiveGamesPlayed,12,22,1921
GamesWInt,0,2,1921
GamesWSack,1,1,1921
ConsecutiveGamesPlayed,18,18,1949
ConsecutiveGamesPlayed,24,24,1928
GamesWith100YardsReceiving,0,3,1928
GamesWRecTD,0,3,1928
GamesWRushTD,0,2,1928
ConsecutiveGamesPlayed,21,21,1999
GamesWRecTD,0,2,1999
GamesWRushTD,0,1,1999
ConsecutiveGamesPlayed,0,16,2051
ConsecutiveGamesPlayed,3,12,2232
ConsecutiveGamesPlayed,35,35,2340
GamesWInt,0,1,2340
ConsecutiveGamesPlayed,0,16,2131
ConsecutiveGamesPlayed,35,35,1995
GamesWRecTD,0,1,1995
GamesWRushTD,0,1,1995
ConsecutiveGamesPlayed,31,31,2784
ConsecutiveGamesPlayed,19,19,3498
GamesWInt,0,1,3498
GamesWSack,0,1,3498
ConsecutiveGamesPlayed,3,15,3418
GamesWRecTD,0,1,3418
ConsecutiveGamesPlayed,19,19,3314
ConsecutiveGamesPlayed,7,11,3419
ConsecutiveGamesPlayed,19,19,3530
ConsecutiveGamesPlayed,3,3,5614
GamesWPassTD,3,3,5614
ConsecutivePassesNoInt,5,50,5614
ConsecutiveCompletions,1,14,5614
GamesWith300Yards,0,1,5614
GamesWNoInt,0,1,5614
ConsecutiveGamesPlayed,3,3,5702
GamesWith100YardsReceiving,0,1,5702
GamesWRecTD,1,1,5702
ConsecutiveGamesPlayed,3,3,5653
ConsecutiveGamesPlayed,3,3,5683
GamesWSack,1,1,5683
ConsecutiveGamesPlayed,3,3,5366
ConsecutiveFGMade,1,1,5366
ConsecutiveGamesPlayed,1,1,5476
ConsecutiveGamesPlayed,3,3,6164
GamesWSack,1,1,6164
ConsecutiveGamesPlayed,1,1,6166
ConsecutiveGamesPlayed,3,3,6170
ConsecutiveGamesPlayed,3,3,6171
GamesWSack,1,1,6171
