WeekNumber,GameID,Season,TeamID,Team,PlayerID,G,GS,Championships,ChampionshipYears,MadePlayoffs,Wins,Losses,Ties,WinPct,Round1Wins,Round1Losses,Rounds1WinPct,Round2Wins,Round2Losses,Round2WinPct,Round3Wins,Round3Losses,Round3WinPct,ChampionshipWins,ChampionshipLosses,ChampionshipWinPct,ELORating,Plays,RushAtt,Catches,PassAtt,PassCmp,PassInt,PassYds,PassYdsAgainst,TotalYdsAgainst,TotalYds,RushYdsAgainst,PassTD,PassRating,PassingAttemptsPerGame,PassingYardsPerAttempt,PassingYardsPerCompletion,SackPct,PassingYdsPerGame,RushYds,RecYds,RushTD,RecTD,RunLong,PassLong,RecLong,PuntLong,KRLong,PRLong,FGLong,Int,IntReturnYds,Fumbles,FumblesLost,FumReturnYds,Pancakes,MissedTackles,DroppedPasses,PassesDefensed,SacksAllowed,MissedBlocks,TeamOwner,Conference,WasSacked,SackedYards,Tackles,TFL,Sacks,Hurries,Knockdowns,Safeties,ForcedFumbles,FumblesRecovered,DefensiveTD,BlockedFG,BlockedPAT,BlockedPunt,Penalties,PenaltyYds,Punts,PuntYds,PuntsInside20,PuntReturns,PuntReturnYds,PuntReturnTD,KickoffReturns,KickoffReturnYds,KickoffReturnTD,FGA_U20,FGA_2029,FGA_3039,FGA_4049,FGA_50,FGM_U20,FGM_2029,FGM_3039,FGM_4049,FGM_50,FGA,FGM,XPA,XPM,POG,POW,POY,POYYears,ProBowl,ProBowlYears,MVP,MVPYears,PlayoffMVP,PlayoffMVPYears,ROY,ROYYears,RushAvg,PassAvg,PassPct,RecAvg,FGPct,XPPct,PuntAvg,PuntReturnAvg,KickReturnAvg,RushingAttPerGame,RushingYdsPerGame,RushFDPct,CatchesPerGame,ReceivingYdsPerGame,RecFDPct,KickingPoints,Points,PointsFor,PointsAgainst,Rush20,Rush40,RushFD,Pass20,Pass40,PassFD,Rec20,Rec40,RecFD,CtA,Tar,DTar,Job
,0,0,16,TB,507,51,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1582,1064,1564,1064,29,12156,10927,18701,18974,7774,100,104.7,30.7,7.8,11.4,7.5,238.4,6818,12156,47,100,68,87,87,67,95,55,55,28,349,55,30,111,1382,346,66,256,73,415,,,127,931,2504,224,94,326,91,1,48,53,3,0,0,2,324,2561,274,12258,97,93,573,1,257,5588,1,3,19,21,29,13,3,17,17,22,8,85,67,143,137,45,0,0,,0,,0,,0,,0,,4.3,7.8,68,11.4,78.8,95.8,44.7,6.2,21.7,31,133.7,19.5,20.9,238.4,40.2,338,1250,1264,1352,42,12,309,135,33,428,135,33,428,1190,2828,626,
,0,0,10,IND,2248,51,0,1,1989,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1602,845,1429,845,52,10264,11077,17097,17316,6020,79,84.6,28,7.2,12.1,4.6,201.3,7052,10264,57,79,76,65,65,71,103,64,51,23,401,15,9,64,1495,204,54,182,31,274,,,69,476,2371,244,223,214,179,5,50,30,3,0,0,0,277,2365,236,11256,99,107,948,0,203,4492,2,7,20,35,30,10,7,18,34,21,7,102,87,136,135,67,0,0,,0,,0,,0,,0,,4.4,7.2,59.1,12.1,85.3,99.3,47.7,8.9,22.1,31.4,138.3,20.3,16.6,201.3,45.4,396,1242,1262,1141,44,9,326,129,26,384,129,26,384,1121,2450,597,
,0,0,2,MIA,3535,51,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1304,1118,1642,1118,34,13151,10648,17351,18504,6703,103,104.5,32.2,8,11.8,6.3,257.9,5353,13151,50,103,75,77,77,68,98,19,52,28,457,34,14,65,1394,301,48,213,34,324,,,110,886,2396,238,120,239,131,1,42,40,5,0,0,1,329,2690,225,10231,88,76,437,0,210,4431,1,4,16,25,30,14,4,12,17,20,6,89,59,152,151,53,0,0,,0,,0,,0,,0,,4.1,8,68.1,11.8,66.3,99.3,45.5,5.8,21.1,25.6,105,17.5,21.9,257.9,43.6,328,1282,1294,1155,39,9,228,165,41,487,165,41,487,1175,2842,615,
,0,0,7,CIN,3841,51,0,1,1988,2,26,25,0,0.51,0,0,0,1,1,0.5,1,0,1,1,0,1,0,0,1242,1060,1809,1060,37,11908,9443,16937,16329,7494,73,83.3,35.5,6.6,11.2,6.8,233.5,4421,11908,38,73,53,74,74,69,108,75,53,33,563,56,26,35,1402,307,109,248,66,506,,,132,945,2417,232,87,324,121,1,39,49,5,0,0,2,306,2567,296,13257,94,95,699,0,245,5577,3,5,22,22,26,10,5,20,18,20,4,85,67,115,113,39,0,0,,0,,0,,0,,0,,3.6,6.6,58.6,11.2,78.8,98.3,44.8,7.4,22.8,24.4,86.7,17.2,20.8,233.5,44.4,314,1028,1034,1167,32,4,214,134,30,471,134,30,471,1156,3119,592,
,0,0,17,CHC,4394,51,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1355,1062,1680,1062,29,10516,11247,18883,15598,7636,62,86,32.9,6.3,9.9,8.5,206.2,5082,10516,41,62,65,83,83,64,97,67,57,34,593,36,16,50,1250,284,65,224,88,423,,,156,1168,2317,212,111,295,97,0,29,32,3,0,0,0,324,2637,261,11748,96,88,662,0,273,6061,1,2,24,28,27,9,2,22,28,21,7,90,80,103,101,35,0,0,,0,,0,,0,,0,,3.8,6.3,63.2,9.9,88.9,98.1,45,7.5,22.2,26.6,99.6,18.1,20.8,206.2,40.5,341,983,985,1504,29,7,245,96,15,430,96,15,430,1113,2905,555,
,0,0,4,OAK,8917,51,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1804,664,1198,664,31,8924,10620,18219,17842,7599,76,89.7,23.5,7.4,13.4,11.8,175,8918,8924,64,76,76,77,77,60,108,65,55,36,634,48,21,14,1709,303,83,222,102,358,,,161,1177,2709,259,94,316,120,0,38,43,10,0,0,2,348,2952,291,12627,91,77,694,0,260,6105,2,6,15,30,24,8,5,15,21,17,7,83,65,150,149,39,0,0,,0,,0,,0,,0,,4.9,7.4,55.4,13.4,78.3,99.3,43.4,9,23.5,35.4,174.9,21.5,13,175,48,344,1256,1260,1319,64,14,388,132,26,319,132,26,319,1344,2553,705,
,0,0,14,ATL,9559,51,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1544,849,1316,849,24,11647,13115,19431,17975,6316,97,109.7,25.8,8.9,13.7,10.7,228.4,6328,11647,47,97,67,68,68,67,92,77,52,35,493,44,19,150,1483,270,51,211,79,323,,,157,1256,2315,278,93,296,98,4,49,53,3,0,0,0,276,2196,248,11580,101,82,828,1,244,5838,0,2,21,35,30,13,2,18,31,20,6,101,77,145,143,47,0,0,,0,,0,,0,,0,,4.1,8.9,64.5,13.7,76.2,98.6,46.7,10.1,23.9,30.3,124.1,18.5,16.6,228.4,45.5,374,1262,1274,1357,41,12,286,169,48,386,169,48,386,1241,2552,591,
,0,0,19,WAS,11355,51,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1758,817,1395,817,44,8530,12094,20207,16562,8113,61,77.8,27.4,6.1,10.4,5.8,167.3,8032,8530,57,61,86,66,66,62,43,49,52,24,476,45,24,132,1338,303,73,161,44,414,,,86,561,2471,250,73,224,92,2,56,50,6,1,0,1,334,2622,235,10696,90,78,566,0,273,6611,0,6,14,23,37,10,6,9,16,26,4,90,61,121,119,40,0,0,,0,,0,,0,,0,,4.6,6.1,58.6,10.4,67.8,98.3,45.5,7.3,24.2,34.5,157.5,21.7,16,167.3,44.4,302,1046,1054,1589,46,12,382,82,15,363,82,15,363,1227,2502,608,
,0,0,2,MIA,18749,51,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1304,1118,1642,1118,34,13151,10648,17351,18504,6703,103,104.5,32.2,8,11.8,6.3,257.9,5353,13151,50,103,75,77,77,68,98,19,52,28,457,34,14,65,1394,301,48,213,34,324,,,110,886,2396,238,120,239,131,1,42,40,5,0,0,1,329,2690,225,10231,88,76,437,0,210,4431,1,4,16,25,30,14,4,12,17,20,6,89,59,152,151,53,0,0,,0,,0,,0,,0,,4.1,8,68.1,11.8,66.3,99.3,45.5,5.8,21.1,25.6,105,17.5,21.9,257.9,43.6,328,1282,1294,1155,39,9,228,165,41,487,165,41,487,1175,2842,615,
,0,0,16,TB,21668,51,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1582,1064,1564,1064,29,12156,10927,18701,18974,7774,100,104.7,30.7,7.8,11.4,7.5,238.4,6818,12156,47,100,68,87,87,67,95,55,55,28,349,55,30,111,1382,346,66,256,73,415,,,127,931,2504,224,94,326,91,1,48,53,3,0,0,2,324,2561,274,12258,97,93,573,1,257,5588,1,3,19,21,29,13,3,17,17,22,8,85,67,143,137,45,0,0,,0,,0,,0,,0,,4.3,7.8,68,11.4,78.8,95.8,44.7,6.2,21.7,31,133.7,19.5,20.9,238.4,40.2,338,1250,1264,1352,42,12,309,135,33,428,135,33,428,1190,2828,626,
