RecordType,RecordID,Week,Season,PlayerID,TeamID,VsTeamID,RecordValue
0,8,6,1989,1879,4,7,30
0,9,12,1987,1879,4,18,153
0,10,10,1986,1879,4,17,3
0,11,12,1987,1879,4,18,95
0,12,2,1989,1879,4,18,3
0,13,11,1985,1879,4,2,45
0,14,3,1988,1879,4,15,1
0,15,16,1985,1879,4,3,33
1,8,0,1986,1879,4,0,290
1,9,0,1987,1879,4,0,1399
1,10,0,1987,1879,4,0,13
1,11,0,1987,1879,4,0,95
1,12,0,1985,1879,4,0,7
1,13,0,1985,1879,4,0,129
1,14,0,1988,1879,4,0,1
1,15,0,1985,1879,4,0,33
2,8,0,1985,1879,4,17,14
2,9,0,1987,1879,4,9,48
2,10,0,0,1879,0,0,0
2,11,0,1987,1879,4,9,17
2,12,0,0,1879,0,0,0
2,13,0,0,1879,0,0,0
2,14,0,0,1879,0,0,0
2,15,0,0,1879,0,0,0
0,8,13,1987,1986,4,5,11
0,9,5,1988,1986,4,18,76
0,10,6,1985,1986,6,3,1
0,11,5,1988,1986,4,18,76
0,12,7,1985,1986,6,11,4
0,13,12,1989,1986,4,5,29
0,14,12,1989,1986,4,5,1
0,15,12,1989,1986,4,5,27
1,8,0,1989,1986,4,0,43
1,9,0,1989,1986,4,0,215
1,10,0,1990,1986,4,0,2
1,11,0,1988,1986,4,0,76
1,12,0,1989,1986,4,0,26
1,13,0,1989,1986,4,0,117
1,14,0,1989,1986,4,0,1
1,15,0,1989,1986,4,0,27
2,8,0,1987,1986,4,9,3
2,9,0,1987,1986,4,9,8
2,10,0,1987,1986,4,9,1
2,11,0,1987,1986,4,9,5
2,12,0,1986,1986,4,7,1
2,13,0,1986,1986,4,7,14
2,14,0,0,1986,0,0,0
2,15,0,1986,1986,4,7,14
0,43,15,1990,5636,4,8,16
0,44,15,1988,5636,4,9,2
1,43,0,1990,5636,4,0,146
1,44,0,1990,5636,4,0,4
2,43,0,1987,5636,4,9,8
2,44,0,0,5636,0,0,0
0,12,18,1990,6134,4,9,6
0,13,18,1990,6134,4,9,125
0,14,1,1987,6134,4,12,2
0,15,15,1987,6134,4,19,44
0,8,5,1987,6134,4,1,4
0,9,5,1987,6134,4,1,10
0,10,0,0,6134,0,0,0
0,11,2,1987,6134,4,7,6
1,12,0,1987,6134,4,0,34
1,13,0,1990,6134,4,0,372
1,14,0,1990,6134,4,0,5
1,15,0,1987,6134,4,0,44
1,8,0,1987,6134,4,0,8
1,9,0,1987,6134,4,0,28
1,10,0,0,6134,0,0,0
1,11,0,1987,6134,4,0,6
2,12,0,1987,6134,4,9,3
2,13,0,1987,6134,4,9,27
2,14,0,0,6134,0,0,0
2,15,0,1987,6134,4,9,14
2,8,0,1987,6134,4,9,4
2,9,0,1987,6134,4,9,13
2,10,0,0,6134,0,0,0
2,11,0,1987,6134,4,9,4
0,20,12,1988,2542,4,19,14
0,21,3,1988,2542,4,15,1
0,25,8,1988,2542,4,19,1
0,22,0,0,2542,0,0,0
0,24,0,0,2542,0,0,0
0,19,8,1988,2542,4,19,42
0,18,8,1988,2542,4,19,1
0,23,0,0,2542,0,0,0
0,42,8,1988,2542,4,19,4
1,20,0,1988,2542,4,0,77
1,21,0,1988,2542,4,0,4
1,25,0,1988,2542,4,0,1
1,22,0,0,2542,0,0,0
1,24,0,0,2542,0,0,0
1,19,0,1988,2542,4,0,42
1,18,0,1988,2542,4,0,2
1,23,0,0,2542,0,0,0
1,42,0,1988,2542,4,0,16
2,20,0,1987,2542,4,9,3
2,21,0,1987,2542,4,9,1
2,25,0,0,2542,0,0,0
2,22,0,0,2542,0,0,0
2,24,0,0,2542,0,0,0
2,19,0,0,2542,0,0,0
2,18,0,0,2542,0,0,0
2,23,0,0,2542,0,0,0
