WeekNumber,GameID,Season,TeamID,Team,PlayerID,G,GS,Championships,ChampionshipYears,MadePlayoffs,Wins,Losses,Ties,WinPct,Round1Wins,Round1Losses,Rounds1WinPct,Round2Wins,Round2Losses,Round2WinPct,Round3Wins,Round3Losses,Round3WinPct,ChampionshipWins,ChampionshipLosses,ChampionshipWinPct,ELORating,Plays,RushAtt,Catches,PassAtt,PassCmp,PassInt,PassYds,PassYdsAgainst,TotalYdsAgainst,TotalYds,RushYdsAgainst,PassTD,PassRating,PassingAttemptsPerGame,PassingYardsPerAttempt,PassingYardsPerCompletion,SackPct,PassingYdsPerGame,RushYds,RecYds,RushTD,RecTD,RunLong,PassLong,RecLong,PuntLong,KRLong,PRLong,FGLong,Int,IntReturnYds,Fumbles,FumblesLost,FumReturnYds,Pancakes,MissedTackles,DroppedPasses,PassesDefensed,SacksAllowed,MissedBlocks,TeamOwner,Conference,WasSacked,SackedYards,Tackles,TFL,Sacks,Hurries,Knockdowns,Safeties,ForcedFumbles,FumblesRecovered,DefensiveTD,BlockedFG,BlockedPAT,BlockedPunt,Penalties,PenaltyYds,Punts,PuntYds,PuntsInside20,PuntReturns,PuntReturnYds,PuntReturnTD,KickoffReturns,KickoffReturnYds,KickoffReturnTD,FGA_U20,FGA_2029,FGA_3039,FGA_4049,FGA_50,FGM_U20,FGM_2029,FGM_3039,FGM_4049,FGM_50,FGA,FGM,XPA,XPM,POG,POW,POY,POYYears,ProBowl,ProBowlYears,MVP,MVPYears,PlayoffMVP,PlayoffMVPYears,ROY,ROYYears,RushAvg,PassAvg,PassPct,RecAvg,FGPct,XPPct,PuntAvg,PuntReturnAvg,KickReturnAvg,RushingAttPerGame,RushingYdsPerGame,RushFDPct,CatchesPerGame,ReceivingYdsPerGame,RecFDPct,KickingPoints,Points,PointsFor,PointsAgainst,Rush20,Rush40,RushFD,Pass20,Pass40,PassFD,Rec20,Rec40,RecFD,CtA,Tar,DTar,Job
,0,0,1,NYT,,99,0,0,,1,42,57,0,0.424,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2737,2053,3275,2053,73,21803,20476,34442,33741,13966,159,89,33.1,6.7,10.6,6.6,220.2,11938,21803,93,159,74,84,84,69,75,70,55,43,713,100,48,201,2534,551,200,343,122,733,Pat Devlin,,232,1648,4769,494,156,413,238,2,101,112,9,2,0,4,604,5160,490,21678,162,178,1245,0,498,10338,0,7,32,44,81,21,7,26,30,54,6,185,123,250,245,97,0,0,,0,,0,,0,,0,,4.4,6.7,62.7,10.6,66.5,98,44.2,7,20.8,27.6,120.6,21.4,20.7,220.2,41.3,614,2180,2190,2611,77,16,585,229,47,848,229,47,848,2149,6056,528,
,0,0,2,MIA,,99,0,1,1987,4,56,43,0,0.566,2,0,1,2,2,0.5,2,0,1,1,1,0.5,0,0,2804,1967,2945,1967,55,23488,20068,32862,34063,12794,186,104.2,29.7,8,11.9,6.1,237.3,10575,23488,89,186,75,91,91,68,98,84,52,62,1053,77,35,113,2545,535,120,411,60,548,Malinda Gates,,190,1581,4640,465,191,411,279,4,79,81,10,1,1,6,582,4886,482,21559,195,189,1441,0,397,8454,1,8,36,48,61,25,6,28,36,40,10,178,120,272,269,96,0,0,,0,,0,,0,,0,,3.8,8,66.8,11.9,67.4,98.9,44.7,7.6,21.3,28.3,106.8,15.8,19.9,237.3,44.2,629,2345,2371,2122,66,14,444,298,79,870,298,79,870,2233,5803,615,
,0,0,3,GB,,99,0,0,,0,39,60,0,0.394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2909,2009,3163,2009,57,22537,21813,35245,34645,13432,175,95.6,31.9,7.1,11.2,5.9,227.6,12108,22537,88,175,69,88,88,61,93,81,56,51,662,114,56,144,2702,425,157,296,85,661,Mike Kent,,197,1373,4912,563,174,389,188,6,87,102,7,0,0,5,569,4915,486,20552,174,169,1280,1,508,10987,0,9,37,44,58,25,9,28,33,42,10,173,122,263,257,88,0,0,,0,,0,,0,,0,,4.2,7.1,63.5,11.2,70.5,97.7,42.3,7.6,21.6,29.4,122.3,19.1,20.3,227.6,43.8,623,2249,2265,2608,86,13,556,233,51,880,233,51,880,2383,5992,593,
,0,0,4,OAK,,99,0,1,1985,3,52,47,0,0.525,0,1,0,2,0,1,1,1,0.5,1,0,1,0,0,3549,1295,2287,1295,46,18762,19279,32738,34958,13459,154,97.5,23.1,8.2,14.5,11.1,189.5,16196,18762,123,154,95,81,81,60,108,65,55,61,1039,116,54,73,2915,542,174,402,162,597,Ross Tirona,,287,2145,5266,550,206,500,268,3,82,97,16,1,0,7,648,5375,568,23743,176,202,1608,0,455,10406,4,12,37,56,59,23,11,32,44,45,17,187,149,290,284,95,0,0,,0,,0,,0,,0,,4.6,8.2,56.6,14.5,79.7,97.9,41.8,8,22.9,35.8,163.6,19.4,13.1,189.5,48.9,731,2513,2529,2291,104,25,688,281,74,633,281,74,633,2546,5402,705,
,0,0,5,BUF,,99,0,0,,4,51,48,0,0.515,0,1,0,2,1,0.667,0,2,0,0,0,0,0,0,3567,1786,2815,1786,53,18653,20000,32071,33500,12071,138,91.1,28.4,6.6,10.4,5.1,188.4,14847,18653,116,138,76,92,92,61,55,93,56,58,1027,128,75,282,2418,403,132,322,53,652,Mike Ngo,,152,1070,5083,610,401,376,282,6,138,121,13,2,0,6,569,5051,560,23807,192,226,1900,1,454,9764,0,8,57,52,66,27,8,48,44,44,18,210,162,255,246,121,0,0,,0,,0,,0,,0,,4.2,6.6,63.4,10.4,77.1,96.5,42.5,8.4,21.5,36,150,19.1,18,188.4,41.4,732,2340,2364,2196,111,21,681,188,35,740,188,35,740,2152,5320,601,
,0,0,6,NYG,,99,0,1,1990,2,50,49,0,0.505,0,0,0,2,0,1,1,1,0.5,1,0,1,0,0,2748,1776,2786,1776,79,21843,19559,30092,32493,10533,172,96.6,28.1,7.8,12.3,8.8,220.6,10650,21843,93,172,72,80,80,63,101,73,57,71,1266,89,47,138,2966,376,123,375,151,715,Chance Loock,,269,1967,4660,567,176,423,218,5,98,94,14,0,0,8,575,4868,522,22580,168,182,1586,2,428,9155,2,8,32,35,57,22,8,26,24,38,13,154,109,272,267,98,0,0,,0,,0,,0,,0,,3.9,7.8,63.7,12.3,70.8,98.2,43.3,8.7,21.4,27.8,107.6,18.1,17.9,220.6,47.1,594,2292,2312,2117,56,13,498,284,47,836,284,47,836,2224,5514,585,
,0,0,7,CIN,,99,0,1,1988,5,60,39,0,0.606,0,0,0,3,2,0.6,2,1,0.667,1,1,0.5,0,0,2643,2062,3252,2062,48,23592,19169,32936,32974,13767,172,96.6,32.8,7.3,11.4,5.6,238.3,9382,23592,86,172,79,76,76,69,108,75,53,59,999,94,44,141,2710,549,172,405,100,793,Ross Gates,,194,1419,4665,478,161,473,224,1,90,86,8,1,0,6,585,4875,517,22975,186,190,1566,0,455,9963,4,10,48,45,71,13,10,39,36,51,6,187,142,258,253,97,0,0,,0,,0,,0,,0,,3.5,7.3,63.4,11.4,75.9,98.1,44.4,8.2,21.9,26.7,94.8,17,20.8,238.3,42.8,679,2299,2311,2186,60,13,449,285,64,883,285,64,883,2182,6113,592,
,0,0,8,SEA,,99,0,0,,2,49,50,0,0.495,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2849,2189,3219,2189,55,22656,22501,35620,34353,13119,173,98.9,32.5,7,10.3,4.9,228.8,11697,22656,106,173,61,88,88,66,103,71,54,45,805,97,49,101,2608,536,106,347,61,612,Johnny McKeever,,165,1237,4737,479,174,415,263,1,92,84,6,0,0,9,622,5147,458,20872,196,203,1586,0,457,10019,2,6,37,59,76,17,5,31,47,55,10,195,148,277,271,93,0,0,,0,,0,,0,,0,,4.1,7,68,10.3,75.9,97.8,45.6,7.8,21.9,28.8,118.2,20.4,22.1,228.8,43.3,715,2437,2449,2416,54,6,581,204,36,947,204,36,947,2261,5930,697,
,0,0,9,LON,,99,0,0,,6,60,39,0,0.606,1,2,0.333,2,2,0.5,1,1,0.5,0,1,0,0,0,3064,1717,2676,1717,33,25265,22415,33966,38833,11551,206,115.4,27,9.4,14.7,9.3,255.2,13568,25265,109,206,75,88,88,72,94,76,57,63,1048,109,51,167,3406,525,153,365,137,547,Charlie B,,276,2088,5178,569,213,443,174,3,104,112,12,2,1,6,633,5413,473,21456,170,199,1646,1,435,8982,0,14,31,60,70,27,13,23,46,46,16,202,144,314,304,121,0,0,,0,,0,,0,,0,,4.4,9.4,64.2,14.7,71.3,96.8,45.4,8.3,20.6,30.9,137.1,19,17.3,255.2,49.3,736,2704,2720,2283,96,24,581,373,93,846,373,93,846,2595,5532,801,
,0,0,10,IND,,99,0,1,1989,4,54,45,0,0.545,1,1,0.5,2,1,0.667,2,0,1,1,1,0.5,0,0,3361,1539,2556,1539,87,17657,19390,31252,31261,11862,120,82.5,25.8,6.9,11.5,5.2,178.4,13604,17657,116,120,80,75,75,71,103,67,57,46,845,44,22,147,2751,419,127,325,61,595,Chris Schoen,,141,993,4673,536,368,357,307,6,106,66,5,0,0,9,597,5007,508,23283,196,204,1660,0,396,8982,4,8,41,57,59,24,8,38,51,38,15,189,150,238,233,123,0,0,,0,,0,,0,,0,,4,6.9,60.2,11.5,79.4,97.9,45.8,8.1,22.7,33.9,137.4,17.6,15.5,178.4,44.8,683,2153,2177,2047,93,24,590,200,36,690,200,36,690,2035,4889,597,
