Season,GameID,OPOGPlayerID,DPOGPlayerID,Simmed,Weather,HomeTeamID,AwayTeamID,Week,HomeScore1Q,HomeScore2Q,HomeScore3Q,HomeScore4Q,HomeScoreOT,AwayScore1Q,AwayScore2Q,AwayScore3Q,AwayScore4Q,AwayScoreOT,AwayScore,HomeScore,Overtime,HomePlaysRun,AwayPlaysRun,PlaysRun,HomeTOP,AwayTOP,Home1stDowns,Away1stDowns,Home3rdDownAtt,Away3rdDownAtt,Home3rdDownComp,Away3rdDownComp,Home4thDownAtt,Away4thDownAtt,Home4thDownComp,Away4thDownComp,HomeTotalYds,AwayTotalYds,HomePassYds,HomePassAtt,HomePassCmp,HomeRushYds,HomeRushAtt,AwayPassYds,AwayPassAtt,AwayPassCmp,AwayRushYds,AwayRushAtt,HomePenalties,HomePenaltyYds,AwayPenalties,AwayPenaltyYds,HomeFumbles,HomeFumblesLost,HomeInt,AwayFumbles,AwayFumblesLost,AwayInt,HomeSacked,AwaySacked,HomeSackedYds,AwaySackedYds,GameType,PlayoffGameType
1988,2166,0,0,False,"0° F, Wind 0 mph",6,19,-4,0,0,0,0,0,0,0,0,0,0,0,0,False,52,67,119,0,0,0,0,0,0,0,0,0,0,0,0,293,342,203,23,18,124,29,208,30,17,163,37,4,40,6,49,1,1,0,0,0,0,2,1,12,8,Preseason,WildCard
1988,2167,0,0,False,"0° F, Wind 0 mph",4,8,-4,0,0,0,0,0,0,0,0,0,0,0,0,False,16,61,77,0,0,0,0,0,0,0,0,0,0,0,0,126,325,0,0,0,36,16,233,31,21,85,30,6,45,4,35,1,0,0,0,0,0,0,0,0,0,Preseason,WildCard
1988,2168,0,0,False,"72° F, Indoors",13,5,-4,0,0,0,0,0,0,0,0,0,0,0,0,False,35,64,99,0,0,0,0,0,0,0,0,0,0,0,0,191,433,140,26,15,40,9,228,29,20,170,35,4,40,1,1,2,1,0,0,0,1,1,3,5,18,Preseason,WildCard
1988,2169,0,0,False,"0° F, Wind 0 mph",14,7,-4,0,0,0,0,0,0,0,0,0,0,0,0,False,16,30,46,0,0,0,0,0,0,0,0,0,0,0,0,192,180,87,10,4,30,6,47,8,5,83,22,2,21,1,5,1,1,0,1,0,0,0,1,0,10,Preseason,WildCard
1988,2170,0,0,False,"72° F, Indoors",10,1,-4,0,0,0,0,0,0,0,0,0,0,0,0,False,18,45,63,0,0,0,0,0,0,0,0,0,0,0,0,251,133,0,0,0,107,18,189,26,15,34,19,0,0,4,35,0,0,0,0,0,0,0,5,0,26,Preseason,WildCard
1988,2171,0,0,False,"0° F, Wind 0 mph",20,3,-4,0,0,0,0,0,0,0,0,0,0,0,0,False,61,71,132,0,0,0,0,0,0,0,0,0,0,0,0,60,319,204,45,27,30,16,276,37,25,119,34,1,4,7,50,1,1,2,0,0,0,7,2,64,20,Preseason,WildCard
1988,2172,0,0,False,"0° F, Wind 0 mph",18,12,-4,0,0,0,0,0,0,0,0,0,0,0,0,False,59,18,77,0,0,0,0,0,0,0,0,0,0,0,0,228,130,121,27,21,134,32,33,5,4,43,13,5,33,7,43,2,0,0,0,0,0,1,1,10,10,Preseason,WildCard
1988,2173,0,0,False,"0° F, Wind 0 mph",17,11,-4,0,0,0,0,0,0,0,0,0,0,0,0,False,61,52,113,0,0,0,0,0,0,0,0,0,0,0,0,256,182,269,36,22,45,25,102,21,14,89,31,8,42,5,65,3,0,0,1,1,0,6,2,38,13,Preseason,WildCard
1988,2174,0,0,False,"0° F, Wind 0 mph",9,15,-4,0,0,0,0,0,0,0,0,0,0,0,0,False,18,40,58,0,0,0,0,0,0,0,0,0,0,0,0,240,284,81,13,8,24,5,331,40,27,0,0,3,19,8,70,0,0,0,0,0,1,0,1,0,6,Preseason,WildCard
1988,2175,0,0,False,"0° F, Wind 0 mph",2,16,-4,0,0,0,0,0,0,0,0,0,0,0,0,False,31,15,46,0,0,0,0,0,0,0,0,0,0,0,0,117,167,9,1,1,42,30,2,2,1,68,13,6,37,6,50,0,0,0,0,0,0,0,0,0,0,Preseason,WildCard
