PlayerID,40yd,Bench,VertJ,BroadJ,3Cone,Shuttle,Wonderlic
1809,4.48,20,30.5,122,6.94,4.41,22
1810,4.78,27,39.5,118,7.19,4.36,23
1811,4.3100000000000005,14,39.5,125,6.8500000000000005,4.3500000000000005,19
1812,4.92,26,31,112,7.28,4.41,5
1813,4.89,21,30,105,6.9,4.36,31
1814,4.53,20,39.5,127,7,4.17,26
1815,4.98,17,30,111,6.98,4.19,36
1816,4.8100000000000005,26,31,105,7.32,4.3500000000000005,31
1817,4.71,28,34,119,7.3,4.3500000000000005,8
1818,4.84,23,31,112,7.38,4.44,22
1819,4.8100000000000005,18,30,114,7.140000000000001,4.4,34
1820,5.42,26,24,105,7.97,4.7700000000000005,12
1821,5.32,34,28,108,7.3500000000000005,4.53,18
1822,4.46,18,31.5,120,6.7,4.16,17
1823,4.68,22,36,118,6.88,4.34,14
1824,4.57,18,39.5,126,7.26,4.46,13
1825,4.5600000000000005,24,41.5,126,7.1000000000000005,4.46,20
1826,4.43,19,31.5,125,7.18,4.48,23
1827,4.3,12,39.5,120,7.15,4.04,24
1828,5.43,22,28,97,7.59,4.6000000000000005,30
1829,4.3500000000000005,24,40.5,120,6.9,4.46,4
1830,4.92,27,36,112,7.05,4.2700000000000005,24
1831,4.6000000000000005,20,30,123,7.01,4.5,7
1832,4.98,19,33,113,7.17,4.42,50
1833,4.67,16,40,123,7.1000000000000005,4.23,4
1834,5.41,27,24,97,7.55,4.84,28
1835,5.29,31,30,103,7.72,4.8,22
1836,5.3,30,30,101,7.62,4.76,21
1837,5.2700000000000005,23,32,98,7.68,4.73,31
1838,4.93,21,29,120,6.87,4.22,21
1839,4.86,27,33,118,7.17,4.66,24
1840,5.3500000000000005,27,27.5,105,7.87,4.73,30
1841,5.3100000000000005,30,33.5,99,7.83,4.59,25
1842,5.36,31,26,96,7.79,4.69,19
1843,4.7,23,32,112,7.26,4.5,30
1844,5.04,21,29,115,6.98,4.34,24
1845,5.34,26,31,96,7.69,4.71,37
1846,5.46,25,27,96,7.7,4.82,11
1847,4.8500000000000005,22,35,115,7.15,4.71,18
1848,4.57,28,29.5,117,7,4.18,15
1849,4.36,12,34.5,122,6.73,4.4,16
1850,4.5200000000000005,21,41.5,121,6.88,4.43,6
