StreakID,CurrentStreak,MaxStreak,PlayerID
ConsecutiveGamesPlayed,48,48,1824
GamesWith100YardsReceiving,0,1,1824
GamesWith100YardsRushing,1,4,1824
GamesWRecTD,0,2,1824
GamesWRushTD,0,5,1824
ConsecutiveGamesPlayed,0,18,1828
ConsecutiveGamesPlayed,48,48,1848
GamesWSack,0,2,1848
ConsecutiveGamesPlayed,2,44,1875
GamesWSack,0,4,1875
ConsecutiveGamesPlayed,0,17,1902
GamesWSack,0,1,1902
ConsecutiveGamesPlayed,25,25,1921
GamesWInt,0,2,1921
GamesWSack,0,1,1921
ConsecutiveGamesPlayed,0,12,2232
ConsecutiveGamesPlayed,32,32,3498
GamesWInt,0,1,3498
GamesWSack,0,2,3498
ConsecutiveGamesPlayed,16,16,3418
GamesWRecTD,1,1,3418
GamesWRushTD,0,1,3418
ConsecutiveGamesPlayed,8,23,3314
ConsecutiveGamesPlayed,7,12,3419
ConsecutiveGamesPlayed,0,15,5614
GamesWPassTD,0,8,5614
ConsecutivePassesNoInt,288,288,5614
ConsecutiveCompletions,2,11,5614
GamesWith300Yards,0,1,5614
GamesWNoInt,0,9,5614
ConsecutiveGamesPlayed,1,10,5702
GamesWith100YardsReceiving,0,1,5702
GamesWRecTD,0,1,5702
ConsecutiveGamesPlayed,16,16,5653
ConsecutiveGamesPlayed,5,9,5683
GamesWSack,0,1,5683
ConsecutiveGamesPlayed,16,16,5366
ConsecutiveFGMade,1,2,5366
ConsecutiveGamesPlayed,0,3,5476
GamesWRushTD,0,1,5476
ConsecutiveGamesPlayed,16,16,6164
ConsecutiveGamesPlayed,2,2,6165
GamesWPassTD,1,1,6165
ConsecutivePassesNoInt,24,24,6165
ConsecutiveCompletions,2,4,6165
GamesWNoInt,2,2,6165
ConsecutiveGamesPlayed,0,1,6166
ConsecutiveGamesPlayed,16,16,6170
GamesWRecTD,0,1,6170
ConsecutiveGamesPlayed,2,12,6171
ConsecutiveGamesPlayed,5,5,6172
ConsecutiveGamesPlayed,16,16,6173
ConsecutiveGamesPlayed,1,6,5342
ConsecutiveGamesPlayed,48,48,2485
ConsecutiveFGMade,0,4,2485
ConsecutiveGamesPlayed,22,23,2250
ConsecutiveGamesPlayed,21,25,2024
GamesWSack,0,1,2024
ConsecutiveGamesPlayed,48,48,2769
GamesWInt,0,1,2769
ConsecutiveGamesPlayed,10,37,2417
GamesWRecTD,1,1,2417
ConsecutiveGamesPlayed,48,48,1811
GamesWInt,0,1,1811
GamesWSack,1,3,1811
ConsecutiveGamesPlayed,48,48,1862
GamesWInt,0,2,1862
GamesWSack,0,1,1862
ConsecutiveGamesPlayed,11,35,2055
GamesWInt,0,1,2055
GamesWSack,1,1,2055
ConsecutiveGamesPlayed,27,27,1879
GamesWith100YardsRushing,3,3,1879
GamesWRushTD,3,4,1879
ConsecutiveGamesPlayed,34,34,2214
GamesWSack,1,3,2214
ConsecutiveGamesPlayed,48,48,2347
GamesWSack,0,1,2347
ConsecutiveGamesPlayed,48,48,1986
GamesWRushTD,0,1,1986
ConsecutiveGamesPlayed,32,32,3513
ConsecutiveFGMade,9,24,3513
ConsecutiveGamesPlayed,15,15,3501
GamesWith100YardsReceiving,0,1,3501
GamesWRecTD,0,2,3501
GamesWRushTD,0,2,3501
ConsecutiveGamesPlayed,0,5,3337
ConsecutiveGamesPlayed,0,5,3386
ConsecutiveGamesPlayed,16,16,5606
ConsecutiveGamesPlayed,16,16,5636
ConsecutiveGamesPlayed,16,16,5645
ConsecutiveGamesPlayed,16,16,5567
ConsecutiveGamesPlayed,3,3,5638
ConsecutiveGamesPlayed,16,16,6134
GamesWRecTD,1,1,6134
ConsecutiveGamesPlayed,0,2,6135
GamesWPassTD,0,2,6135
ConsecutivePassesNoInt,16,24,6135
ConsecutiveCompletions,0,5,6135
GamesWNoInt,0,1,6135
ConsecutiveGamesPlayed,0,2,6137
ConsecutiveGamesPlayed,0,2,6138
ConsecutiveGamesPlayed,14,14,6139
ConsecutiveGamesPlayed,0,1,6141
ConsecutiveGamesPlayed,3,3,6143
ConsecutiveGamesPlayed,16,16,5693
GamesWRecTD,0,1,5693
ConsecutiveGamesPlayed,48,48,2282
GamesWith100YardsReceiving,0,3,2282
GamesWRecTD,3,4,2282
GamesWRushTD,0,1,2282
ConsecutiveGamesPlayed,20,20,2330
GamesWInt,1,1,2330
GamesWSack,0,1,2330
ConsecutiveGamesPlayed,3,14,2574
ConsecutiveGamesPlayed,40,40,2215
ConsecutiveGamesPlayed,48,48,2014
GamesWSack,0,2,2014
ConsecutiveGamesPlayed,38,38,2542
ConsecutiveGamesPlayed,32,32,2543
GamesWInt,0,1,2543
GamesWSack,1,1,2543
ConsecutiveGamesPlayed,36,36,2703
ConsecutiveGamesPlayed,0,17,2712
GamesWInt,0,1,2712
ConsecutiveGamesPlayed,32,32,3095
GamesWInt,0,1,3095
GamesWSack,0,1,3095
ConsecutiveGamesPlayed,25,25,3113
ConsecutiveGamesPlayed,16,16,5395
GamesWith100YardsRushing,0,1,5395
GamesWRecTD,0,1,5395
GamesWRushTD,0,1,5395
ConsecutiveGamesPlayed,16,16,5663
GamesWInt,0,1,5663
ConsecutiveGamesPlayed,16,16,5548
ConsecutiveGamesPlayed,4,4,5564
ConsecutiveGamesPlayed,2,13,1945
GamesWPassTD,0,4,1945
ConsecutivePassesNoInt,26,119,1945
ConsecutiveCompletions,2,16,1945
GamesWNoInt,1,3,1945
ConsecutiveGamesPlayed,0,15,2132
ConsecutiveGamesPlayed,48,48,2787
GamesWSack,0,3,2787
ConsecutiveGamesPlayed,15,32,2370
GamesWRecTD,0,3,2370
ConsecutiveGamesPlayed,0,3,3556
ConsecutiveGamesPlayed,32,32,2982
ConsecutiveGamesPlayed,23,23,2136
GamesWSack,0,1,2136
ConsecutiveGamesPlayed,0,10,2630
ConsecutiveGamesPlayed,0,3,3525
ConsecutiveGamesPlayed,16,16,5984
GamesWInt,0,1,5984
GamesWSack,0,1,5984
ConsecutiveGamesPlayed,8,8,5985
GamesWRecTD,0,1,5985
ConsecutiveGamesPlayed,2,12,5987
ConsecutiveGamesPlayed,16,16,5988
ConsecutiveGamesPlayed,16,16,5990
GamesWSack,0,1,5990
ConsecutiveGamesPlayed,48,48,1962
GamesWith100YardsRushing,0,1,1962
GamesWRushTD,1,2,1962
ConsecutiveGamesPlayed,12,16,2181
ConsecutiveGamesPlayed,20,27,2217
GamesWInt,0,1,2217
ConsecutiveGamesPlayed,38,38,2332
GamesWInt,0,1,2332
GamesWSack,0,1,2332
ConsecutiveGamesPlayed,48,48,2512
GamesWRecTD,0,1,2512
ConsecutiveGamesPlayed,48,48,2781
ConsecutiveFGMade,2,21,2781
ConsecutiveGamesPlayed,48,48,1998
GamesWRecTD,0,5,1998
GamesWRushTD,0,1,1998
ConsecutiveGamesPlayed,48,48,2414
GamesWith100YardsReceiving,0,1,2414
GamesWRecTD,0,1,2414
ConsecutiveGamesPlayed,17,17,2415
GamesWRecTD,0,1,2415
ConsecutiveGamesPlayed,16,16,2522
ConsecutiveGamesPlayed,32,32,2523
ConsecutiveGamesPlayed,3,15,2669
ConsecutiveGamesPlayed,48,48,2928
ConsecutiveGamesPlayed,48,48,3058
ConsecutiveFGMade,0,2,3058
ConsecutiveGamesPlayed,13,13,6157
ConsecutiveGamesPlayed,10,36,2868
GamesWSack,0,1,2868
ConsecutiveGamesPlayed,0,18,3447
ConsecutiveGamesPlayed,0,23,3285
GamesWith100YardsReceiving,0,1,3285
GamesWRecTD,0,2,3285
ConsecutiveGamesPlayed,21,26,1818
GamesWSack,6,8,1818
ConsecutiveGamesPlayed,48,48,1849
GamesWInt,0,1,1849
GamesWSack,0,1,1849
ConsecutiveGamesPlayed,34,34,1920
GamesWSack,0,2,1920
ConsecutiveGamesPlayed,0,10,1944
GamesWPassTD,0,6,1944
ConsecutivePassesNoInt,77,77,1944
