PlayerID,Jersey,FirstName,LastName,College,Age,Experience,Height,Weight,TeamID,DraftedBy,DraftRound,DraftPick,DraftSeason,isOffense,HallOfFame,Injury,InjuryLength,Salary,ContractYears,Position,Alt Position,Team,RetiredSeason,Franchise Tag,Tender Type,Awards,Strength,Agility,Arm,Speed,Hands,Intelligence,Accuracy,Run Blocking,Pass Blocking,Tackling,Endurance,Kick Distance,Kick Accuracy,Overall
1809,29,Eric,Dickerson,SMU,28,3,75,220,14,14,1,10,1985,TRUE,FALSE,,,6000000,2,RB,RB,ATL,0,FALSE,None,1985 Offensive Rookie of the Year|1985 Offensive Player of the Year|1985 NFC Pro Bowl Team|1986 NFC Pro Bowl Team|1987 NFC Pro Bowl Team,80,88,29,97,69,70,32,35,51,38,92,4,1,96
1810,56,Lawrence,Taylor,North Carolina,29,3,75,237,17,17,1,4,1985,FALSE,FALSE,,,6000000,2,LB,LB,CHC,0,FALSE,None,1985 NFC Pro Bowl Team|1986 Defensive Player of the Year|1986 NFC Pro Bowl Team|1987 Defensive Player of the Year|1987 Defensive MVP|1987 NFC Pro Bowl Team,86,81,10,91,56,76,8,7,5,94,93,1,1,100
1811,42,Ronnie,Lott,USC,29,3,72,203,4,4,1,12,1985,FALSE,FALSE,,,6000000,2,FS,FS,OAK,0,FALSE,None,1985 AFC Pro Bowl Team|1986 AFC Pro Bowl Team|1987 AFC Pro Bowl Team,71,90,1,92,69,76,4,1,2,79,91,3,1,98
1812,33,Roger,Craig,Nebraska,28,3,72,222,3,3,1,17,1985,TRUE,FALSE,,,6000000,2,FB,FB,GB,0,FALSE,None,1985 AFC Pro Bowl Team|1986 AFC Pro Bowl Team|1987 NFC Pro Bowl Team,76,76,5,82,92,70,1,71,57,43,80,1,1,100
1813,16,Joe,Montana,Notre Dame,32,3,74,200,12,11,1,2,1985,TRUE,FALSE,,,6000000,2,QB,QB,DET,0,FALSE,None,1986 NFC Pro Bowl Team|1987 NFC Pro Bowl Team,60,63,92,53,21,93,96,5,1,39,100,1,1,95
1814,34,Walter,Payton,Jackson State,32,1,70,200,0,17,2,15,1985,TRUE,FALSE,,,0,0,RB,RB,N/A,1986,FALSE,None,,62,91,31,82,69,80,36,33,34,44,89,8,1,87
1815,7,John,Elway,Stanford,28,3,75,215,18,18,1,5,1985,TRUE,FALSE,,,6000000,2,QB,QB,BAL,0,FALSE,None,1986 NFC Pro Bowl Team,64,80,90,67,21,92,95,1,1,31,86,1,5,95
1816,13,Dan,Marino,Pittsburgh,27,3,76,224,7,7,1,1,1985,TRUE,FALSE,,,6000000,2,QB,QB,CIN,0,FALSE,None,1985 AFC Pro Bowl Team|1986 Offensive Player of the Year|1986 Most Valuable Player|1986 AFC Pro Bowl Team|1987 AFC Pro Bowl Team,68,71,97,60,30,85,97,1,4,29,96,3,1,96
1817,57,Rickey,Jackson,Pittsburgh,30,3,74,243,6,6,1,15,1985,FALSE,FALSE,,,6000000,2,LB,LB,NYG,0,FALSE,None,1985 AFC Pro Bowl Team|1986 AFC Pro Bowl Team|1987 NFC Pro Bowl Team,79,85,1,80,64,74,2,1,1,86,91,2,10,95
1818,91,Reggie,White,Tennessee,27,3,77,291,5,5,1,6,1985,FALSE,FALSE,,,6000000,2,DE,DE,BUF,0,FALSE,None,1985 Defensive Rookie of the Year|1985 Defensive Player of the Year|1985 AFC Pro Bowl Team|1986 AFC Pro Bowl Team|1987 AFC Pro Bowl Team,85,81,7,72,57,70,1,5,1,87,88,1,2,100
