WeekNumber,GameID,Season,TeamID,Team,PlayerID,G,GS,Championships,ChampionshipYears,MadePlayoffs,Wins,Losses,Ties,WinPct,Round1Wins,Round1Losses,Rounds1WinPct,Round2Wins,Round2Losses,Round2WinPct,Round3Wins,Round3Losses,Round3WinPct,ChampionshipWins,ChampionshipLosses,ChampionshipWinPct,ELORating,Plays,RushAtt,Catches,PassAtt,PassCmp,PassInt,PassYds,PassYdsAgainst,TotalYdsAgainst,TotalYds,RushYdsAgainst,PassTD,PassRating,PassingAttemptsPerGame,PassingYardsPerAttempt,PassingYardsPerCompletion,SackPct,PassingYdsPerGame,RushYds,RecYds,RushTD,RecTD,RunLong,PassLong,RecLong,PuntLong,KRLong,PRLong,FGLong,Int,IntReturnYds,Fumbles,FumblesLost,FumReturnYds,Pancakes,MissedTackles,DroppedPasses,PassesDefensed,SacksAllowed,MissedBlocks,TeamOwner,Conference,WasSacked,SackedYards,Tackles,TFL,Sacks,Hurries,Knockdowns,Safeties,ForcedFumbles,FumblesRecovered,DefensiveTD,BlockedFG,BlockedPAT,BlockedPunt,Penalties,PenaltyYds,Punts,PuntYds,PuntsInside20,PuntReturns,PuntReturnYds,PuntReturnTD,KickoffReturns,KickoffReturnYds,KickoffReturnTD,FGA_U20,FGA_2029,FGA_3039,FGA_4049,FGA_50,FGM_U20,FGM_2029,FGM_3039,FGM_4049,FGM_50,FGA,FGM,XPA,XPM,POG,POW,POY,POYYears,ProBowl,ProBowlYears,MVP,MVPYears,PlayoffMVP,PlayoffMVPYears,ROY,ROYYears,RushAvg,PassAvg,PassPct,RecAvg,FGPct,XPPct,PuntAvg,PuntReturnAvg,KickReturnAvg,RushingAttPerGame,RushingYdsPerGame,RushFDPct,CatchesPerGame,ReceivingYdsPerGame,RecFDPct,KickingPoints,Points,PointsFor,PointsAgainst,Rush20,Rush40,RushFD,Pass20,Pass40,PassFD,Rec20,Rec40,RecFD,CtA,Tar,Job
,0,0,1,KC,,48,0,0,,1,27,21,0,0.562,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1353,982,1529,982,24,10874,0,0,16906,0,91,98.5,31.9,7.1,11.1,6,226.5,6032,10874,47,91,59,84,84,62,54,31,55,20,396,39,20,110,1189,226,100,153,52,315,Joe Satre,,98,704,2340,255,75,153,125,1,56,49,6,1,0,2,285,2415,234,10227,86,94,601,0,226,4766,0,3,20,23,37,9,3,15,13,24,4,92,59,141,137,57,0,0,,0,,0,,0,,0,,4.5,7.1,64.2,11.1,64.1,97.2,43.7,6.4,21.1,28.2,125.7,20.9,20.5,226.5,43.9,314,1178,0,0,45,9,283,117,27,431,117,27,431,1075,3209,
,0,0,2,MIA,,48,0,1,1987,1,27,21,0,0.562,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1500,849,1303,849,21,10337,0,0,15559,0,83,104,27.1,7.9,12.2,5.8,215.4,5222,10337,39,83,56,91,91,63,55,84,52,34,596,43,21,48,1151,234,72,198,26,224,Malinda Gates,,80,695,2244,227,71,172,148,3,37,41,5,1,1,5,253,2196,257,11328,107,113,1004,0,187,4023,0,4,20,23,31,11,2,16,19,20,4,89,61,120,118,43,0,0,,0,,0,,0,,0,,3.5,7.9,65.2,12.2,68.5,98.3,44.1,8.9,21.5,31.2,108.8,14.4,17.7,215.4,45.1,301,1063,0,0,27,5,216,133,38,383,133,38,383,1058,2961,
,0,0,3,GB,,48,0,0,,0,21,27,0,0.438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,1052,1583,1052,27,11832,0,0,17228,0,94,101.3,33,7.5,11.2,3.8,246.5,5396,11832,35,94,69,88,88,58,73,81,56,23,328,42,22,45,1321,192,85,159,19,246,Mike Kent,,63,443,2329,257,87,166,105,4,42,40,2,0,0,5,276,2475,242,9650,80,92,763,1,235,4820,0,3,19,28,29,7,3,14,21,22,3,86,63,127,123,50,0,0,,0,,0,,0,,0,,3.9,7.5,66.5,11.2,73.3,96.9,39.9,8.3,20.5,29.2,112.4,16.2,21.9,246.5,44.7,312,1104,0,0,41,11,227,117,23,470,117,23,470,1168,3324,
,0,0,4,OAK,,48,0,1,1985,3,31,17,0,0.646,0,1,0,2,0,1,1,1,0.5,1,0,1,0,0,1745,631,1089,631,15,9838,0,0,17116,0,78,106.1,22.7,9,15.6,10.4,205,7278,9838,59,78,95,81,81,58,100,60,55,25,405,68,33,59,1206,239,91,180,60,239,Ross Tirona,,126,968,2557,291,112,184,148,3,44,54,6,1,0,5,300,2423,277,11116,85,125,914,0,195,4301,2,6,22,26,35,15,6,17,23,28,10,104,84,140,135,56,0,0,,0,,0,,0,,0,,4.2,9,57.9,15.6,80.8,96.4,40.1,7.3,22.1,36.4,151.6,17.2,13.1,205,49.8,387,1257,0,0,40,11,300,149,48,314,149,48,314,1202,2849,
,0,0,5,BUF,,48,0,0,,1,19,29,0,0.396,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1706,786,1312,786,29,8163,0,0,14369,0,50,81.4,27.3,6.2,10.4,5.9,170.1,6206,8163,41,50,76,84,84,61,39,93,56,21,399,65,41,184,1056,186,74,134,35,337,Mike Ngo,,83,583,2543,344,156,113,152,2,66,54,7,1,0,4,273,2479,314,13124,102,120,1139,0,232,4847,0,4,24,29,31,10,4,20,25,19,8,98,76,92,89,45,0,0,,0,,0,,0,,0,,3.6,6.2,59.9,10.4,77.6,96.7,41.8,9.5,20.9,35.5,129.3,15.7,16.4,170.1,41.6,317,905,0,0,47,14,268,80,12,327,80,12,327,1015,2744,
,0,0,6,NYG,,48,0,0,,0,16,32,0,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1578,780,1239,780,43,8258,0,0,13284,0,55,82.7,25.8,6.7,10.6,6.6,172,5026,8258,31,55,67,62,62,61,101,73,55,26,401,41,20,48,1210,208,64,167,43,344,Chance Loock,,87,602,2282,293,52,154,101,3,41,42,6,0,0,4,293,2563,300,12617,93,89,798,2,220,4680,1,2,14,17,22,9,2,11,12,18,5,64,48,88,87,39,0,0,,0,,0,,0,,0,,3.2,6.7,63,10.6,75,98.9,42.1,9,21.3,32.9,104.7,15.7,16.2,172,45.6,231,801,0,0,20,3,247,80,13,356,80,13,356,1033,2783,
,0,0,7,CIN,,48,0,0,,3,34,14,0,0.708,0,0,0,2,1,0.667,1,1,0.5,0,1,0,0,0,1401,1002,1443,1002,11,11684,0,0,16645,0,99,113.4,30.1,8.1,11.7,4.1,243.4,4961,11684,48,99,79,76,76,63,98,73,51,26,436,38,18,106,1308,242,63,157,34,287,Ross Gates,,62,474,2248,246,74,149,103,0,51,37,3,1,0,4,279,2308,221,9718,92,95,867,0,210,4386,1,5,26,23,45,3,5,19,18,31,2,102,75,143,140,58,0,0,,0,,0,,0,,0,,3.5,8.1,69.4,11.7,73.5,97.9,44,9.1,20.9,29.2,103.4,16.8,20.9,243.4,41.1,365,1271,0,0,28,9,235,151,34,412,151,34,412,1026,2994,
,0,0,8,BER,,48,0,0,,1,25,23,0,0.521,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1432,1066,1552,1066,34,11671,0,0,16595,0,86,100,32.3,7.5,10.9,4.7,243.1,4924,11671,50,86,48,66,66,63,103,71,53,24,447,52,22,76,1256,234,60,150,24,272,Randy Lilley,,77,582,2253,261,66,152,123,1,44,52,3,0,0,8,323,2731,222,9727,81,105,668,0,228,5014,1,3,22,33,33,7,2,22,26,26,5,98,81,133,132,40,0,0,,0,,0,,0,,0,,3.4,7.5,68.7,10.9,82.7,99.2,43.8,6.4,22,29.8,102.6,17.3,22.2,243.1,45.2,375,1215,0,0,16,2,248,118,20,482,118,20,482,951,3028,
,0,0,9,LON,,48,0,0,,3,28,20,0,0.583,1,0,1,1,2,0.333,0,1,0,0,0,0,0,0,1438,891,1371,891,21,11706,0,0,18022,0,91,107.6,28.6,8.5,13.1,9.6,243.9,6316,11706,52,91,75,83,83,59,37,76,56,31,519,61,27,82,1627,222,94,153,86,263,Charlie B,,145,1052,2542,289,81,143,94,1,63,66,6,1,1,4,326,2823,232,9880,76,103,816,1,219,4421,0,4,15,31,38,10,3,11,22,20,8,98,64,140,134,56,0,0,,0,,0,,0,,0,,4.4,8.5,65,13.1,65.3,95.7,42.6,7.9,20.2,30,131.6,19.2,18.6,243.9,45.3,326,1226,0,0,50,11,276,150,34,404,150,34,404,1191,3029,
,0,0,10,IND,,48,0,0,,1,20,28,0,0.417,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1759,694,1127,694,35,7393,0,0,13945,0,41,79.9,23.5,6.6,10.7,6,154,6552,7393,59,41,80,75,75,62,100,67,57,23,444,29,13,83,1256,215,73,143,30,321,Chris Schoen,,72,517,2302,292,145,143,128,1,56,36,2,0,0,9,320,2642,272,12027,97,97,712,0,193,4490,2,1,21,22,29,14,1,20,17,17,8,87,63,102,98,56,0,0,,0,,0,,0,,0,,3.7,6.6,61.6,10.7,72.4,96.1,44.2,7.3,23.3,36.6,136.5,15,14.5,154,44.1,287,911,0,0,49,15,264,71,10,306,71,10,306,914,2439,
