CoachID,TeamID,FirstName,LastName,Age,Experience,Job,Salary,Years,Background,Reputation,Intelligence,Discipline,Motivating,Focus,Def. Scheme,LB Use,DL Use,Cover Pref,KeyDefPos,Off. Scheme,PassPref,PassTargetPref,RunPref,TERole,RBRole,WRPref,FBRole,QBPref,CoachingOff,CoachingDef,Prep,AssessAbility,AssessPotential,Scouting,Recruiting,Youngsters,Development,PhysicalTraining,AttentionToDetail,TrainDLine,TrainLBs,TrainDBs,TrainSTS,TrainOL,TrainOffSkill,TrainQB,Loyalty,Leadership,Charisma,Reputation,Flexibility,HomeStateID,Style,Attitude,Trait,FourthDownPref,FaceSet,Face,Clothes,Hairstyle
296434,4,John,Madden,56,7,HeadCoach,10,17,ProCoach,99,5,6,7,Run,D43Hybrid,Mixed,Mixed,Man,S,PowerHybrid,Balanced,Outside,Power,Mixed,Running,Mixed,Blocking,Pocket,10,10,10,0,0,2,,5,6,5,5,6,6,2,5,6,5,5,10,6,6,0,10,,Aggressive,Enthusiastic,Motivator,NotSet,c,0265.png,5.png,black_3079.png
474993,4,Tom,Flores,54,7,OffensiveCoordinator,4,4,None,84,5,5,5,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,6,5,5,5,5,7,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,,Conservative,Stern,Developer,NotSet,b,0282.png,14.png,bald_3012.png
180957,4,Bob,Zemen,54,7,DefensiveCoordinator,4,4,None,84,5,5,5,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,5,5,7,5,6,6,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,,Balanced,Silent,Tutor,NotSet,c,0263.png,15.png,darkbrown_3016.png
460269,4,Linwood,Maness,42,3,HeadTrainer,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Conservative,Volatile,Persuader,NotSet,,,,
396550,4,Donald,Gardner,47,10,HeadScout,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Balanced,Enthusiastic,NotSet,NotSet,,,,
483176,4,Oscar,Danielson,39,3,QBCoach,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Aggressive,Enthusiastic,NotSet,NotSet,,,,
30170,4,Roger,Locklear,44,8,SkillPositionCoach,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Aggressive,Stern,Recruiter,NotSet,,,,
224798,4,Jason,Martinez,38,3,SpecialTeamsCoach,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Aggressive,Stern,Recruiter,NotSet,,,,
8917,4,Willie,Wilks,42,3,OLCoach,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Balanced,Volatile,Tactician,NotSet,,,,
144598,4,Warren,Ricker,36,3,DLCoach,0.4,4,None,60,1,1,1,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,NotSet,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,Conservative,Professional,NotSet,NotSet,,,,
