PlayerID,Leadership,Work Ethic,Competitiveness,Team Player,Sportsmanship,Social Disposition,Money,Security,Loyalty,Winning,Playing Time,Close To Home,Market Size,Morale
1809,76,69,81,73,62,89,79,49,40,34,74,47,45,100
1810,27,64,78,21,60,83,70,41,46,56,100,46,63,94
1811,100,37,67,62,63,43,83,39,38,66,90,36,62,100
1812,31,60,74,37,82,71,77,36,49,35,95,38,53,95
1813,48,40,39,67,54,70,72,44,47,55,79,41,41,53
1814,96,58,60,77,69,31,92,50,33,32,76,33,35,90
1815,39,60,68,67,91,99,75,30,37,69,94,49,60,100
1816,96,70,64,89,52,36,78,47,43,67,100,44,54,100
1817,36,64,73,5,83,98,90,35,48,54,71,33,62,72
1818,66,76,65,78,63,65,80,41,37,30,86,33,46,100
1819,31,50,41,48,45,53,93,45,33,38,82,36,53,100
1820,63,47,66,98,48,59,71,41,43,54,72,43,34,88
1821,76,62,85,71,66,86,80,39,48,54,80,49,32,69
1822,69,73,89,69,94,77,95,37,44,34,71,47,69,83
1823,68,50,56,61,32,36,83,42,37,66,91,44,62,100
1824,46,66,88,60,95,61,71,32,44,50,71,50,31,100
1825,71,74,96,63,92,78,93,37,33,69,96,45,60,66
1826,61,52,66,60,65,44,83,37,36,61,92,41,69,77
1827,16,78,81,24,78,64,82,35,49,58,96,46,44,100
1828,19,99,100,7,79,76,94,35,50,41,72,50,31,59
1829,7,93,95,29,95,87,79,34,38,57,77,37,64,80
1830,62,37,62,63,44,63,81,47,45,45,95,46,35,78
1831,16,65,58,27,12,28,70,31,30,67,97,42,55,93
1832,79,46,67,82,37,36,99,38,41,38,84,32,37,59
1833,31,98,95,47,92,85,79,46,43,40,82,44,66,96
1834,42,71,89,69,95,84,76,48,41,33,75,48,39,95
1835,90,57,56,88,58,64,74,45,33,63,81,48,33,100
1836,61,55,57,34,64,58,83,30,33,48,85,41,50,100
1837,69,67,55,70,41,36,85,33,45,31,89,35,39,88
1838,7,94,94,15,72,87,96,41,46,40,97,30,62,39
1839,87,85,85,87,90,91,83,43,40,64,96,35,38,97
1840,83,60,100,82,93,62,81,34,32,59,91,32,50,100
1841,56,68,74,45,74,96,83,45,47,38,87,45,59,10
1842,85,58,32,71,49,47,97,35,40,47,89,42,42,62
1843,68,53,44,38,47,37,87,33,39,42,88,30,70,91
1844,50,90,63,46,66,97,78,32,40,62,94,39,39,99
1845,43,66,69,54,61,85,70,48,31,34,77,40,49,100
1846,42,98,63,40,87,96,93,49,40,30,96,41,58,39
1847,68,64,45,40,69,69,78,35,44,36,83,33,46,70
1848,59,79,73,61,74,78,81,45,43,59,78,40,36,91
1849,54,49,53,36,45,58,80,33,49,63,99,50,42,39
1850,41,64,67,43,64,95,74,40,43,34,81,36,36,50
1851,98,41,54,100,69,61,82,42,42,48,74,41,39,100
1852,44,58,60,30,38,69,79,48,33,56,97,47,70,90
1853,48,93,90,65,73,77,71,31,40,70,100,40,49,96
1854,76,71,97,98,73,80,96,30,36,50,71,34,49,97
1855,56,69,45,47,56,61,81,37,33,31,90,36,67,51
1856,36,43,36,33,42,34,88,32,40,53,94,37,65,35
1857,91,69,78,81,78,71,74,33,47,48,92,49,41,37
1858,83,62,69,79,34,52,81,40,47,59,79,30,70,100
1859,7,76,91,18,81,84,99,44,38,64,90,42,44,55
