Season,PlayerID,QB,RB,FB,WR,TE,G,T,C,P,K,DT,DE,LB,CB,SS,FS,Type
1985,1809,0,82,51,0,0,0,0,0,0,0,0,0,0,0,0,0,
1985,1809,1,82,51,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1985,1809,1,100,28,1,1,1,1,1,1,1,1,1,1,1,1,1,
1986,1809,1,84,47,1,1,1,1,1,1,1,1,1,1,1,1,1,
1986,1809,1,84,47,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1987,1809,1,85,44,1,1,1,1,1,1,1,1,1,1,1,1,1,
1987,1809,1,85,43,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1988,1809,1,91,41,1,1,1,1,1,1,1,1,1,1,1,1,1,
1988,1809,1,91,41,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1989,1809,1,100,32,1,1,1,1,1,1,1,1,1,1,1,1,1,
1989,1809,1,100,32,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1990,1809,1,100,29,1,1,1,1,1,1,1,1,1,1,1,1,1,
1990,1809,1,100,29,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1985,1810,0,0,0,0,0,0,0,0,0,0,0,47,92,0,42,0,
1985,1810,1,1,1,1,1,1,1,1,1,1,1,46,92,1,42,1,Training Camp
1985,1810,1,1,1,1,1,1,1,1,1,1,1,26,100,1,24,1,
1986,1810,1,1,1,1,1,1,1,1,1,1,1,43,94,1,36,1,
1986,1810,1,1,1,1,1,1,1,1,1,1,1,43,94,1,35,1,Training Camp
1987,1810,1,1,1,1,1,1,1,1,1,1,1,41,98,1,30,1,
1987,1810,1,1,1,1,1,1,1,1,1,1,1,41,98,1,29,1,Training Camp
1988,1810,1,1,1,1,1,1,1,1,1,1,1,39,100,1,24,1,
1988,1810,1,1,1,1,1,1,1,1,1,1,1,39,100,1,24,1,Training Camp
1989,1810,1,1,1,1,1,1,1,1,1,1,1,29,100,1,24,1,
1989,1810,1,1,1,1,1,1,1,1,1,1,1,29,100,1,24,1,Training Camp
1990,1810,1,1,1,1,1,1,1,1,1,1,1,26,100,1,24,1,
1990,1810,1,1,1,1,1,1,1,1,1,1,1,26,100,1,24,1,Training Camp
1985,1811,0,0,0,0,0,0,0,0,0,0,0,0,0,83,67,92,
1985,1811,1,1,1,1,1,1,1,1,1,1,1,1,1,83,67,92,Training Camp
1985,1811,1,1,1,1,1,1,1,1,1,1,1,1,1,60,36,100,
1986,1811,1,1,1,1,1,1,1,1,1,1,1,1,1,79,63,97,
1986,1811,1,1,1,1,1,1,1,1,1,1,1,1,1,79,63,97,Training Camp
1987,1811,1,1,1,1,1,1,1,1,1,1,1,1,1,76,58,100,
1987,1811,1,1,1,1,1,1,1,1,1,1,1,1,1,76,57,100,Training Camp
1988,1811,1,1,1,1,1,1,1,1,1,1,1,1,1,70,51,100,
1988,1811,1,1,1,1,1,1,1,1,1,1,1,1,1,69,51,100,Training Camp
1989,1811,1,1,1,1,1,1,1,1,1,1,1,1,1,67,47,100,
1989,1811,1,1,1,1,1,1,1,1,1,1,1,1,1,66,47,100,Training Camp
1990,1811,1,1,1,1,1,1,1,1,1,1,1,1,1,63,44,100,
1990,1811,1,1,1,1,1,1,1,1,1,1,1,1,1,63,43,100,Training Camp
1985,1812,0,47,71,0,0,0,0,0,0,0,0,0,0,0,0,0,
1985,1812,1,47,71,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1985,1812,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,
1986,1812,1,41,75,1,1,1,1,1,1,1,1,1,1,1,1,1,
1986,1812,1,41,75,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1987,1812,1,34,76,1,1,1,1,1,1,1,1,1,1,1,1,1,
1987,1812,1,34,76,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1988,1812,1,31,81,1,1,1,1,1,1,1,1,1,1,1,1,1,
1988,1812,1,30,81,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1989,1812,1,1,84,1,1,1,1,1,1,1,1,1,1,1,1,1,
1989,1812,1,1,84,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1990,1812,1,1,97,1,1,1,1,1,1,1,1,1,1,1,1,1,
1990,1812,1,1,97,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1985,1813,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1985,1813,87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1985,1813,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1986,1813,91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1986,1813,91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1987,1813,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1987,1813,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1988,1813,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
