StreakID,CurrentStreak,MaxStreak,PlayerID
ConsecutiveGamesPlayed,17,29,1879
GamesWith100YardsRushing,0,4,1879
GamesWRecTD,0,1,1879
GamesWRushTD,1,4,1879
ConsecutiveGamesPlayed,99,99,1986
GamesWRecTD,0,1,1986
GamesWRushTD,0,2,1986
ConsecutiveGamesPlayed,67,67,5636
ConsecutiveGamesPlayed,67,67,6134
GamesWith100YardsReceiving,1,1,6134
GamesWRecTD,1,1,6134
ConsecutiveGamesPlayed,20,59,2542
GamesWInt,0,1,2542
GamesWSack,0,2,2542
ConsecutiveGamesPlayed,0,17,2712
GamesWInt,0,1,2712
GamesWSack,0,1,2712
ConsecutiveGamesPlayed,51,51,7281
GamesWith100YardsRushing,0,4,7281
GamesWRecTD,0,1,7281
GamesWRushTD,0,3,7281
ConsecutiveGamesPlayed,34,34,7203
ConsecutiveGamesPlayed,0,27,1964
GamesWPassTD,0,18,1964
ConsecutivePassesNoInt,48,179,1964
ConsecutiveCompletions,0,12,1964
GamesWith300Yards,0,1,1964
GamesWNoInt,0,8,1964
ConsecutiveGamesPlayed,59,59,3113
GamesWSack,0,1,3113
ConsecutiveGamesPlayed,7,24,8478
ConsecutiveGamesPlayed,0,25,8606
ConsecutiveGamesPlayed,0,33,8411
GamesWSack,0,2,8411
ConsecutiveGamesPlayed,34,34,8484
ConsecutiveFGMade,10,11,8484
ConsecutiveGamesPlayed,34,34,8622
GamesWRecTD,0,1,8622
ConsecutiveGamesPlayed,3,13,3337
GamesWSack,0,1,3337
ConsecutiveGamesPlayed,85,85,2214
GamesWInt,0,1,2214
GamesWSack,0,3,2214
ConsecutiveGamesPlayed,20,70,1862
GamesWInt,1,3,1862
GamesWSack,0,1,1862
ConsecutiveGamesPlayed,86,86,1811
GamesWInt,0,3,1811
GamesWSack,0,3,1811
ConsecutiveGamesPlayed,17,17,10129
GamesWSack,0,1,10129
ConsecutiveGamesPlayed,17,17,9831
ConsecutiveGamesPlayed,17,17,9682
ConsecutiveGamesPlayed,17,17,10017
ConsecutiveGamesPlayed,9,9,9955
ConsecutiveGamesPlayed,0,7,9781
ConsecutiveGamesPlayed,72,72,2769
GamesWInt,1,1,2769
GamesWSack,0,1,2769
ConsecutiveGamesPlayed,44,49,1892
GamesWInt,0,2,1892
GamesWSack,0,1,1892
ConsecutiveGamesPlayed,63,63,2103
GamesWSack,0,1,2103
ConsecutiveGamesPlayed,0,6,9791
ConsecutiveGamesPlayed,17,17,9813
GamesWRecTD,0,1,9813
ConsecutiveGamesPlayed,0,5,9838
ConsecutiveGamesPlayed,2,6,9884
ConsecutiveGamesPlayed,1,5,9890
ConsecutiveGamesPlayed,17,17,9958
GamesWSack,1,1,9958
ConsecutiveGamesPlayed,3,11,10050
ConsecutiveGamesPlayed,99,99,2025
GamesWInt,0,2,2025
GamesWSack,0,1,2025
ConsecutiveGamesPlayed,53,53,5649
GamesWSack,0,3,5649
ConsecutiveGamesPlayed,67,67,6104
GamesWInt,0,1,6104
GamesWSack,0,1,6104
