PlayerID,Jersey,FirstName,LastName,College,Age,Experience,Height,Weight,TeamID,DraftedBy,DraftRound,DraftPick,DraftSeason,HallOfFame,Injury,InjuryLength,Salary,ContractYears,Position,Alt Position,Team,RetiredSeason,Franchise Tag,Tender Type,Awards,Strength,Agility,Arm,Speed,Hands,Intelligence,Accuracy,Run Blocking,Pass Blocking,Tackling,Endurance,Kick Distance,Kick Accuracy,Overall,,,,,,,,,,,,,,,,,,,,,
6164,59,William,Thomas,Texas A&M,23,0,74,223,1,0,0,0,0,FALSE,,,1000000,4,LB,LB,KC,0,FALSE,None,,74,71,1,83,44,67,1,1,1,69,83,1,5,75,,,"INSERT INTO `ptf_players_salaries` (`PlayerID`, `1985`,`1986`, `1987`, `1988`, `1989`, `1990`, `1991`, `1992`, `1993`, `1994`, `1995`, `1996`, `1997`)  VALUES (6164,0,0,1000000,1000000,1000000,1000000,0,0,0,0,0,0,0);",,,,,,,,,,,,,,,,,,"INSERT INTO `ptf_transactions` (PlayerID, TeamID_Old, TeamID_New, type, date) VALUES (6164,0,1,'supp',NOW());"
6154,23,Merton,Hanks,Iowa,23,0,74,185,2,0,0,0,0,FALSE,,,1000000,4,CB,CB,MIA,0,FALSE,None,,47,86,1,81,61,59,1,1,2,60,82,1,1,80,,,"INSERT INTO `ptf_players_salaries` (`PlayerID`, `1985`,`1986`, `1987`, `1988`, `1989`, `1990`, `1991`, `1992`, `1993`, `1994`, `1995`, `1996`, `1997`)  VALUES (6154,0,0,1000000,1000000,1000000,1000000,0,0,0,0,0,0,0);",,,,,,,,,,,,,,,,,,"INSERT INTO `ptf_transactions` (PlayerID, TeamID_Old, TeamID_New, type, date) VALUES (6154,0,2,'supp',NOW());"
6144,88,Herman,Moore,Virginia,22,0,76,210,3,0,0,0,0,FALSE,,,1000000,4,WR,WR,GB,0,FALSE,None,,33,79,1,85,84,62,1,31,27,25,90,5,1,84,,,"INSERT INTO `ptf_players_salaries` (`PlayerID`, `1985`,`1986`, `1987`, `1988`, `1989`, `1990`, `1991`, `1992`, `1993`, `1994`, `1995`, `1996`, `1997`)  VALUES (6144,0,0,1000000,1000000,1000000,1000000,0,0,0,0,0,0,0);",,,,,,,,,,,,,,,,,,"INSERT INTO `ptf_transactions` (PlayerID, TeamID_Old, TeamID_New, type, date) VALUES (6144,0,3,'supp',NOW());"
6135,1,Neil,O'Donnell,Maryland,25,0,75,228,4,0,0,0,0,FALSE,,,1000000,4,QB,QB,OAK,0,FALSE,None,,44,62,83,64,13,67,84,1,1,21,86,1,1,73,,,"INSERT INTO `ptf_players_salaries` (`PlayerID`, `1985`,`1986`, `1987`, `1988`, `1989`, `1990`, `1991`, `1992`, `1993`, `1994`, `1995`, `1996`, `1997`)  VALUES (6135,0,0,1000000,1000000,1000000,1000000,0,0,0,0,0,0,0);",,,,,,,,,,,,,,,,,,"INSERT INTO `ptf_transactions` (PlayerID, TeamID_Old, TeamID_New, type, date) VALUES (6135,0,4,'supp',NOW());"
6124,73,Russell,Maryland,Miami (FL),22,0,73,300,5,0,0,0,0,FALSE,,,1000000,4,DT,DT,BUF,0,FALSE,None,,86,62,1,75,35,70,1,1,1,72,75,1,1,81,,,"INSERT INTO `ptf_players_salaries` (`PlayerID`, `1985`,`1986`, `1987`, `1988`, `1989`, `1990`, `1991`, `1992`, `1993`, `1994`, `1995`, `1996`, `1997`)  VALUES (6124,0,0,1000000,1000000,1000000,1000000,0,0,0,0,0,0,0);",,,,,,,,,,,,,,,,,,"INSERT INTO `ptf_transactions` (PlayerID, TeamID_Old, TeamID_New, type, date) VALUES (6124,0,5,'supp',NOW());"
6114,27,Larry,Brown,TCU,22,0,71,186,6,0,0,0,0,FALSE,,,1000000,4,CB,CB,NYG,0,FALSE,None,,50,79,1,80,55,70,1,1,1,58,80,1,1,73,,,"INSERT INTO `ptf_players_salaries` (`PlayerID`, `1985`,`1986`, `1987`, `1988`, `1989`, `1990`, `1991`, `1992`, `1993`, `1994`, `1995`, `1996`, `1997`)  VALUES (6114,0,0,1000000,1000000,1000000,1000000,0,0,0,0,0,0,0);",,,,,,,,,,,,,,,,,,"INSERT INTO `ptf_transactions` (PlayerID, TeamID_Old, TeamID_New, type, date) VALUES (6114,0,6,'supp',NOW());"
6104,55,Mike,Croel,Nebraska,22,0,75,238,7,0,0,0,0,FALSE,,,1000000,4,LB,LB,CIN,0,FALSE,None,,74,65,1,70,29,63,1,1,1,83,71,1,1,78,,,"INSERT INTO `ptf_players_salaries` (`PlayerID`, `1985`,`1986`, `1987`, `1988`, `1989`, `1990`, `1991`, `1992`, `1993`, `1994`, `1995`, `1996`, `1997`)  VALUES (6104,0,0,1000000,1000000,1000000,1000000,0,0,0,0,0,0,0);",,,,,,,,,,,,,,,,,,"INSERT INTO `ptf_transactions` (PlayerID, TeamID_Old, TeamID_New, type, date) VALUES (6104,0,7,'supp',NOW());"
6094,75,Mike,Jones,North Carolina State,22,0,76,290,8,0,0,0,0,FALSE,,,1000000,4,DE,DE,PRO,0,FALSE,None,,80,64,1,70,44,43,1,1,1,58,74,1,1,78,,,"INSERT INTO `ptf_players_salaries` (`PlayerID`, `1985`,`1986`, `1987`, `1988`, `1989`, `1990`, `1991`, `1992`, `1993`, `1994`, `1995`, `1996`, `1997`)  VALUES (6094,0,0,1000000,1000000,1000000,1000000,0,0,0,0,0,0,0);",,,,,,,,,,,,,,,,,,"INSERT INTO `ptf_transactions` (PlayerID, TeamID_Old, TeamID_New, type, date) VALUES (6094,0,8,'supp',NOW());"
6084,31,Terry,Allen,Clemson,23,0,70,204,9,0,0,0,0,FALSE,,,1000000,4,RB,RB,LON,0,FALSE,None,,59,67,27,87,59,46,20,23,18,18,68,1,1,82,,,"INSERT INTO `ptf_players_salaries` (`PlayerID`, `1985`,`1986`, `1987`, `1988`, `1989`, `1990`, `1991`, `1992`, `1993`, `1994`, `1995`, `1996`, `1997`)  VALUES (6084,0,0,1000000,1000000,1000000,1000000,0,0,0,0,0,0,0);",,,,,,,,,,,,,,,,,,"INSERT INTO `ptf_transactions` (PlayerID, TeamID_Old, TeamID_New, type, date) VALUES (6084,0,9,'supp',NOW());"
6074,30,Marcus,Robertson,Iowa State,22,0,71,198,10,0,0,0,0,FALSE,,,1000000,4,FS,FS,IND,0,FALSE,None,,54,70,1,84,63,59,1,1,1,59,80,1,1,75,,,"INSERT INTO `ptf_players_salaries` (`PlayerID`, `1985`,`1986`, `1987`, `1988`, `1989`, `1990`, `1991`, `1992`, `1993`, `1994`, `1995`, `1996`, `1997`)  VALUES (6074,0,0,1000000,1000000,1000000,1000000,0,0,0,0,0,0,0);",,,,,,,,,,,,,,,,,,"INSERT INTO `ptf_transactions` (PlayerID, TeamID_Old, TeamID_New, type, date) VALUES (6074,0,10,'supp',NOW());"
