PlayerName,TargetPlayerName,CohesionLevel
"Gerald Riggs","Bill Lewis",2
"Gerald Riggs","Michael Jackson",7
"Gerald Riggs","Alan Veingrad",2
"Gerald Riggs","Bobby Hebert",7
"Gerald Riggs","Jeremy Trueblood",4
"Gerald Riggs","Jason Murphy",3
"Gerald Riggs","Rashid Shaheed",1
"Gerald Riggs","Tony Paige",2
"Gerald Riggs","Renaldo Nehemiah",1
"Gerald Riggs","Gene Hickerson",6
"Tony Paige","Bob Brotzki",5
"Tony Paige","Brandon Aubrey",2
"Tony Paige","Derek Kennard",2
"Tony Paige","Jeremy Trueblood",6
"Tony Paige","Jason Murphy",3
"Tony Paige","Rashid Shaheed",10
"Tony Paige","Gene Hickerson",9
"Tony Paige","Marshawn Lynch",17
"Tony Paige","Jake Ferguson",14
"Tony Paige","Cap Boso",6
"Tony Paige","George Musso",2
"Tony Paige","Mike Baab",5
"Tony Paige","Ben Grubbs",2
"Tony Paige","Tony Hill",2
"Tony Paige","Tyler Smith",11
"Tony Paige","Mike Saxon II",2
"Tony Paige","Norm Katnik",7
"Tony Paige","Charlie Garner",1
"Tony Paige","Isaac Bruce",2
"Tony Paige","Bobby Hebert",5
"Tony Paige","Alan Veingrad",2
"Tony Paige","Mel Gray",4
"Tony Paige","Michael Jackson",2
"Jeremy Trueblood","Mike Baab",4
"Jeremy Trueblood","Tyler Smith",10
"Jeremy Trueblood","Gene Hickerson",8
"Jeremy Trueblood","Tony Paige",15
"Jeremy Trueblood","George Musso",16
"Jeremy Trueblood","Rashid Shaheed",2
"Jeremy Trueblood","Renaldo Nehemiah",2
"Jeremy Trueblood","Jason Murphy",21
"Jeremy Trueblood","Bobby Hebert",12
"Jeremy Trueblood","Tony Hill",19
"Jeremy Trueblood","Brandon Aubrey",2
"Jeremy Trueblood","Marshawn Lynch",9
"Jeremy Trueblood","Neil O'Donnell",1
"Jeremy Trueblood","Michael Jackson",8
"Jeremy Trueblood","Gerald Riggs",8
"Jeremy Trueblood","Mike Saxon II",3
"Jeremy Trueblood","Jake Ferguson",8
"Jeremy Trueblood","Alan Veingrad",2
"Jeremy Trueblood","Charlie Garner",11
"Jeremy Trueblood","Mel Gray",9
"Jeremy Trueblood","Isaac Bruce",8
"Jeremy Trueblood","Deuce Lutui",1
"Jeremy Trueblood","Marcus Vick",5
"Jeremy Trueblood","Kevin Dyson",3
"Michael Jackson","Cap Boso",4
"Michael Jackson","Renaldo Nehemiah",2
"Michael Jackson","George Musso",3
"Michael Jackson","Tyler Smith",2
"Michael Jackson","Mel Gray",3
"Michael Jackson","Gene Hickerson",4
"Michael Jackson","Jason Murphy",2
"Michael Jackson","Tony Hill",5
"Michael Jackson","Alan Veingrad",1
"Michael Jackson","Bob Brotzki",3
"Michael Jackson","James McKnight",7
"Michael Jackson","Isaac Bruce",2
"Michael Jackson","Charlie Garner",2
"Michael Jackson","Jeremy Trueblood",5
"Buddy Curry","Mike Wise",4
"Buddy Curry","Don Davis",4
"Buddy Curry","Mike Golic",4
"Buddy Curry","Sean Jones",7
"Buddy Curry","Keena Turner",4
"Buddy Curry","Logan Hall",3
"Buddy Curry","Albert Lewis",1
"Buddy Curry","Bill Maas",9
"Buddy Curry","Leslie Frazier",6
"Buddy Curry","Ronnie Lott",1
"Buddy Curry","Rick Lyle",2
"Buddy Curry","Mel Black",2
"Buddy Curry","Todd Shell",3
"Buddy Curry","Darrell Green",3
"Buddy Curry","Lonnie Young",4
"Lonnie Young","Mel Black",1
"Lonnie Young","Albert Lewis",4
"Lonnie Young","Bill Maas",3
"Lonnie Young","Greg Ellis",3
"Lonnie Young","Tory James",1
"Lonnie Young","Buddy Curry",2
