Week,Home,Away
-4,8,20
-4,7,13
-4,18,9
-4,1,4
-4,5,19
-4,17,10
-4,6,2
-4,14,16
-4,11,3
-4,15,12
-3,20,18
-3,2,9
-3,8,1
-3,4,5
-3,7,19
-3,16,17
-3,14,6
-3,3,10
-3,12,11
-3,15,13
-2,4,11
-2,18,2
-2,9,8
-2,5,7
-2,19,1
-2,17,20
-2,6,16
-2,10,14
-2,13,12
-2,3,15
1,18,11
1,9,6
1,2,5
1,10,16
1,1,3
1,8,13
1,4,15
1,20,12
1,17,19
1,14,7
2,18,9
2,2,5
2,7,4
2,8,20
2,1,17
2,6,10
2,16,14
2,11,13
2,15,12
2,19,3
12,18,10
12,9,16
12,2,14
12,5,19
12,1,11
12,7,13
12,4,15
12,8,12
12,20,3
12,17,6
4,5,9
4,1,2
4,20,4
4,8,17
4,18,7
4,14,10
4,19,16
4,12,13
4,15,3
4,6,11
5,18,6
5,9,10
5,2,16
5,20,12
5,17,3
5,7,11
5,4,5
5,8,1
5,13,14
5,15,19
6,18,2
6,5,1
6,7,8
6,20,17
6,9,4
6,6,16
6,14,19
6,11,15
6,12,3
6,10,13
7,16,18
7,14,9
7,19,2
7,6,5
7,13,1
7,15,7
7,12,4
7,3,8
7,11,20
7,10,17
8,9,1
8,5,18
8,4,17
8,7,20
8,2,8
8,10,19
8,14,6
8,13,3
8,11,12
8,16,15
10,9,18
10,5,2
10,20,8
10,7,17
10,4,1
10,10,6
10,14,16
10,12,15
10,11,3
10,13,19
11,9,2
11,1,18
11,4,8
11,17,7
11,5,20
11,10,16
11,19,6
11,13,15
11,3,11
11,14,12
3,5,14
3,1,19
3,8,15
3,4,13
3,20,18
3,17,9
3,7,2
3,12,6
3,3,10
3,11,16
13,2,9
13,1,5
13,17,20
13,4,7
13,8,18
13,16,10
13,19,14
13,3,12
13,13,11
13,15,6
14,14,18
14,19,9
14,11,2
14,13,5
14,15,1
14,12,7
14,3,4
14,6,8
14,10,20
14,16,17
15,18,5
15,2,1
15,8,7
15,17,4
15,20,9
15,6,14
15,16,19
15,15,11
15,3,13
15,12,10
16,18,4
16,9,8
16,2,20
16,5,17
16,1,7
16,19,11
16,6,13
16,10,15
16,16,12
16,14,3
17,9,5
17,18,1
17,20,7
17,8,4
17,17,2
17,10,14
17,6,19
17,12,11
17,15,13
17,3,16
18,1,9
18,2,18
18,4,20
18,17,8
18,7,5
18,19,10
18,16,6
18,13,12
18,3,15
18,11,14
