WeekNumber,GameID,Season,TeamID,Team,PlayerID,G,GS,Championships,ChampionshipYears,MadePlayoffs,Wins,Losses,Ties,WinPct,Round1Wins,Round1Losses,Rounds1WinPct,Round2Wins,Round2Losses,Round2WinPct,Round3Wins,Round3Losses,Round3WinPct,ChampionshipWins,ChampionshipLosses,ChampionshipWinPct,ELORating,Plays,RushAtt,Catches,PassAtt,PassCmp,PassInt,PassYds,PassYdsAgainst,TotalYdsAgainst,TotalYds,RushYdsAgainst,PassTD,PassRating,PassingAttemptsPerGame,PassingYardsPerAttempt,PassingYardsPerCompletion,SackPct,PassingYdsPerGame,RushYds,RecYds,RushTD,RecTD,RunLong,PassLong,RecLong,PuntLong,KRLong,PRLong,FGLong,Int,IntReturnYds,Fumbles,FumblesLost,FumReturnYds,Pancakes,MissedTackles,DroppedPasses,PassesDefensed,SacksAllowed,MissedBlocks,TeamOwner,WasSacked,SackedYards,Tackles,TFL,Sacks,Hurries,Knockdowns,Safeties,ForcedFumbles,FumblesRecovered,DefensiveTD,BlockedFG,BlockedPAT,BlockedPunt,Penalties,PenaltyYds,Punts,PuntYds,PuntsInside20,PuntReturns,PuntReturnYds,PuntReturnTD,KickoffReturns,KickoffReturnYds,KickoffReturnTD,FGA_U20,FGA_2029,FGA_3039,FGA_4049,FGA_50,FGM_U20,FGM_2029,FGM_3039,FGM_4049,FGM_50,FGA,FGM,XPA,XPM,POG,POW,POY,POYYears,ProBowl,ProBowlYears,MVP,MVPYears,PlayoffMVP,PlayoffMVPYears,ROY,ROYYears,RushAvg,PassAvg,PassPct,RecAvg,FGPct,XPPct,PuntAvg,PuntReturnAvg,KickReturnAvg,RushingAttPerGame,RushingYdsPerGame,RushFDPct,CatchesPerGame,ReceivingYdsPerGame,RecFDPct,KickingPoints,Points,PointsFor,PointsAgainst,Rush20,Rush40,RushFD,Pass20,Pass40,PassFD,Rec20,Rec40,RecFD,CtA,Tar,Job
,0,1985,7,CIN,3841,5,0,0,,0,4,1,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,115,157,115,2,994,960,1496,1572,536,8,101.2,31.4,6.3,8.6,3.7,198.8,578,994,5,8,33,38,38,61,38,67,43,5,52,3,1,1,99,21,7,24,5,20,,6,50,243,20,6,20,10,0,3,4,0,0,0,1,27,212,20,896,10,12,142,0,22,480,0,0,5,4,2,0,0,5,3,1,0,11,9,12,12,5,0,0,,0,,0,,0,,0,,4.5,6.3,73.2,8.6,81.8,100,44.8,11.8,21.8,25.8,115.6,23.3,23,198.8,47,39,117,117,87,3,0,30,7,0,54,7,0,54,134,367,Head Coach
,0,1985,14,ATL,23772,5,0,0,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,73,110,73,6,640,1354,2240,1419,886,5,74.1,22,5.8,8.8,5.2,128,779,640,5,5,51,48,48,58,40,14,54,3,30,4,2,22,81,28,2,5,1,27,,6,30,276,34,8,6,6,0,10,6,0,0,0,0,24,237,28,1172,10,8,46,0,29,718,0,0,1,3,3,1,0,1,1,0,1,8,3,9,9,2,0,0,,0,,0,,0,,0,,4.2,5.8,66.4,8.8,37.5,100,41.9,5.8,24.8,37.2,155.8,19.4,14.6,128,30.1,18,78,80,174,5,1,36,5,1,22,5,1,22,116,253,Defensive Coordinator
,0,1985,2,MIA,29522,5,0,0,,0,3,2,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,115,164,115,0,1420,1056,2092,2034,1036,11,119,32.8,8.7,12.3,3,284,614,1420,7,11,34,87,87,58,38,16,46,4,1,9,0,26,132,31,8,17,1,25,,5,33,252,29,5,17,12,0,6,12,0,0,0,0,35,294,26,1075,5,10,62,0,22,370,0,0,2,4,4,0,0,2,3,2,0,10,7,16,15,4,0,0,,0,,0,,0,,0,,3.8,8.7,70.1,12.3,70,93.8,41.3,6.2,16.8,32.6,122.8,15.3,23,284,51.3,36,144,146,136,2,0,25,16,6,59,16,6,59,96,310,Head Coach
,0,1985,11,CHI,56262,5,0,0,,0,1,4,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,102,160,102,7,1030,621,1448,1558,827,4,72.1,32,6.4,10.1,4.2,206,528,1030,2,4,60,75,75,58,90,17,52,1,5,4,2,4,135,38,8,16,3,44,,7,44,255,25,12,12,11,1,7,3,0,0,0,0,33,293,28,1225,12,7,49,0,23,603,0,1,6,2,2,1,1,5,2,2,1,12,11,6,5,6,0,0,,0,,0,,0,,0,,3.2,6.4,63.7,10.1,91.7,83.3,43.8,7,26.2,33.2,105.6,15.1,20.4,206,46.1,38,74,76,108,4,2,25,8,1,47,8,1,47,105,317,Offensive Coordinator
,0,1985,12,DET,61172,5,0,0,,0,1,4,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,100,151,100,1,920,799,1414,1702,615,9,99.8,30.2,6.1,9.2,5,184,782,920,3,9,55,68,68,54,37,17,53,4,79,7,6,22,112,23,6,9,6,33,,8,59,256,41,13,7,13,0,7,3,1,0,0,1,39,315,26,1058,5,11,128,0,24,527,0,0,1,6,4,1,0,1,4,3,1,12,9,13,13,3,0,0,,0,,0,,0,,0,,4.4,6.1,66.2,9.2,75,100,40.7,11.6,22,35.6,156.4,19.7,20,184,37,40,118,118,125,3,1,35,9,1,37,9,1,37,90,278,Head Coach
,0,1985,15,SF,67835,5,0,0,,0,3,2,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,67,118,67,1,578,805,1607,1387,802,6,83.2,23.6,4.9,8.6,7.8,115.6,809,578,9,6,46,33,33,61,28,16,45,6,134,7,5,0,150,29,9,20,5,33,,10,66,269,27,11,13,15,1,1,2,1,0,0,0,25,217,30,1292,11,14,63,0,20,409,0,0,1,2,3,0,0,1,2,3,0,6,6,15,15,5,0,0,,0,,0,,0,,0,,4.5,4.9,56.8,8.6,100,100,43.1,4.5,20.4,36.2,161.8,18.2,13.4,115.6,37.3,33,129,131,98,7,1,33,2,0,25,2,0,25,109,282,Offensive Coordinator
,0,1985,11,CHI,70157,5,0,0,,0,1,4,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,102,160,102,7,1030,621,1448,1558,827,4,72.1,32,6.4,10.1,4.2,206,528,1030,2,4,60,75,75,58,90,17,52,1,5,4,2,4,135,38,8,16,3,44,,7,44,255,25,12,12,11,1,7,3,0,0,0,0,33,293,28,1225,12,7,49,0,23,603,0,1,6,2,2,1,1,5,2,2,1,12,11,6,5,6,0,0,,0,,0,,0,,0,,3.2,6.4,63.7,10.1,91.7,83.3,43.8,7,26.2,33.2,105.6,15.1,20.4,206,46.1,38,74,76,108,4,2,25,8,1,47,8,1,47,105,317,Head Coach
,0,1985,16,PHI,95660,5,0,0,,0,2,3,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,90,162,90,1,1356,761,1430,1816,669,11,103.3,32.4,8.4,15.1,13.8,271.2,460,1356,5,11,39,58,58,55,32,18,48,4,67,5,2,18,210,25,9,22,21,49,,26,190,255,32,7,12,21,0,6,8,1,0,0,0,34,290,25,955,8,9,72,0,24,455,0,0,3,3,3,1,0,3,3,2,0,10,8,15,12,7,0,0,,0,,0,,0,,0,,3.6,8.4,55.6,15.1,80,80,38.2,8,19,25.8,92,11.6,18,271.2,58.9,36,138,142,109,1,0,15,17,6,53,17,6,53,96,308,Head Coach
,0,1985,8,PRO,122637,5,0,0,,0,2,3,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,115,170,115,1,1157,1406,1898,1661,492,6,96.1,34,6.8,10.1,3.4,231.4,504,1157,5,6,33,53,53,62,36,15,49,2,19,6,3,11,135,33,16,10,1,29,,6,36,227,22,11,14,10,0,5,6,1,0,0,2,27,214,23,955,8,8,49,0,22,519,0,0,4,2,3,0,0,4,1,3,0,9,8,12,11,3,0,0,,0,,0,,0,,0,,3.3,6.8,67.6,10.1,88.9,91.7,41.5,6.1,23.6,31,100.8,20,23,231.4,45.2,35,107,107,114,1,0,31,9,3,52,9,3,52,107,319,Head Coach
,0,1985,18,CLM,136373,5,0,0,,0,2,3,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,83,124,83,6,1008,1017,1562,1708,545,9,95.8,24.8,8.1,12.1,3.1,201.6,700,1008,4,9,75,63,63,61,31,15,53,6,108,6,1,9,124,22,5,22,2,31,,4,30,235,35,7,22,12,0,2,6,1,0,0,2,42,372,24,1053,10,12,71,0,25,516,0,1,2,3,1,3,0,2,2,0,3,10,7,14,13,5,0,0,,0,,0,,0,,0,,3.8,8.1,66.9,12.1,70,92.9,43.9,5.9,20.6,36.4,140,17,16.6,201.6,47,34,118,118,118,2,1,31,7,2,39,7,2,39,107,300,Defensive Coordinator
