Season,GameID,OPOGPlayerID,DPOGPlayerID,Simmed,Weather,HomeTeamID,AwayTeamID,Week,HomeScore1Q,HomeScore2Q,HomeScore3Q,HomeScore4Q,HomeScoreOT,AwayScore1Q,AwayScore2Q,AwayScore3Q,AwayScore4Q,AwayScoreOT,AwayScore,HomeScore,Overtime,HomePlaysRun,AwayPlaysRun,PlaysRun,HomeTOP,AwayTOP,Home1stDowns,Away1stDowns,Home3rdDownAtt,Away3rdDownAtt,Home3rdDownComp,Away3rdDownComp,Home4thDownAtt,Away4thDownAtt,Home4thDownComp,Away4thDownComp,HomeTotalYds,AwayTotalYds,HomePassYds,HomePassAtt,HomePassCmp,HomeRushYds,HomeRushAtt,AwayPassYds,AwayPassAtt,AwayPassCmp,AwayRushYds,AwayRushAtt,HomePenalties,HomePenaltyYds,AwayPenalties,AwayPenaltyYds,HomeFumbles,HomeFumblesLost,HomeInt,AwayFumbles,AwayFumblesLost,AwayInt,HomeSacked,AwaySacked,HomeSackedYds,AwaySackedYds,GameType,PlayoffGameType
1985,159,1997,2849,True,"64° F, Wind 12 mph",1,18,-4,3,7,0,6,0,0,0,7,7,0,14,16,False,72,61,133,1878,1722,14,16,16,12,6,4,0,1,0,1,568,384,391,34,26,203,38,188,26,17,196,35,9,87,9,69,0,0,0,0,0,2,1,0,6,0,Preseason,WildCard
1985,160,2483,2220,True,"82° F, Wind 8 mph",2,13,-4,3,13,0,0,0,0,7,0,0,0,7,16,False,66,62,128,1674,1926,4,16,14,18,2,5,0,3,0,1,424,241,321,43,23,124,23,117,23,13,136,39,6,50,1,5,0,0,0,2,2,1,0,0,0,0,Preseason,WildCard
1985,161,2034,2690,True,"72° F, Indoors",3,6,-4,7,14,7,7,0,3,3,7,7,0,20,35,False,50,56,106,1922,1678,17,14,12,9,10,2,0,1,0,1,466,203,422,31,26,44,19,59,16,8,147,40,3,40,5,54,2,2,0,1,0,2,1,2,6,13,Preseason,WildCard
1985,162,1946,2266,True,"72° F, Wind 7 mph",4,7,-4,7,14,7,7,0,7,13,8,7,6,41,35,True,59,71,130,2152,2168,20,21,12,13,6,6,1,1,0,0,312,387,151,23,10,161,36,307,42,26,107,29,5,56,4,30,0,0,1,0,0,0,1,1,6,8,Preseason,WildCard
1985,163,2808,2402,True,"68° F, Wind 4 mph",5,17,-4,7,7,0,7,0,0,3,0,7,0,10,21,False,64,77,141,1693,1907,16,14,12,17,5,7,1,0,1,0,325,457,133,17,12,192,47,280,39,26,181,38,5,52,8,56,2,0,0,3,1,0,2,2,20,17,Preseason,WildCard
1985,164,2119,2932,True,"64° F, Wind 11 mph",8,12,-4,7,3,0,10,0,7,0,3,3,0,13,20,False,84,77,161,1812,1788,13,16,12,15,3,3,0,3,0,2,378,309,359,54,35,71,30,261,45,27,105,32,9,75,3,40,0,0,0,0,0,1,3,2,27,16,Preseason,WildCard
1985,165,2437,2019,True,"60° F, Wind 5 mph",9,15,-4,0,0,7,10,0,0,7,0,13,0,20,17,False,66,65,131,1789,1811,17,19,11,17,4,9,1,1,1,0,304,287,236,28,20,143,38,139,25,14,148,40,11,81,1,15,2,1,0,1,0,0,4,1,24,6,Preseason,WildCard
1985,166,1809,2018,True,"63° F, Wind 5 mph",10,14,-4,7,10,6,0,0,7,9,15,7,0,38,23,False,68,73,141,1687,1913,19,17,11,12,2,7,2,0,1,0,288,335,235,26,23,118,42,179,27,19,156,46,4,45,4,45,0,0,1,1,1,3,4,1,18,5,Preseason,WildCard
1985,167,2170,2351,True,"64° F, Wind 15 mph",11,16,-4,3,7,3,9,0,0,0,14,7,0,21,22,False,94,63,157,2153,1447,14,7,19,13,6,5,2,1,2,0,550,374,302,37,24,285,57,423,36,24,76,27,6,46,6,60,0,0,2,1,1,0,2,7,14,41,Preseason,WildCard
1985,168,1833,2683,True,"66° F, Wind 2 mph",1,9,-3,3,0,0,7,0,13,0,7,21,0,41,10,False,72,66,138,1723,1877,11,14,14,12,1,3,2,0,0,0,568,304,391,34,26,203,38,236,28,20,143,38,9,87,11,81,0,0,0,2,1,0,1,4,6,24,Preseason,WildCard
