WeekNumber,GameID,Season,TeamID,Team,PlayerID,G,GS,Championships,ChampionshipYears,MadePlayoffs,Wins,Losses,Ties,WinPct,Round1Wins,Round1Losses,Rounds1WinPct,Round2Wins,Round2Losses,Round2WinPct,Round3Wins,Round3Losses,Round3WinPct,ChampionshipWins,ChampionshipLosses,ChampionshipWinPct,ELORating,Plays,RushAtt,Catches,PassAtt,PassCmp,PassInt,PassYds,PassYdsAgainst,TotalYdsAgainst,TotalYds,RushYdsAgainst,PassTD,PassRating,PassingAttemptsPerGame,PassingYardsPerAttempt,PassingYardsPerCompletion,SackPct,PassingYdsPerGame,RushYds,RecYds,RushTD,RecTD,RunLong,PassLong,RecLong,PuntLong,KRLong,PRLong,FGLong,Int,IntReturnYds,Fumbles,FumblesLost,FumReturnYds,Pancakes,MissedTackles,DroppedPasses,PassesDefensed,SacksAllowed,MissedBlocks,TeamOwner,Conference,WasSacked,SackedYards,Tackles,TFL,Sacks,Hurries,Knockdowns,Safeties,ForcedFumbles,FumblesRecovered,DefensiveTD,BlockedFG,BlockedPAT,BlockedPunt,Penalties,PenaltyYds,Punts,PuntYds,PuntsInside20,PuntReturns,PuntReturnYds,PuntReturnTD,KickoffReturns,KickoffReturnYds,KickoffReturnTD,FGA_U20,FGA_2029,FGA_3039,FGA_4049,FGA_50,FGM_U20,FGM_2029,FGM_3039,FGM_4049,FGM_50,FGA,FGM,XPA,XPM,POG,POW,POY,POYYears,ProBowl,ProBowlYears,MVP,MVPYears,PlayoffMVP,PlayoffMVPYears,ROY,ROYYears,RushAvg,PassAvg,PassPct,RecAvg,FGPct,XPPct,PuntAvg,PuntReturnAvg,KickReturnAvg,RushingAttPerGame,RushingYdsPerGame,RushFDPct,CatchesPerGame,ReceivingYdsPerGame,RecFDPct,KickingPoints,Points,PointsFor,PointsAgainst,Rush20,Rush40,RushFD,Pass20,Pass40,PassFD,Rec20,Rec40,RecFD,CtA,Tar,DTar,Job
,0,0,16,TB,507,35,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1063,693,1037,693,21,7892,0,0,12372,0,65,101.9,29.6,7.6,11.4,8.5,225.5,4480,7892,24,65,68,87,87,66,95,21,55,21,245,42,22,54,894,237,49,176,60,291,,,96,720,1730,163,74,220,63,1,27,35,1,0,0,2,205,1677,208,9177,70,68,474,0,171,3802,1,1,10,14,19,9,1,9,11,15,6,53,42,88,85,29,0,0,,0,,0,,0,,0,,4.2,7.6,66.8,11.4,79.2,96.6,44.1,7,22.2,30.4,128,18.8,19.8,225.5,38,211,757,0,0,33,7,200,93,22,263,93,22,263,793,2295,27,
,0,0,10,IND,2248,35,0,1,1989,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1093,600,1002,600,38,7117,0,0,11986,0,50,82.4,28.6,7.1,11.9,3.8,203.3,4869,7117,42,50,76,65,65,69,103,64,51,13,251,9,5,47,1047,131,33,117,18,184,,,40,264,1580,171,162,132,121,5,32,18,1,0,0,0,177,1555,159,7499,70,83,714,0,131,2979,2,5,15,25,17,4,5,14,24,13,4,66,60,93,92,46,0,0,,0,,0,,0,,0,,4.5,7.1,59.9,11.9,90.9,98.9,47.2,8.6,22.7,31.2,139.1,21.3,17.1,203.3,46.7,272,842,0,0,26,4,233,85,19,280,85,19,280,738,2023,44,
,0,0,2,MIA,3535,35,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892,727,1074,727,24,8714,0,0,12239,0,70,104.7,30.7,8.1,12,7.3,249,3525,8714,29,70,75,77,77,65,35,18,52,20,332,24,10,52,922,218,32,143,28,242,,,85,691,1667,168,84,170,85,1,31,28,3,0,0,0,205,1734,170,7511,61,55,240,0,142,2910,0,3,10,13,21,11,3,8,10,16,4,58,41,96,95,33,0,0,,0,,0,,0,,0,,4,8.1,67.7,12,70.7,99,44.2,4.4,20.5,25.5,100.7,17.2,20.8,249,43.7,218,830,0,0,20,6,153,109,32,318,109,32,318,795,2280,44,
,0,0,7,CIN,3841,35,0,1,1988,1,17,18,0,0.486,0,0,0,1,0,1,1,0,1,1,0,1,0,0,893,664,1209,664,28,7318,0,0,10373,0,49,76.9,34.5,6.1,11,7.9,209.1,3055,7318,22,49,47,74,74,62,108,62,53,27,480,39,15,33,964,221,84,168,55,393,,,104,733,1708,171,42,227,66,0,35,41,4,0,0,2,192,1682,225,9780,68,64,419,0,167,3964,3,5,10,13,17,6,5,9,10,14,2,51,40,76,75,23,0,0,,0,,0,,0,,0,,3.4,6.1,54.9,11,78.4,98.7,43.5,6.5,23.7,25.5,87.3,16.6,19,209.1,44.7,195,663,0,0,23,2,148,77,16,297,77,16,297,824,2518,34,
,0,0,17,CHC,4394,35,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,868,766,1180,766,22,7884,0,0,11297,0,47,89.5,33.7,6.7,10.3,8.6,225.3,3413,7884,27,47,55,83,83,64,41,67,52,20,379,29,12,23,848,186,49,152,66,280,,,111,831,1592,164,92,211,63,0,20,24,2,0,0,0,208,1772,172,7670,56,66,472,0,168,3678,0,1,19,21,15,3,1,17,21,13,1,59,53,74,72,26,0,0,,0,,0,,0,,0,,3.9,6.7,64.9,10.3,89.8,97.3,44.6,7.2,21.9,24.8,97.5,19.5,21.9,225.3,40.7,231,687,0,0,22,4,169,79,14,312,79,14,312,785,2404,28,
,0,0,4,OAK,8917,35,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1284,475,803,475,22,5933,0,0,12197,0,50,91.5,22.9,7.4,12.5,10,169.5,6264,5933,39,50,76,60,60,60,108,65,55,28,560,39,16,14,1056,221,52,146,54,214,,,89,646,1886,189,63,206,73,0,28,36,8,0,0,2,232,2003,198,8593,65,55,560,0,171,4077,2,6,11,24,19,6,5,11,17,12,5,66,50,97,96,27,0,0,,0,,0,,0,,0,,4.9,7.4,59.2,12.5,75.8,99,43.4,10.2,23.8,36.7,179,20.7,13.6,169.5,44.4,246,840,0,0,53,10,266,80,17,211,80,17,211,928,2160,43,
,0,0,14,ATL,9559,35,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020,579,921,579,18,8709,0,0,12911,0,76,113.2,26.3,9.5,15,12.7,248.8,4202,8709,26,76,67,68,68,65,42,77,52,26,392,29,10,115,1123,191,37,161,70,246,,,134,1094,1566,198,68,214,75,4,34,38,2,0,0,0,192,1601,169,7808,55,61,622,1,157,3730,0,2,14,23,25,9,2,12,19,16,3,73,52,103,102,34,0,0,,0,,0,,0,,0,,4.1,9.5,62.9,15,71.2,99,46.2,10.2,23.8,29.1,120.1,18.4,16.5,248.8,47.3,258,888,0,0,26,8,188,141,39,274,141,39,274,861,2161,40,
,0,0,19,WAS,11355,35,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1233,562,923,562,28,6025,0,0,11644,0,40,81.8,26.4,6.5,10.7,6.7,172.1,5619,6025,38,40,56,66,66,62,43,19,52,16,214,28,18,103,899,207,46,116,38,304,,,66,427,1706,185,59,157,63,1,42,29,4,1,0,1,208,1622,157,7145,59,57,397,0,177,4100,0,5,11,17,24,6,5,7,11,13,2,63,38,80,79,28,0,0,,0,,0,,0,,0,,4.6,6.5,60.9,10.7,60.3,98.8,45.5,7,23.2,35.2,160.5,22.1,16.1,172.1,44.1,193,685,0,0,34,9,272,60,12,248,60,12,248,805,2034,44,
,0,0,2,MIA,18749,35,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892,727,1074,727,24,8714,0,0,12239,0,70,104.7,30.7,8.1,12,7.3,249,3525,8714,29,70,75,77,77,65,35,18,52,20,332,24,10,52,922,218,32,143,28,242,,,85,691,1667,168,84,170,85,1,31,28,3,0,0,0,205,1734,170,7511,61,55,240,0,142,2910,0,3,10,13,21,11,3,8,10,16,4,58,41,96,95,33,0,0,,0,,0,,0,,0,,4,8.1,67.7,12,70.7,99,44.2,4.4,20.5,25.5,100.7,17.2,20.8,249,43.7,218,830,0,0,20,6,153,109,32,318,109,32,318,795,2280,44,
,0,0,16,TB,21668,35,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1063,693,1037,693,21,7892,0,0,12372,0,65,101.9,29.6,7.6,11.4,8.5,225.5,4480,7892,24,65,68,87,87,66,95,21,55,21,245,42,22,54,894,237,49,176,60,291,,,96,720,1730,163,74,220,63,1,27,35,1,0,0,2,205,1677,208,9177,70,68,474,0,171,3802,1,1,10,14,19,9,1,9,11,15,6,53,42,88,85,29,0,0,,0,,0,,0,,0,,4.2,7.6,66.8,11.4,79.2,96.6,44.1,7,22.2,30.4,128,18.8,19.8,225.5,38,211,757,0,0,33,7,200,93,22,263,93,22,263,793,2295,27,
