PlayerID,Season,Type,Strength,Agility,Arm,Speed,Hands,Intelligence,Accuracy,RunBlocking,PassBlocking,Tackling,Endurance,KickDistance,KickAccuracy
1809,1985,,80,88,29,97,65,70,32,34,48,38,90,4,1
1809,1985,Training Camp,80,88,29,97,65,70,32,34,49,38,90,4,1
1809,1986,,80,88,29,97,65,70,32,34,49,38,91,4,1
1809,1986,Training Camp,80,88,29,97,68,70,32,34,49,38,91,4,1
1809,1987,,80,88,29,97,69,70,32,34,50,38,92,4,1
1809,1987,Training Camp,80,88,29,97,69,70,32,34,51,38,92,4,1
1809,1988,,80,88,29,97,69,70,32,35,51,38,92,4,1
1809,1988,Training Camp,82,88,29,97,72,70,32,35,51,38,92,4,1
1809,1989,,82,88,29,97,72,70,32,35,51,38,92,4,1
1809,1989,Training Camp,78,84,29,92,72,69,32,33,49,38,92,4,1
1809,1990,,78,84,29,92,72,69,32,33,49,38,92,4,1
1809,1990,Training Camp,81,84,29,92,72,69,32,33,51,38,92,4,1
1810,1985,,83,81,10,90,55,75,8,7,5,90,90,1,1
1810,1985,Training Camp,83,81,10,90,55,75,8,7,5,90,92,1,1
1810,1986,,83,81,10,90,55,75,8,7,5,91,92,1,1
1810,1986,Training Camp,86,81,10,90,55,75,8,7,5,91,93,1,1
1810,1987,,86,81,10,90,55,76,8,7,5,93,93,1,1
1810,1987,Training Camp,86,81,10,90,55,76,8,7,5,93,93,1,1
1810,1988,,86,81,10,91,56,76,8,7,5,94,93,1,1
1810,1988,Training Camp,85,80,10,88,56,76,8,7,5,92,91,1,1
1810,1989,,85,80,10,88,56,76,8,7,5,92,92,1,1
1810,1989,Training Camp,81,79,10,81,55,76,8,7,5,91,92,1,1
1810,1990,,81,80,10,81,54,76,8,7,5,91,93,1,1
1810,1990,Training Camp,84,80,10,81,55,76,8,7,5,91,96,1,1
1811,1985,,71,90,1,92,68,76,4,1,2,77,87,3,1
1811,1985,Training Camp,71,90,1,92,68,76,4,1,2,77,88,3,1
1811,1986,,71,90,1,92,68,76,4,1,2,77,89,3,1
1811,1986,Training Camp,71,90,1,92,68,76,4,1,2,77,89,3,1
1811,1987,,71,90,1,92,69,76,4,1,2,77,89,3,1
1811,1987,Training Camp,71,90,1,92,69,76,4,1,2,79,91,3,1
1811,1988,,71,90,1,92,69,76,4,1,2,79,91,3,1
1811,1988,Training Camp,69,90,1,84,70,76,4,1,2,79,90,3,1
1811,1989,,69,90,1,84,70,76,4,1,2,79,91,3,1
1811,1989,Training Camp,69,88,1,79,70,76,4,1,2,79,86,3,1
1811,1990,,69,88,1,79,70,77,4,1,2,79,86,3,1
1811,1990,Training Camp,70,88,1,79,70,77,4,1,2,79,86,3,1
1812,1985,,75,75,5,80,90,68,1,67,53,43,76,1,1
1812,1985,Training Camp,75,76,5,82,90,68,1,68,56,43,79,1,1
1812,1986,,76,76,5,82,90,69,1,68,57,43,79,1,1
1812,1986,Training Camp,76,76,5,82,92,69,1,71,57,43,79,1,1
1812,1987,,76,76,5,82,92,70,1,71,57,43,79,1,1
1812,1987,Training Camp,76,76,5,82,92,70,1,71,57,43,79,1,1
1812,1988,,76,76,5,82,92,70,1,71,57,43,80,1,1
1812,1988,Training Camp,76,76,5,82,92,70,1,73,60,43,82,1,1
1812,1989,,77,77,5,83,92,70,1,73,61,43,82,1,1
1812,1989,Training Camp,72,76,5,77,92,69,1,76,61,43,81,1,1
1812,1990,,72,76,5,77,92,69,1,76,61,43,82,1,1
1812,1990,Training Camp,71,76,5,72,92,68,1,76,60,43,82,1,1
1813,1985,,68,65,93,60,18,93,98,5,1,39,100,1,1
1813,1985,Training Camp,64,64,93,55,20,93,97,5,1,39,100,1,1
1813,1986,,64,64,93,55,21,93,97,5,1,39,100,1,1
1813,1986,Training Camp,60,62,92,53,21,93,96,5,1,39,100,1,1
1813,1987,,60,63,92,53,21,93,96,5,1,39,100,1,1
1813,1987,Training Camp,60,63,92,53,21,93,96,5,1,39,100,1,1
1813,1988,,60,63,92,53,21,93,96,5,1,39,100,1,1
1813,1988,Training Camp,54,61,90,52,21,94,94,5,1,39,99,1,1
1813,1989,,50,61,87,47,21,94,93,5,1,39,96,1,1
1813,1989,Training Camp,50,61,87,47,21,94,93,5,1,39,98,1,1
1813,1990,,50,61,89,47,21,94,93,5,1,39,98,1,1
1813,1990,Training Camp,45,57,89,43,21,93,92,5,1,39,97,1,1
1814,1985,,65,92,31,90,70,80,36,36,36,44,90,8,1
1814,1985,Training Camp,61,91,31,82,69,80,36,33,34,44,89,8,1
1815,1985,,59,79,90,65,21,92,94,1,1,31,84,1,5
1815,1985,Training Camp,59,79,90,67,21,92,94,1,1,31,84,1,5
1815,1986,,59,79,90,67,21,92,94,1,1,31,85,1,5
1815,1986,Training Camp,62,79,90,67,21,92,94,1,1,31,85,1,5
1815,1987,,62,80,90,67,21,92,94,1,1,31,85,1,5
1815,1987,Training Camp,64,80,90,67,21,92,95,1,1,31,85,1,5
1815,1988,,64,80,90,67,21,92,95,1,1,31,86,1,5
1815,1988,Training Camp,64,80,90,67,21,92,95,1,1,31,86,1,5
1815,1989,,64,80,90,67,22,92,96,1,1,31,86,1,5
1815,1989,Training Camp,64,80,90,67,22,92,96,1,1,31,86,1,5
1815,1990,,64,80,90,67,22,92,96,1,1,31,86,1,5
1815,1990,Training Camp,64,83,90,67,22,92,96,1,1,31,87,1,5
1816,1985,,65,70,97,60,29,85,97,1,4,29,92,3,1
1816,1985,Training Camp,65,71,97,60,29,85,97,1,4,29,92,3,1
1816,1986,,65,71,97,60,29,85,97,1,4,29,93,3,1
1816,1986,Training Camp,68,71,97,60,29,85,97,1,4,29,96,3,1
1816,1987,,68,71,97,60,29,85,97,1,4,29,96,3,1
1816,1987,Training Camp,68,71,97,60,30,85,97,1,4,29,96,3,1
1816,1988,,68,71,97,60,30,85,97,1,4,29,96,3,1
1816,1988,Training Camp,70,71,97,60,33,85,97,1,4,29,96,3,1
1816,1989,,70,71,97,61,33,85,97,1,4,29,96,3,1
1816,1989,Training Camp,70,71,97,61,34,86,97,1,4,29,96,3,1
1816,1990,,70,71,97,62,34,86,97,1,4,29,96,3,1
1816,1990,Training Camp,70,71,97,62,34,86,97,1,4,29,98,3,1
1817,1985,,79,83,1,80,60,69,2,1,1,83,88,2,10
1817,1985,Training Camp,79,83,1,80,60,71,2,1,1,85,89,2,10
1817,1986,,79,83,1,80,62,71,2,1,1,85,89,2,10
1817,1986,Training Camp,79,83,1,80,62,73,2,1,1,85,89,2,10
1817,1987,,79,85,1,80,62,74,2,1,1,86,89,2,10
1817,1987,Training Camp,79,85,1,80,64,74,2,1,1,86,89,2,10
1817,1988,,79,85,1,80,64,74,2,1,1,86,91,2,10
1817,1988,Training Camp,75,84,1,76,64,74,2,1,1,84,93,2,10
1817,1989,,75,84,1,76,65,75,2,1,1,87,93,2,10
1817,1989,Training Camp,77,84,1,79,65,75,2,1,1,87,93,2,10
1817,1990,,75,84,1,72,64,75,2,1,1,88,92,2,10
1817,1990,Training Camp,73,81,1,70,62,74,2,1,1,88,90,2,10
1818,1985,,85,80,7,71,55,70,1,5,1,85,85,1,2
1818,1985,Training Camp,85,80,7,71,55,70,1,5,1,85,85,1,2
1818,1986,,85,80,7,72,56,70,1,5,1,85,85,1,2
1818,1986,Training Camp,85,80,7,72,56,70,1,5,1,87,85,1,2
1818,1987,,85,81,7,72,57,70,1,5,1,87,85,1,2
1818,1987,Training Camp,85,81,7,72,57,70,1,5,1,87,88,1,2
1818,1988,,85,81,7,72,57,70,1,5,1,87,88,1,2
1818,1988,Training Camp,86,81,7,74,57,70,1,5,1,87,88,1,2
1818,1989,,88,81,7,74,57,69,1,5,1,87,88,1,2
1818,1989,Training Camp,88,81,7,77,57,69,1,5,1,87,88,1,2
1818,1990,,88,82,7,77,56,68,1,5,1,86,88,1,2
1818,1990,Training Camp,88,82,7,77,56,68,1,5,1,86,88,1,2
1819,1985,,63,65,92,65,23,92,84,5,1,39,89,9,1
1819,1985,Training Camp,63,65,92,65,23,92,84,5,1,39,89,9,1
1819,1986,,63,65,92,65,23,92,84,5,1,39,89,9,1
1819,1986,Training Camp,60,65,92,59,22,92,82,5,1,39,89,9,1
1819,1987,,60,66,92,60,22,92,82,5,1,39,89,9,1
1819,1987,Training Camp,60,67,92,60,25,94,82,5,1,39,89,9,1
1819,1988,,60,67,92,60,25,94,82,5,1,39,89,9,1
1819,1988,Training Camp,61,66,92,55,24,94,81,5,1,39,88,9,1
1819,1989,,62,68,92,55,24,94,82,5,1,39,88,9,1
1819,1989,Training Camp,61,62,91,51,24,92,80,5,1,39,85,9,1
1819,1990,,61,62,91,51,24,92,80,5,1,39,85,9,1
1819,1990,Training Camp,61,65,91,51,24,92,80,5,1,39,86,9,1
1820,1985,,92,63,5,63,13,61,1,88,83,44,65,1,5
1820,1985,Training Camp,92,63,5,63,15,63,1,88,85,44,65,1,5
1820,1986,,92,63,5,63,15,63,1,88,85,44,65,1,5
1820,1986,Training Camp,87,63,5,60,15,63,1,88,83,44,62,1,5
1820,1987,,87,63,5,60,15,63,1,89,83,44,62,1,5
1820,1987,Training Camp,87,64,5,63,15,63,1,89,83,44,63,1,5
1820,1988,,87,65,5,63,15,63,1,89,83,44,63,1,5
1820,1988,Training Camp,87,65,5,63,15,63,1,89,83,44,63,1,5
1820,1989,,84,64,5,60,15,63,1,85,83,44,62,1,5
1820,1989,Training Camp,78,60,5,54,15,63,1,86,84,44,62,1,5
1821,1985,,86,75,8,78,44,59,1,9,5,78,84,3,1
1821,1985,Training Camp,80,74,8,74,44,59,1,9,5,78,83,3,1
1822,1985,,40,90,1,88,90,60,10,35,30,38,90,1,1
1822,1985,Training Camp,40,90,1,88,90,60,10,35,30,38,90,1,1
1822,1986,,40,90,1,88,91,60,10,35,30,38,90,1,1
1822,1986,Training Camp,40,90,1,88,92,60,10,35,30,38,90,1,1
1822,1987,,40,91,1,88,92,60,10,35,30,38,90,1,1
1822,1987,Training Camp,40,93,1,90,92,60,10,35,30,38,90,1,1
1822,1988,,40,93,1,90,92,61,10,35,30,38,90,1,1
1822,1988,Training Camp,40,93,1,90,92,61,10,35,30,38,91,1,1
1822,1989,,40,93,1,90,92,61,10,36,30,38,91,1,1
1822,1989,Training Camp,40,93,1,90,92,61,10,37,30,38,91,1,1
1822,1990,,40,93,1,90,94,61,10,37,30,38,91,1,1
1822,1990,Training Camp,37,90,1,86,94,61,10,37,30,38,91,1,1
1823,1985,,85,72,34,81,72,61,23,44,24,36,77,1,5
1823,1985,Training Camp,80,70,34,72,72,61,23,41,22,36,75,1,5
1824,1985,,72,85,30,85,75,66,35,38,39,50,97,1,1
1824,1985,Training Camp,72,85,30,88,75,66,35,38,39,50,97,1,1
1824,1986,,72,85,30,89,76,66,35,38,39,50,97,1,1
1824,1986,Training Camp,72,85,30,89,78,66,35,38,42,50,97,1,1
1824,1987,,72,85,30,89,78,66,35,38,42,50,97,1,1
1824,1987,Training Camp,72,85,30,89,80,66,35,38,42,50,97,1,1
1824,1988,,73,85,30,89,80,66,35,38,42,50,97,1,1
1824,1988,Training Camp,73,85,30,90,80,66,35,38,42,50,97,1,1
1824,1989,,70,84,30,90,79,65,35,38,42,50,97,1,1
1824,1989,Training Camp,67,84,30,84,81,64,35,35,43,50,94,1,1
1824,1990,,67,84,30,84,81,63,35,33,43,50,93,1,1
1824,1990,Training Camp,67,84,30,84,81,63,35,33,43,50,93,1,1
1825,1985,,73,84,1,85,70,66,1,5,1,64,89,1,1
1825,1985,Training Camp,73,87,1,85,70,66,1,5,1,64,89,1,1
1825,1986,,73,87,1,85,70,66,1,5,1,64,89,1,1
1825,1986,Training Camp,73,87,1,85,70,66,1,5,1,64,89,1,1
1825,1987,,73,87,1,85,70,66,1,5,1,64,89,1,1
1825,1987,Training Camp,73,87,1,85,70,66,1,5,1,65,92,1,1
1825,1988,,73,87,1,85,70,66,1,5,1,65,92,1,1
1825,1988,Training Camp,73,87,1,85,73,66,1,5,1,66,92,1,1
1825,1989,,73,87,1,85,74,66,1,5,1,66,92,1,1
1825,1989,Training Camp,73,89,1,85,74,66,1,5,1,66,92,1,1
1825,1990,,73,90,1,85,76,66,1,5,1,66,93,1,1
1825,1990,Training Camp,70,89,1,82,73,66,1,5,1,63,91,1,1
1826,1985,,45,95,8,95,99,80,7,30,32,34,95,7,5
1826,1985,Training Camp,47,95,8,95,99,82,7,31,32,34,97,7,5
1826,1986,,47,95,8,95,99,82,7,31,32,34,97,7,5
1826,1986,Training Camp,47,95,8,95,99,84,7,31,32,34,97,7,5
1826,1987,,47,95,8,95,99,86,7,31,33,34,97,7,5
1826,1987,Training Camp,47,95,8,95,99,86,7,31,33,34,97,7,5
1826,1988,,47,95,8,95,99,86,7,32,33,34,97,7,5
1826,1988,Training Camp,47,95,8,95,99,86,7,32,35,34,97,7,5
1826,1989,,46,95,8,95,99,86,7,32,37,34,98,7,5
1826,1989,Training Camp,46,95,8,95,99,86,7,32,37,34,98,7,5
1826,1990,,46,95,8,95,99,86,7,33,37,34,98,7,5
1826,1990,Training Camp,46,95,8,95,99,89,7,33,37,34,98,7,5
1827,1985,,50,90,1,90,90,55,8,34,19,42,85,1,1
1827,1985,Training Camp,50,92,1,90,90,55,8,34,19,42,87,1,1
1827,1986,,50,92,1,90,90,56,8,34,19,42,89,1,1
1827,1986,Training Camp,50,92,1,90,90,56,8,34,19,42,92,1,1
1827,1987,,50,92,1,90,90,57,8,34,20,42,93,1,1
1827,1987,Training Camp,51,92,1,90,92,57,8,34,22,42,93,1,1
1827,1988,,52,92,1,90,92,57,8,34,22,42,93,1,1
1827,1988,Training Camp,52,92,1,92,92,57,8,34,22,42,93,1,1
1827,1989,,52,92,1,92,93,57,8,34,22,42,94,1,1
1827,1989,Training Camp,53,92,1,92,93,57,8,34,22,42,94,1,1
1827,1990,,54,92,1,92,93,57,8,34,22,42,94,1,1
1827,1990,Training Camp,54,92,1,92,93,57,8,34,22,42,94,1,1
1828,1985,,84,57,10,56,19,72,1,86,89,59,78,9,10
