PlayerID,Leadership,Work Ethic,Competitiveness,Team Player,Sportsmanship,Social Disposition,Money,Security,Loyalty,Winning,Playing Time,Close To Home,Market Size,Morale
1809,76,69,81,73,62,89,79,49,40,34,74,47,45,91
1810,29,65,82,23,61,85,70,41,46,56,100,46,63,98
1811,100,39,67,63,63,43,83,39,38,66,90,36,62,71
1812,31,61,74,37,82,71,77,36,49,35,95,38,53,92
1813,47,39,39,65,53,69,72,44,47,55,79,41,41,100
1814,96,58,60,77,69,31,92,50,33,32,76,33,35,90
1815,37,59,68,71,91,99,75,30,37,69,94,49,60,92
1816,96,70,66,89,53,37,78,47,43,67,100,44,54,98
1817,36,64,74,8,83,98,90,35,48,54,71,33,62,43
1818,68,79,66,84,64,66,80,41,37,30,86,33,46,98
1819,31,50,42,52,45,53,93,45,33,38,82,36,53,79
1820,62,46,68,97,47,58,71,41,43,54,72,43,34,40
1821,76,62,85,71,66,86,80,39,48,54,80,49,32,69
1822,69,75,89,69,94,77,95,37,44,34,71,47,69,93
1823,68,50,56,61,32,36,83,42,37,66,91,44,62,100
1824,46,66,87,60,93,61,71,32,44,50,71,50,31,53
1825,71,74,97,66,94,78,93,37,33,69,96,45,60,7
1826,61,53,66,60,64,44,83,37,36,61,92,41,69,87
1827,16,78,82,24,79,65,82,35,49,58,96,46,44,100
1828,19,100,100,7,79,76,94,35,50,41,72,50,31,100
1829,7,93,95,29,95,87,79,34,38,57,77,37,64,80
1830,62,37,62,63,44,63,81,47,45,45,95,46,35,100
1831,16,65,58,27,12,28,70,31,30,67,97,42,55,46
1832,79,46,67,82,37,36,99,38,41,38,84,32,37,77
1833,31,98,95,47,92,85,79,46,43,40,82,44,66,96
1834,45,71,89,69,95,84,76,48,41,33,75,48,39,98
1835,90,57,56,88,58,64,74,45,33,63,81,48,33,100
1836,61,55,57,34,64,58,83,30,33,48,85,41,50,100
1837,69,67,55,70,41,36,85,33,45,31,89,35,39,88
1838,7,94,94,19,73,88,96,41,46,40,97,30,62,15
1839,88,85,87,88,90,91,83,43,40,64,96,35,38,98
1840,86,60,100,85,93,62,81,34,32,59,91,32,50,79
1841,56,68,74,45,74,96,83,45,47,38,87,45,59,10
1842,87,61,35,73,49,47,97,35,40,47,89,42,42,65
1843,68,53,46,38,47,37,87,33,39,42,88,30,70,79
1844,49,85,63,48,65,96,78,32,40,62,94,39,39,92
1845,43,66,69,54,61,85,70,48,31,34,77,40,49,47
1846,43,98,63,38,87,96,93,49,40,30,96,41,58,88
1847,68,65,46,42,69,68,78,35,44,36,83,33,46,99
1848,59,79,73,61,74,78,81,45,43,59,78,40,36,17
1849,54,49,53,36,45,58,80,33,49,63,99,50,42,47
1850,41,64,67,43,64,95,74,40,43,34,81,36,36,79
1851,98,42,55,100,69,61,82,42,42,48,74,41,39,97
1852,44,58,60,30,38,69,79,48,33,56,97,47,70,58
1853,48,93,90,65,73,77,71,31,40,70,100,40,49,96
1854,76,71,97,100,73,80,96,30,36,50,71,34,49,99
1855,56,69,45,51,56,61,81,37,33,31,90,36,67,45
1856,34,43,38,34,41,35,88,32,40,53,94,37,65,21
1857,91,69,78,84,79,72,74,33,47,48,92,49,41,69
1858,83,62,69,79,34,52,81,40,47,59,79,30,70,100
1859,7,76,91,18,81,84,99,44,38,64,90,42,44,21
1860,4,56,67,43,20,14,95,50,35,62,70,46,33,90
1862,34,74,72,50,82,64,89,33,35,55,72,38,45,48
1863,42,39,68,32,39,37,77,34,50,34,74,30,61,99
1864,56,89,76,30,68,66,79,50,31,63,77,35,51,99
1865,64,64,45,54,40,36,100,30,47,55,93,31,37,1
1867,61,96,73,50,92,89,99,45,33,37,83,39,56,35
1868,42,41,70,53,69,47,84,47,40,58,73,40,39,19
1869,65,91,76,53,96,90,92,45,45,35,100,46,49,99
1870,62,66,57,32,60,69,85,49,35,30,82,38,31,69
1873,77,38,66,91,48,33,91,44,41,64,100,40,57,52
1874,35,42,55,60,57,37,87,39,39,51,87,30,66,58
1875,17,85,72,29,88,75,73,42,50,61,70,43,48,34
1876,57,94,96,53,73,70,91,34,42,42,99,31,39,80
1878,59,61,59,34,39,49,97,32,32,64,71,46,44,74
1879,12,51,63,5,31,31,94,41,41,37,79,38,51,61
1880,58,87,83,48,99,64,74,45,50,46,88,45,70,3
1881,53,61,34,58,43,41,90,46,40,39,87,42,70,74
1882,68,94,74,63,74,98,81,37,34,33,97,36,60,1
1883,80,77,66,79,99,93,72,47,35,37,76,49,48,81
1884,51,61,44,67,40,63,74,45,42,59,90,50,39,16
1885,44,44,64,49,50,58,92,47,38,47,71,46,34,92
1886,72,46,71,75,38,63,84,45,43,35,76,31,46,16
1887,68,60,84,67,61,60,95,36,48,39,90,37,47,30
1888,38,95,94,63,66,83,78,44,33,52,82,46,59,92
1889,96,82,84,81,73,68,75,31,46,52,92,50,63,92
1890,72,63,63,75,67,95,80,49,50,37,93,43,59,-1
1891,61,60,33,70,58,67,80,48,31,34,100,33,52,7
1892,55,33,58,45,56,37,100,47,34,43,99,38,48,71
1894,96,45,61,73,35,56,79,47,46,33,74,50,60,74
1895,68,63,71,97,62,84,96,41,35,43,73,40,40,99
1896,66,84,99,100,63,69,88,44,41,35,71,46,63,49
1897,73,39,64,52,48,60,100,45,35,59,93,36,65,76
1898,31,77,82,12,95,79,100,37,36,47,80,47,60,100
1899,56,64,47,65,40,42,86,49,39,35,98,48,46,1
1900,54,71,90,49,79,93,99,42,35,60,98,38,52,44
1901,65,30,58,67,64,58,83,45,31,70,92,44,54,0
1902,20,33,63,17,12,22,81,45,38,60,71,36,39,1
1903,38,64,88,53,67,79,97,40,37,58,87,34,47,80
