StreakID,CurrentStreak,MaxStreak,PlayerID
ConsecutiveGamesPlayed,1,76,1824
GamesWith100YardsReceiving,0,1,1824
GamesWith100YardsRushing,0,4,1824
GamesWRecTD,0,2,1824
GamesWRushTD,0,6,1824
ConsecutiveGamesPlayed,5,15,5614
GamesWPassTD,0,8,5614
ConsecutivePassesNoInt,0,373,5614
ConsecutiveCompletions,0,15,5614
GamesWith300Yards,0,1,5614
GamesWNoInt,0,9,5614
ConsecutiveGamesPlayed,3,32,5702
GamesWith100YardsReceiving,0,2,5702
GamesWRecTD,0,3,5702
ConsecutiveGamesPlayed,8,36,5653
ConsecutiveGamesPlayed,10,40,6164
GamesWInt,0,1,6164
GamesWSack,0,1,6164
ConsecutiveGamesPlayed,35,35,7226
GamesWInt,0,1,7226
GamesWSack,0,1,7226
ConsecutiveGamesPlayed,18,18,7083
GamesWRecTD,0,2,7083
ConsecutiveGamesPlayed,0,17,7337
ConsecutiveGamesPlayed,0,19,2598
ConsecutiveGamesPlayed,0,22,2311
ConsecutiveGamesPlayed,1,31,2101
GamesWInt,0,2,2101
GamesWSack,0,1,2101
ConsecutiveGamesPlayed,63,63,1953
GamesWSack,2,6,1953
ConsecutiveGamesPlayed,51,51,5552
ConsecutiveGamesPlayed,20,20,7310
GamesWith100YardsReceiving,0,2,7310
GamesWRecTD,0,2,7310
ConsecutiveGamesPlayed,29,34,2386
GamesWSack,0,1,2386
ConsecutiveGamesPlayed,18,18,8369
GamesWInt,0,2,8369
ConsecutiveGamesPlayed,0,4,8550
GamesWPassTD,0,1,8550
ConsecutivePassesNoInt,45,83,8550
ConsecutiveCompletions,0,6,8550
GamesWNoInt,0,2,8550
ConsecutiveGamesPlayed,1,8,2377
ConsecutiveGamesPlayed,0,8,5717
GamesWPassTD,0,3,5717
ConsecutivePassesNoInt,6,166,5717
ConsecutiveCompletions,0,8,5717
GamesWNoInt,0,4,5717
ConsecutiveGamesPlayed,2,8,5630
ConsecutiveGamesPlayed,83,83,2352
GamesWInt,0,2,2352
GamesWSack,0,4,2352
ConsecutiveGamesPlayed,1,19,2204
GamesWInt,0,1,2204
GamesWSack,0,1,2204
ConsecutiveGamesPlayed,1,65,2176
GamesWRecTD,0,1,2176
GamesWRushTD,0,1,2176
ConsecutiveGamesPlayed,83,83,2150
ConsecutiveFGMade,1,11,2150
ConsecutiveGamesPlayed,5,48,1995
GamesWRecTD,0,1,1995
GamesWRushTD,0,1,1995
ConsecutiveGamesPlayed,1,1,9827
ConsecutiveGamesPlayed,1,1,9628
ConsecutiveGamesPlayed,1,1,9950
ConsecutiveGamesPlayed,1,1,10042
ConsecutiveGamesPlayed,1,1,9712
ConsecutiveGamesPlayed,1,1,9926
ConsecutiveGamesPlayed,1,1,9954
ConsecutiveGamesPlayed,1,1,10142
ConsecutiveGamesPlayed,51,51,5340
GamesWInt,0,1,5340
GamesWSack,0,1,5340
ConsecutiveGamesPlayed,1,1,9882
ConsecutiveGamesPlayed,0,34,7340
ConsecutiveFGMade,4,4,7340
ConsecutiveGamesPlayed,51,51,5360
GamesWith100YardsReceiving,0,2,5360
GamesWRecTD,0,2,5360
GamesWRushTD,0,1,5360
ConsecutiveGamesPlayed,14,68,2785
GamesWSack,0,1,2785
ConsecutiveGamesPlayed,47,47,2322
GamesWSack,0,2,2322
ConsecutiveGamesPlayed,33,33,2095
GamesWInt,0,1,2095
ConsecutiveGamesPlayed,83,83,2078
GamesWith100YardsRushing,0,1,2078
GamesWRushTD,0,1,2078
ConsecutiveGamesPlayed,83,83,1929
ConsecutiveGamesPlayed,83,83,1848
GamesWSack,1,2,1848
ConsecutiveGamesPlayed,1,1,10007
ConsecutiveGamesPlayed,1,1,10144
ConsecutiveGamesPlayed,11,11,5414
ConsecutiveGamesPlayed,0,34,5571
GamesWRecTD,0,1,5571
ConsecutiveGamesPlayed,83,83,2409
GamesWSack,0,1,2409
ConsecutiveGamesPlayed,83,83,1918
GamesWSack,0,3,1918
ConsecutiveGamesPlayed,0,18,2611
GamesWSack,0,1,2611
ConsecutiveGamesPlayed,0,21,5437
ConsecutiveGamesPlayed,0,66,3540
GamesWInt,0,2,3540
GamesWSack,0,1,3540
ConsecutiveGamesPlayed,0,3,7051
ConsecutiveGamesPlayed,39,39,5683
GamesWSack,0,1,5683
ConsecutiveGamesPlayed,28,35,2055
GamesWInt,0,1,2055
GamesWSack,1,2,2055
ConsecutiveGamesPlayed,1,29,1879
GamesWith100YardsRushing,0,4,1879
GamesWRecTD,0,1,1879
GamesWRushTD,0,4,1879
ConsecutiveGamesPlayed,83,83,1986
GamesWRecTD,0,1,1986
GamesWRushTD,0,1,1986
ConsecutiveGamesPlayed,51,51,5636
ConsecutiveGamesPlayed,51,51,6134
GamesWRecTD,0,1,6134
ConsecutiveGamesPlayed,0,3,6135
GamesWPassTD,0,2,6135
ConsecutivePassesNoInt,46,46,6135
ConsecutiveCompletions,0,5,6135
GamesWNoInt,0,2,6135
ConsecutiveGamesPlayed,31,31,2574
GamesWInt,0,1,2574
ConsecutiveGamesPlayed,4,59,2542
GamesWInt,0,1,2542
GamesWSack,0,2,2542
ConsecutiveGamesPlayed,16,17,2712
GamesWInt,0,1,2712
GamesWSack,0,1,2712
ConsecutiveGamesPlayed,35,35,7281
GamesWith100YardsRushing,0,4,7281
GamesWRecTD,0,1,7281
GamesWRushTD,0,3,7281
ConsecutiveGamesPlayed,18,18,7203
ConsecutiveGamesPlayed,0,3,7341
ConsecutivePassesNoInt,47,47,7341
ConsecutiveCompletions,0,1,7341
GamesWNoInt,0,3,7341
ConsecutiveGamesPlayed,0,17,7065
ConsecutiveGamesPlayed,2,35,2342
GamesWInt,0,1,2342
GamesWSack,0,1,2342
ConsecutiveGamesPlayed,19,27,1964
GamesWPassTD,0,18,1964
ConsecutivePassesNoInt,22,179,1964
ConsecutiveCompletions,0,12,1964
GamesWith300Yards,0,1,1964
GamesWNoInt,0,8,1964
ConsecutiveGamesPlayed,12,47,1928
GamesWith100YardsReceiving,0,3,1928
GamesWRecTD,0,4,1928
GamesWRushTD,0,1,1928
ConsecutiveGamesPlayed,51,51,6246
ConsecutiveFGMade,1,1,6246
ConsecutiveGamesPlayed,43,43,3113
GamesWSack,0,1,3113
ConsecutiveGamesPlayed,18,18,8478
