PlayerID,Jersey,FirstName,LastName,College,Age,Experience,Height,Weight,TeamID,DraftedBy,DraftRound,DraftPick,DraftSeason,isOffense,HallOfFame,Injury,InjuryLength,Salary,ContractYears,Position,Alt Position,Team,RetiredSeason,Franchise Tag,Tender Type,Awards,Strength,Agility,Arm,Speed,Hands,Intelligence,Accuracy,Run Blocking,Pass Blocking,Tackling,Endurance,Kick Distance,Kick Accuracy,Overall
1809,29,Eric,Dickerson,SMU,30,5,75,220,14,14,1,10,1985,True,False,,,6550000,5,RB,RB,ATL,0,False,None,1985 Offensive Rookie of the Year|1985 Offensive Player of the Year|1985 NFC Pro Bowl Team|1986 NFC Pro Bowl Team|1987 NFC Pro Bowl Team|1989 NFC Pro Bowl Team,81,84,29,91,72,69,32,33,51,38,92,4,1,94
1810,54,Lawrence,Taylor,North Carolina,31,5,75,237,5,17,1,4,1985,False,False,,,6000000,5,LB,LB,BUF,0,False,None,1985 NFC Pro Bowl Team|1986 Defensive Player of the Year|1986 NFC Pro Bowl Team|1987 Defensive Player of the Year|1987 Defensive MVP|1987 NFC Pro Bowl Team|1988 NFC Pro Bowl Team|1989 AFC Pro Bowl Team,84,80,10,81,55,75,8,7,5,91,96,1,1,97
1811,42,Ronnie,Lott,USC,31,5,72,203,4,4,1,12,1985,False,False,,,6000000,2,FS,FS,OAK,0,False,None,1985 AFC Pro Bowl Team|1986 AFC Pro Bowl Team|1987 AFC Pro Bowl Team,70,88,1,79,70,77,4,1,2,79,86,3,1,93
1812,32,Roger,Craig,Nebraska,30,5,72,222,9,3,1,17,1985,True,False,,,6000000,3,FB,FB,LON,0,False,None,1985 AFC Pro Bowl Team|1986 AFC Pro Bowl Team|1987 NFC Pro Bowl Team|1989 AFC Pro Bowl Team,71,76,5,72,92,68,1,76,60,43,82,1,1,100
1813,16,Joe,Montana,Notre Dame,34,5,74,200,18,11,1,2,1985,True,False,,,6000000,2,QB,QB,BAL,0,False,None,1986 NFC Pro Bowl Team|1987 NFC Pro Bowl Team|1988 NFC Pro Bowl Team,45,57,89,43,21,93,92,5,1,39,97,1,1,91
1814,34,Walter,Payton,Jackson State,32,1,70,200,0,17,2,15,1985,True,False,,,0,0,RB,RB,N/A,1986,False,None,,62,91,31,82,69,80,36,33,34,44,89,8,1,87
1815,7,John,Elway,Stanford,30,5,75,215,12,18,1,5,1985,True,False,,,6000000,3,QB,QB,DET,0,False,None,1986 NFC Pro Bowl Team|1988 AFC Pro Bowl Team|1989 NFC Pro Bowl Team,64,83,91,67,22,92,96,1,1,31,87,1,5,97
1816,13,Dan,Marino,Pittsburgh,29,5,76,224,9,7,1,1,1985,True,False,,,6000000,5,QB,QB,LON,0,False,None,1985 AFC Pro Bowl Team|1986 Offensive Player of the Year|1986 Most Valuable Player|1986 AFC Pro Bowl Team|1987 AFC Pro Bowl Team|1988 AFC Pro Bowl Team|1989 AFC Pro Bowl Team,70,71,97,62,34,86,97,1,4,29,98,3,1,96
1817,57,Rickey,Jackson,Pittsburgh,32,5,74,243,6,6,1,15,1985,False,False,,,6000000,2,LB,LB,NYG,0,False,None,1985 AFC Pro Bowl Team|1986 AFC Pro Bowl Team|1987 NFC Pro Bowl Team,73,81,1,70,62,74,2,1,1,88,90,2,10,91
1818,91,Reggie,White,Tennessee,29,5,77,291,5,5,1,6,1985,False,False,,,6000000,5,DE,DE,BUF,0,False,None,1985 Defensive Rookie of the Year|1985 Defensive Player of the Year|1985 AFC Pro Bowl Team|1986 AFC Pro Bowl Team|1987 AFC Pro Bowl Team|1988 AFC Pro Bowl Team|1989 AFC Pro Bowl Team,88,82,7,78,56,68,1,5,1,86,88,1,2,100
