WeekNumber,GameID,Season,TeamID,Team,PlayerID,G,GS,Championships,ChampionshipYears,MadePlayoffs,Wins,Losses,Ties,WinPct,Round1Wins,Round1Losses,Rounds1WinPct,Round2Wins,Round2Losses,Round2WinPct,Round3Wins,Round3Losses,Round3WinPct,ChampionshipWins,ChampionshipLosses,ChampionshipWinPct,ELORating,Plays,RushAtt,Catches,PassAtt,PassCmp,PassInt,PassYds,PassYdsAgainst,TotalYdsAgainst,TotalYds,RushYdsAgainst,PassTD,PassRating,PassingAttemptsPerGame,PassingYardsPerAttempt,PassingYardsPerCompletion,SackPct,PassingYdsPerGame,RushYds,RecYds,RushTD,RecTD,RunLong,PassLong,RecLong,PuntLong,KRLong,PRLong,FGLong,Int,IntReturnYds,Fumbles,FumblesLost,FumReturnYds,Pancakes,MissedTackles,DroppedPasses,PassesDefensed,SacksAllowed,MissedBlocks,TeamOwner,Conference,WasSacked,SackedYards,Tackles,TFL,Sacks,Hurries,Knockdowns,Safeties,ForcedFumbles,FumblesRecovered,DefensiveTD,BlockedFG,BlockedPAT,BlockedPunt,Penalties,PenaltyYds,Punts,PuntYds,PuntsInside20,PuntReturns,PuntReturnYds,PuntReturnTD,KickoffReturns,KickoffReturnYds,KickoffReturnTD,FGA_U20,FGA_2029,FGA_3039,FGA_4049,FGA_50,FGM_U20,FGM_2029,FGM_3039,FGM_4049,FGM_50,FGA,FGM,XPA,XPM,POG,POW,POY,POYYears,ProBowl,ProBowlYears,MVP,MVPYears,PlayoffMVP,PlayoffMVPYears,ROY,ROYYears,RushAvg,PassAvg,PassPct,RecAvg,FGPct,XPPct,PuntAvg,PuntReturnAvg,KickReturnAvg,RushingAttPerGame,RushingYdsPerGame,RushFDPct,CatchesPerGame,ReceivingYdsPerGame,RecFDPct,KickingPoints,Points,PointsFor,PointsAgainst,Rush20,Rush40,RushFD,Pass20,Pass40,PassFD,Rec20,Rec40,RecFD,CtA,Tar,DTar,Job
,0,0,1,NYT,,83,0,0,,1,38,45,0,0.458,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2259,1747,2782,1747,55,18616,0,0,28377,0,139,90.7,33.5,6.7,10.7,6.9,224.3,9761,18616,78,139,66,84,84,69,54,32,55,40,709,88,43,150,2159,451,175,294,114,616,Shaun Young,,206,1475,3984,428,116,331,197,1,85,94,9,2,0,4,484,4219,419,18392,137,156,966,0,407,8089,0,5,26,35,61,18,5,21,23,41,6,145,96,218,213,85,0,0,,0,,0,,0,,0,,4.3,6.7,62.8,10.7,66.2,97.7,43.9,6.2,19.9,27.2,117.6,21.6,21,224.3,42.2,501,1857,0,0,63,10,487,194,41,737,194,41,737,1800,5565,19,
,0,0,2,MIA,,83,0,1,1987,3,45,38,0,0.542,1,0,1,2,1,0.667,2,0,1,1,1,0.5,0,0,2392,1576,2377,1576,45,19051,0,0,27798,0,153,104.3,28.6,8,12.1,6.5,229.5,8747,19051,68,153,75,91,91,65,55,84,52,54,928,67,31,100,2073,452,104,341,54,466,Malinda Gates,,165,1386,3911,395,155,342,233,4,68,69,8,1,1,5,458,3930,427,18839,168,168,1244,0,329,6933,0,7,30,36,52,22,5,24,29,36,8,147,102,216,213,76,0,0,,0,,0,,0,,0,,3.7,8,66.3,12.1,69.4,98.6,44.1,7.4,21.1,28.8,105.4,15.4,19,229.5,44.5,519,1893,0,0,47,11,369,242,70,701,242,70,701,1853,5241,44,
,0,0,3,GB,,83,0,0,,0,35,48,0,0.422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2365,1726,2715,1726,48,19321,0,0,28990,0,150,95.8,32.7,7.1,11.2,5.4,232.8,9669,19321,69,150,69,88,88,61,87,81,56,42,555,90,45,76,2255,349,130,255,66,541,Mike Kent,,154,1067,4107,468,149,329,166,5,73,77,5,0,0,5,464,4081,421,17651,148,150,1101,1,407,8735,0,5,32,39,48,18,5,24,29,35,8,142,101,219,214,77,0,0,,0,,0,,0,,0,,4.1,7.1,63.6,11.2,71.1,97.7,41.9,7.3,21.5,28.5,116.5,18.1,20.8,232.8,44.2,517,1867,0,0,71,12,427,197,42,763,197,42,763,1974,5546,54,
,0,0,4,OAK,,83,0,1,1985,3,46,37,0,0.554,0,1,0,2,0,1,1,1,0.5,1,0,1,0,0,3029,1106,1892,1106,37,15771,0,0,29313,0,128,99.9,22.8,8.3,14.3,10.2,190,13542,15771,98,128,95,81,81,60,108,65,55,53,965,107,49,73,2262,460,143,326,114,453,Ross Tirona,,215,1614,4443,480,175,390,221,3,72,90,14,1,0,7,532,4426,475,19709,150,180,1474,0,366,8378,4,12,33,50,54,21,11,28,40,40,15,170,134,237,231,83,0,0,,0,,0,,0,,0,,4.5,8.3,58.5,14.3,78.8,97.5,41.5,8.2,22.9,36.5,163.2,18.7,13.3,190,47.5,633,2097,0,0,93,21,566,229,65,525,229,65,525,2130,5009,43,
,0,0,5,BUF,,83,0,0,,3,42,41,0,0.506,0,0,0,2,1,0.667,0,2,0,0,0,0,0,0,3075,1403,2253,1403,47,14514,0,0,27190,0,109,88.3,27.1,6.4,10.3,5,174.9,12676,14514,94,109,76,84,84,61,40,93,56,50,929,112,64,273,1955,338,116,259,41,542,Mike Ngo,,119,823,4268,531,321,275,239,5,121,107,11,1,0,6,459,4137,478,20256,158,203,1749,1,375,7897,0,8,49,47,51,20,8,41,39,31,14,175,133,205,197,100,0,0,,0,,0,,0,,0,,4.1,6.4,62.3,10.3,76,96.1,42.4,8.6,21.1,37,152.7,19,16.9,174.9,41.4,596,1886,0,0,95,20,583,143,26,581,143,26,581,1741,4758,23,
,0,0,6,NYG,,83,0,0,,1,37,46,0,0.446,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2392,1454,2315,1454,69,16690,0,0,25515,0,120,89.3,27.9,7.2,11.5,8.3,201.1,8825,16690,70,120,72,65,65,63,101,73,57,57,926,72,36,86,2330,335,105,318,118,635,Chance Loock,,210,1515,3904,491,128,344,189,5,68,73,11,0,0,8,476,4094,474,20426,152,161,1455,2,359,7726,1,6,27,29,45,18,6,23,21,32,12,125,94,195,193,76,0,0,,0,,0,,0,,0,,3.7,7.2,62.8,11.5,75.2,99,43.1,9,21.5,28.8,106.3,17.6,17.5,201.1,45.9,475,1699,0,0,47,8,420,200,30,667,200,30,667,1854,5056,36,
,0,0,7,CIN,,83,0,1,1988,4,51,32,0,0.614,0,0,0,3,1,0.75,2,1,0.667,1,1,0.5,0,0,2294,1666,2652,1666,39,19002,0,0,27018,0,148,96.8,32,7.2,11.4,5.9,228.9,8016,19002,70,148,79,76,76,63,108,73,53,53,916,77,33,139,2272,463,147,325,89,680,Ross Gates,,166,1207,3956,417,116,376,169,0,86,78,7,1,0,6,471,3990,446,19498,160,159,1286,0,377,8350,4,10,36,36,62,9,10,28,28,45,4,153,115,219,215,81,0,0,,0,,0,,0,,0,,3.5,7.2,62.8,11.4,75.2,98.2,43.7,8.1,22.1,27.6,96.6,16.7,20.1,228.9,42.6,560,1934,0,0,51,11,383,228,50,709,228,50,709,1850,5512,34,
,0,0,8,SEA,,83,0,0,,2,43,40,0,0.518,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2318,1880,2763,1880,51,19742,0,0,28861,0,145,98.4,33.3,7.1,10.5,4.6,237.9,9119,19742,89,145,60,88,88,65,103,71,54,39,726,79,37,94,2216,430,95,277,52,509,Johnny McKeever,,133,1007,3953,416,146,342,218,1,79,73,6,0,0,8,522,4358,372,16701,157,171,1218,0,369,8322,2,5,34,50,66,14,4,28,39,46,9,169,126,234,229,81,0,0,,0,,0,,0,,0,,3.9,7.1,68,10.5,74.6,97.9,44.9,7.1,22.6,27.9,109.9,19.8,22.7,237.9,43.7,607,2059,0,0,38,4,458,184,34,821,184,34,821,1797,5477,35,
,0,0,9,LON,,83,0,0,,5,49,34,0,0.59,1,2,0.333,1,2,0.333,0,1,0,0,0,0,0,0,2690,1401,2169,1401,28,19568,0,0,31320,0,153,111.6,26.1,9,14,9.2,235.8,11752,19568,88,153,75,83,83,70,94,76,57,50,787,100,48,122,2728,432,132,290,121,464,Charlie B,,220,1652,4290,500,173,326,149,3,89,95,9,2,1,5,518,4413,405,18174,143,182,1483,1,357,7358,0,14,27,49,58,22,13,21,35,36,14,170,119,238,230,98,0,0,,0,,0,,0,,0,,4.4,9,64.6,14,70,96.6,44.9,8.1,20.6,32.4,141.6,19.2,16.9,235.8,48.5,587,2093,0,0,83,20,517,280,63,680,280,63,680,2085,5041,36,
,0,0,10,IND,,83,0,1,1989,3,44,39,0,0.53,1,0,1,2,1,0.667,2,0,1,1,1,0.5,0,0,2852,1294,2129,1294,73,14510,0,0,25931,0,91,81.1,25.7,6.8,11.2,5,174.8,11421,14510,101,91,80,75,75,69,103,67,57,36,695,38,18,130,2303,346,106,260,48,505,Chris Schoen,,112,781,3882,463,307,275,249,6,88,54,3,0,0,9,497,4197,431,19526,167,180,1426,0,324,7469,4,6,36,47,46,18,6,34,41,30,12,153,123,195,190,102,0,0,,0,,0,,0,,0,,4,6.8,60.8,11.2,80.4,97.4,45.3,7.9,23.1,34.4,137.6,17.4,15.6,174.8,45.3,559,1753,0,0,75,19,497,156,29,586,156,29,586,1652,4462,44,
