WeekNumber,GameID,Season,TeamID,Team,PlayerID,G,GS,Championships,ChampionshipYears,MadeBowlGame,MadePlayoffs,Wins,Losses,Ties,WinPct,BowlGame,RegularBowlWins,RegularBowlLosses,RegularBowlWinPct,RoundOf16BowlWins,RoundOf16BowlLosses,RoundOf16BowlWinPct,QuarterFinalBowlWins,QuarterFinalBowlLosses,QuarterFinalBowlWinPct,SemiFinalBowlWins,SemiFinalBowlLosses,SemiFinalBowlWinPct,ChampionshipWins,ChampionshipLosses,ChampionshipWinPct,ConfChampionshipWins,ConfChampionshipLosses,ConfChampionshipWinPct,Prestige,Job,CtA,Tar,RecruitingClassRank,TeamRanking,ELORating,Plays,RushAtt,Catches,PassAtt,PassCmp,PassInt,PassYds,PassYdsAgainst,TotalYdsAgainst,TotalYds,RushYdsAgainst,PassTD,PassRating,PassingAttemptsPerGame,PassingYardsPerAttempt,PassingYardsPerCompletion,SackPct,PassingYdsPerGame,RushYds,RecYds,RushTD,RecTD,RunLong,PassLong,RecLong,PuntLong,KRLong,PRLong,FGLong,Int,IntReturnYds,Fumbles,FumblesLost,FumReturnYds,Pancakes,MissedTackles,DroppedPasses,PassesDefensed,SacksAllowed,MissedBlocks,TeamOwner,Conference,WasSacked,SackedYards,Tackles,TFL,Sacks,Hurries,Knockdowns,Safeties,ForcedFumbles,FumblesRecovered,DefensiveTD,BlockedFG,BlockedPAT,BlockedPunt,Penalties,PenaltyYds,Punts,PuntYds,PuntsInside20,PuntReturns,PuntReturnYds,PuntReturnTD,KickoffReturns,KickoffReturnYds,KickoffReturnTD,FGA_U20,FGA_2029,FGA_3039,FGA_4049,FGA_50,FGM_U20,FGM_2029,FGM_3039,FGM_4049,FGM_50,FGA,FGM,XPA,XPM,POG,POW,RushAvg,PassAvg,PassPct,RecAvg,FGPct,XPPct,PuntAvg,PuntReturnAvg,KickReturnAvg,RushingAttPerGame,RushingYdsPerGame,RushFDPct,CatchesPerGame,ReceivingYdsPerGame,RecFDPct,KickingPoints,Points,PointsFor,PointsAgainst,Rush20,Rush40,RushFD,Pass20,Pass40,PassFD,Rec20,Rec40,RecFD
,0,0,38,AUB,1,25,0,0,,1,0,14,11,0,0.56,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,628,2089,0,0,0,0,739,426,887,426,8,5726,0,0,8144,0,53,120.2,35.5,6.5,13.4,6.3,229,2418,5726,18,53,85,87,87,57,104,85,50,29,654,23,13,132,601,128,83,164,16,105,,,60,391,1256,101,44,144,106,1,42,39,10,1,0,1,176,1518,211,8211,56,76,1156,1,73,1873,1,1,16,18,19,4,1,7,14,11,1,58,34,81,79,29,0,3.3,13.4,48,13.4,58.6,97.5,38.9,15.2,25.7,29.6,96.7,16,17,229,41.3,181,679,0,0,12,5,118,62,31,176,62,31,176
,0,0,38,AUB,2,25,0,0,,1,0,14,11,0,0.56,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,628,2089,0,0,0,0,739,426,887,426,8,5726,0,0,8144,0,53,120.2,35.5,6.5,13.4,6.3,229,2418,5726,18,53,85,87,87,57,104,85,50,29,654,23,13,132,601,128,83,164,16,105,,,60,391,1256,101,44,144,106,1,42,39,10,1,0,1,176,1518,211,8211,56,76,1156,1,73,1873,1,1,16,18,19,4,1,7,14,11,1,58,34,81,79,29,0,3.3,13.4,48,13.4,58.6,97.5,38.9,15.2,25.7,29.6,96.7,16,17,229,41.3,181,679,0,0,12,5,118,62,31,176,62,31,176
,0,0,38,AUB,3,25,0,0,,1,0,14,11,0,0.56,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,628,2089,0,0,0,0,739,426,887,426,8,5726,0,0,8144,0,53,120.2,35.5,6.5,13.4,6.3,229,2418,5726,18,53,85,87,87,57,104,85,50,29,654,23,13,132,601,128,83,164,16,105,,,60,391,1256,101,44,144,106,1,42,39,10,1,0,1,176,1518,211,8211,56,76,1156,1,73,1873,1,1,16,18,19,4,1,7,14,11,1,58,34,81,79,29,0,3.3,13.4,48,13.4,58.6,97.5,38.9,15.2,25.7,29.6,96.7,16,17,229,41.3,181,679,0,0,12,5,118,62,31,176,62,31,176
,0,0,33,VA,4,25,0,0,,1,0,19,6,0,0.76,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,624,2331,0,0,0,0,848,552,994,552,24,6335,0,0,9224,0,50,120.8,39.8,6.4,11.5,3.3,253.4,2889,6335,22,50,70,84,84,58,96,77,53,18,245,21,11,38,604,130,72,208,13,119,,,34,225,1307,132,37,184,124,0,25,21,4,0,0,6,188,1499,199,8173,68,92,1318,2,68,1476,1,3,11,26,20,6,3,10,22,11,3,66,49,77,75,27,0,3.4,11.5,55.5,11.5,74.2,97.4,41.1,14.3,21.7,33.9,115.6,16.4,22.1,253.4,42.8,222,696,0,0,13,6,139,55,23,236,55,23,236
,0,0,39,USC,5,25,0,0,,1,0,18,7,0,0.72,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,698,2238,0,0,0,0,885,489,849,489,19,5313,0,0,8021,0,48,124.3,34,6.3,10.9,2.7,212.5,2708,5313,23,48,75,76,76,58,34,78,50,13,96,18,11,58,501,120,60,202,10,87,,,24,149,1306,114,39,171,130,0,24,20,0,0,1,8,182,1532,200,8329,78,91,1485,0,67,1362,0,3,15,19,19,3,2,12,17,10,1,59,42,68,65,28,0,3.1,10.9,57.6,10.9,71.2,95.6,41.6,16.3,20.3,35.4,108.3,15.1,19.6,212.5,43.8,191,617,0,0,9,5,134,41,18,214,41,18,214
,0,0,33,VA,6,25,0,0,,1,0,19,6,0,0.76,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,624,2331,0,0,0,0,848,552,994,552,24,6335,0,0,9224,0,50,120.8,39.8,6.4,11.5,3.3,253.4,2889,6335,22,50,70,84,84,58,96,77,53,18,245,21,11,38,604,130,72,208,13,119,,,34,225,1307,132,37,184,124,0,25,21,4,0,0,6,188,1499,199,8173,68,92,1318,2,68,1476,1,3,11,26,20,6,3,10,22,11,3,66,49,77,75,27,0,3.4,11.5,55.5,11.5,74.2,97.4,41.1,14.3,21.7,33.9,115.6,16.4,22.1,253.4,42.8,222,696,0,0,13,6,139,55,23,236,55,23,236
,0,0,11,MD,7,25,0,0,,1,0,8,17,0,0.32,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,651,2165,0,0,0,0,757,384,975,384,28,4621,0,0,7536,0,30,83.6,39,4.7,12,6.9,184.8,2915,4621,18,30,71,88,88,54,93,56,52,18,197,17,10,80,651,126,98,161,26,219,,,72,517,1303,129,68,121,122,0,40,30,2,0,0,3,198,1726,236,9023,46,69,523,1,101,2398,0,4,12,17,15,7,3,8,10,5,3,55,29,50,50,22,0,3.9,12,39.4,12,52.7,100,38.2,7.6,23.7,30.3,116.6,16.9,15.4,184.8,46.4,137,443,0,0,13,5,128,42,21,178,42,21,178
,0,0,22,TEXAM,8,25,0,0,,1,0,12,13,0,0.48,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,660,1984,0,0,0,0,894,442,844,442,29,5672,0,0,9382,0,39,117.2,33.8,6.7,12.8,9.3,226.9,3710,5672,34,39,79,88,88,61,89,63,50,18,155,29,17,44,763,148,65,143,41,162,,,87,693,1251,99,37,124,97,1,22,26,3,0,0,3,196,1706,172,7174,62,78,842,1,94,1928,0,3,10,19,18,5,2,7,13,9,2,55,33,76,71,26,0,4.1,12.8,52.4,12.8,60,93.4,41.7,10.8,20.5,35.8,148.4,17.9,17.7,226.9,52,170,632,0,0,14,7,160,62,20,230,62,20,230
,0,0,31,FLST,9,25,0,0,,1,0,13,12,0,0.52,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,617,2091,0,0,0,0,909,475,922,475,30,5412,0,0,9363,0,34,106.5,36.9,5.9,11.4,4.5,216.5,3951,5412,30,34,71,88,88,55,89,78,50,20,217,17,12,32,596,124,63,157,14,145,,,43,312,1244,114,57,130,122,0,26,19,2,2,0,5,211,1794,181,7365,52,78,681,2,96,2119,0,4,13,23,22,3,4,11,17,14,2,65,48,67,65,30,0,4.3,11.4,51.5,11.4,73.8,97,40.7,8.7,22.1,36.4,158,21.5,19,216.5,47.2,209,617,0,0,17,4,195,49,21,224,49,21,224
,0,0,29,GEO,10,25,0,0,,1,0,16,9,0,0.64,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,724,2049,0,0,0,0,996,455,787,455,21,6302,0,0,10083,0,55,142.8,31.5,8,13.9,4,252.1,3781,6302,31,55,76,86,86,56,43,71,53,20,260,25,16,22,598,104,58,150,16,83,,,33,269,1221,117,47,132,119,2,19,20,3,0,0,6,201,1665,156,6407,51,82,1020,1,89,1987,0,2,16,21,24,8,2,12,15,17,4,71,50,87,84,32,0,3.8,13.9,57.8,13.9,70.4,96.6,41.1,12.4,22.3,39.8,151.2,17.9,18.2,252.1,47.7,234,774,0,0,14,7,178,74,33,217,74,33,217
