WeekNumber,GameID,Season,TeamID,Team,PlayerID,G,GS,Championships,ChampionshipYears,MadeBowlGame,MadePlayoffs,Wins,Losses,Ties,WinPct,BowlGame,RegularBowlWins,RegularBowlLosses,RegularBowlWinPct,RoundOf16BowlWins,RoundOf16BowlLosses,RoundOf16BowlWinPct,QuarterFinalBowlWins,QuarterFinalBowlLosses,QuarterFinalBowlWinPct,SemiFinalBowlWins,SemiFinalBowlLosses,SemiFinalBowlWinPct,ChampionshipWins,ChampionshipLosses,ChampionshipWinPct,ConfChampionshipWins,ConfChampionshipLosses,ConfChampionshipWinPct,Prestige,Job,CtA,Tar,RecruitingClassRank,TeamRanking,ELORating,Plays,RushAtt,Catches,PassAtt,PassCmp,PassInt,PassYds,PassYdsAgainst,TotalYdsAgainst,TotalYds,RushYdsAgainst,PassTD,PassRating,PassingAttemptsPerGame,PassingYardsPerAttempt,PassingYardsPerCompletion,SackPct,PassingYdsPerGame,RushYds,RecYds,RushTD,RecTD,RunLong,PassLong,RecLong,PuntLong,KRLong,PRLong,FGLong,Int,IntReturnYds,Fumbles,FumblesLost,FumReturnYds,Pancakes,MissedTackles,DroppedPasses,PassesDefensed,SacksAllowed,MissedBlocks,TeamOwner,Conference,WasSacked,SackedYards,Tackles,TFL,Sacks,Hurries,Knockdowns,Safeties,ForcedFumbles,FumblesRecovered,DefensiveTD,BlockedFG,BlockedPAT,BlockedPunt,Penalties,PenaltyYds,Punts,PuntYds,PuntsInside20,PuntReturns,PuntReturnYds,PuntReturnTD,KickoffReturns,KickoffReturnYds,KickoffReturnTD,FGA_U20,FGA_2029,FGA_3039,FGA_4049,FGA_50,FGM_U20,FGM_2029,FGM_3039,FGM_4049,FGM_50,FGA,FGM,XPA,XPM,POG,POW,RushAvg,PassAvg,PassPct,RecAvg,FGPct,XPPct,PuntAvg,PuntReturnAvg,KickReturnAvg,RushingAttPerGame,RushingYdsPerGame,RushFDPct,CatchesPerGame,ReceivingYdsPerGame,RecFDPct,KickingPoints,Points,PointsFor,PointsAgainst,Rush20,Rush40,RushFD,Pass20,Pass40,PassFD,Rec20,Rec40,RecFD
0,543,1985,1,NAVY,2,1,1,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,92,10,0,29,21,2,167,0,0,277,0,3,141.1,29,5.8,8,0,167,110,0,2,0,26,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,72.4,0,0,0,0,0,0,10,110,50,0,0,0,0,12,0,0,1,0,5,1,1,10,0,0,0
1,303,1985,1,NAVY,2,1,1,0,,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,79,10,0,33,18,2,164,0,0,300,0,1,94.2,33,5,9.1,5.7,164,136,0,2,0,78,24,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,,,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6,9.1,54.5,0,0,0,0,0,0,10,136,20,0,0,0,0,12,0,0,2,1,2,1,0,9,0,0,0
2,333,1985,1,NAVY,2,1,1,0,,0,0,1,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,86,12,0,27,17,1,228,0,0,249,0,1,138.7,27,8.4,13.4,3.6,228,21,0,0,0,6,57,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,13.4,63,0,0,0,0,0,0,12,21,8.3,0,0,0,0,0,0,0,0,0,1,3,1,11,0,0,0
3,353,1985,1,NAVY,2,1,1,0,,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,84,5,0,42,21,1,179,0,0,204,0,2,96.8,42,4.3,8.5,0,179,25,0,0,0,12,31,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8.5,50,0,0,0,0,0,0,5,25,20,0,0,0,0,0,0,0,0,0,1,1,0,10,0,0,0
4,363,1985,1,NAVY,2,1,1,0,,0,0,1,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,80,6,0,35,19,1,345,0,0,350,0,3,159.7,35,9.9,18.2,2.8,345,5,0,0,0,5,76,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,18.2,54.3,0,0,0,0,0,0,6,5,16.7,0,0,0,0,0,0,0,0,0,1,5,2,10,0,0,0
6,395,1985,1,NAVY,2,1,1,0,,0,0,1,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,89,9,0,31,16,0,135,0,0,213,0,0,88.2,31,4.4,8.4,6.1,135,78,0,0,0,23,21,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,2,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,8.4,51.6,0,0,0,0,0,0,9,78,33.3,0,0,0,0,0,0,0,1,0,3,1,0,8,0,0,0
7,411,1985,1,NAVY,2,1,1,0,,0,0,1,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,88,10,0,37,21,0,218,0,0,258,0,1,115.2,37,5.9,10.4,7.5,218,40,0,0,0,17,71,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10.4,56.8,0,0,0,0,0,0,10,40,30,0,0,0,0,0,0,0,0,0,3,2,1,5,0,0,0
8,431,1985,1,NAVY,2,1,1,0,,0,0,1,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,61,6,0,30,21,1,154,0,0,236,0,2,128.5,30,5.1,7.3,0,154,82,0,1,0,59,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7,7.3,70,0,0,0,0,0,0,6,82,33.3,0,0,0,0,6,0,0,1,1,2,0,0,8,0,0,0
9,447,1985,1,NAVY,2,1,1,0,,0,0,1,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,87,6,0,33,20,2,223,0,0,226,0,2,125.2,33,6.8,11.2,2.9,223,3,0,0,0,3,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,11.2,60.6,0,0,0,0,0,0,6,3,16.7,0,0,0,0,0,0,0,0,0,1,4,0,11,0,0,0
10,468,1985,1,NAVY,2,1,1,0,,0,0,1,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,84,6,0,31,22,0,246,0,0,290,0,1,148.3,31,7.9,11.2,6.1,246,44,0,0,0,22,60,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,11.2,71,0,0,0,0,0,0,6,44,33.3,0,0,0,0,0,0,0,1,0,2,2,2,8,0,0,0
