Season,PlayerID,QB,RB,FB,WR,TE,G,T,C,P,K,DT,DE,LB,CB,SS,FS,Type
1984,2,55,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1984,2,55,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1984,2,73,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1984,3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1984,3,33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1984,3,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1984,4,41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1984,4,41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1984,4,41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1984,5,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1984,5,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1984,5,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1984,6,0,98,17,0,0,0,0,0,0,0,0,0,0,0,0,0,
1984,6,1,98,16,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1984,6,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1984,7,0,40,27,0,0,0,0,0,0,0,0,0,0,0,0,0,
1984,7,1,40,26,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1984,7,1,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1984,8,1,67,36,1,1,1,1,1,1,1,1,1,1,1,1,1,
1984,8,1,67,35,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1984,8,1,67,17,1,1,1,1,1,1,1,1,1,1,1,1,1,
1984,9,0,71,12,0,0,0,0,0,0,0,0,0,0,0,0,0,
1984,9,1,71,11,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1984,9,1,71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1984,10,0,84,27,0,0,0,0,0,0,0,0,0,0,0,0,0,
1984,10,1,84,27,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1984,10,1,84,8,1,1,1,1,1,1,1,1,1,1,1,1,1,
1984,11,0,85,5,0,0,0,0,0,0,0,0,0,0,0,0,0,
1984,11,1,85,4,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1984,11,1,85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1984,12,25,30,65,0,0,0,0,0,0,0,0,0,0,35,25,20,
1984,12,25,30,65,1,1,1,1,1,1,1,1,1,1,34,24,19,Training Camp
1984,12,4,13,77,1,1,1,1,1,1,1,1,1,1,17,10,2,
1984,13,1,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1984,13,1,50,25,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1984,13,1,26,56,1,1,1,1,1,1,1,1,1,1,1,1,1,
1984,14,1,1,1,29,99,1,1,1,1,1,1,1,1,1,1,1,
1984,14,1,1,1,29,99,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1984,14,1,1,1,20,100,1,1,1,1,1,1,1,1,1,1,1,
1984,15,0,0,0,10,55,0,0,0,0,0,0,0,0,0,0,0,
1984,15,1,1,1,9,55,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1984,15,1,1,1,1,55,1,1,1,1,1,1,1,1,1,1,1,
1984,16,1,1,1,10,35,1,1,1,1,1,1,1,1,1,1,1,
1984,16,1,1,1,9,35,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1984,16,1,1,1,1,37,1,1,1,1,1,1,1,1,1,1,1,
1984,17,0,0,0,6,36,0,0,0,0,0,0,0,0,0,0,0,
1984,17,1,1,1,6,36,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1984,17,1,1,1,1,47,1,1,1,1,1,1,1,1,1,1,1,
1984,18,1,1,1,76,41,1,1,1,1,1,1,1,1,1,1,1,
1984,18,1,1,1,76,40,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1984,18,1,1,1,79,30,1,1,1,1,1,1,1,1,1,1,1,
1984,19,0,0,0,40,17,0,0,0,0,0,0,0,0,0,0,0,
1984,19,1,1,1,40,16,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1984,19,1,1,1,54,1,1,1,1,1,1,1,1,1,1,1,1,
1984,20,0,0,0,43,14,0,0,0,0,0,0,0,0,0,0,0,
1984,20,1,1,1,43,14,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1984,20,1,1,1,57,1,1,1,1,1,1,1,1,1,1,1,1,
1984,21,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,
1984,21,1,1,1,51,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1984,21,1,1,1,53,1,1,1,1,1,1,1,1,1,1,1,1,
1984,22,1,1,1,21,15,1,1,1,1,1,1,1,1,1,1,1,
1984,22,1,1,1,56,15,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1984,22,1,1,1,56,1,1,1,1,1,1,1,1,1,1,1,1,
1984,23,1,1,1,63,15,1,1,1,1,1,1,1,1,1,1,1,
1984,23,1,1,1,63,14,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1984,23,1,1,1,63,1,1,1,1,1,1,1,1,1,1,1,1,
1984,24,0,0,0,38,5,0,0,0,0,0,0,0,0,0,0,0,
1984,24,1,1,1,38,4,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1984,24,1,1,1,38,1,1,1,1,1,1,1,1,1,1,1,1,
1984,25,0,0,0,50,1,0,0,0,0,0,0,0,0,0,0,0,
1984,25,1,1,1,50,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1984,25,1,1,1,50,1,1,1,1,1,1,1,1,1,1,1,1,
1984,26,1,1,1,50,1,1,1,1,1,1,1,1,1,1,1,1,
1984,26,1,1,1,50,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1984,26,1,1,1,50,1,1,1,1,1,1,1,1,1,1,1,1,
1984,27,1,1,1,50,1,1,1,1,1,1,1,1,1,1,1,1,
1984,27,1,1,1,50,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1984,27,1,1,1,50,1,1,1,1,1,1,1,1,1,1,1,1,
1984,28,0,0,0,0,0,81,29,14,0,0,0,0,0,0,0,0,
1984,28,1,1,1,1,1,81,28,13,1,1,1,1,1,1,1,1,Training Camp
1984,28,1,1,1,1,1,87,9,1,1,1,1,1,1,1,1,1,
1984,29,1,1,1,1,1,82,61,50,1,1,1,1,1,1,1,1,
1984,29,1,1,1,1,1,82,61,50,1,1,1,1,1,1,1,1,Training Camp
