"PlayerID","Jersey","FirstName","LastName","Age","Experience","Height","Weight","Position","city","mascot","Overall","Strength","Agility","Arm","Speed","Hands","Intelligence","Accuracy","RunBlocking","PassBlocking","Tackling","Endurance","KickDistance","KickAccuracy","trait1","Leadership","WorkEthic","Competitiveness","TeamPlayer","Sportsmanship","SocialDisposition","Money","Security","Loyalty","Winning","PlayingTime","CloseToHome","MarketSize","Morale","QB","RB","FB","WR","TE","G","T","C","P","K","DT","DE","LB","CB","SS","FS","1989","1990","1991","1992","1993","1994"
"1809","29","Eric","Dickerson","29","4","75","220","RB","Atlanta","Falcons","97","82","88","29","97","72","70","32","35","51","38","92","4","1","MediaDarling","76","69","81","73","62","89","79","49","40","34","74","47","45","83","1","91","41","1","1","1","1","1","1","1","1","1","1","1","1","1","6000000","0",NULL,NULL,NULL,NULL
"1810","56","Lawrence","Taylor","30","4","75","237","LB","Buffalo","Bills","100","85","80","10","88","56","76","8","7","5","92","92","1","1","SpeedRusher","29","64","80","24","61","83","70","41","46","56","100","46","63","100","1","1","1","1","1","1","1","1","1","1","1","39","100","1","24","1","6000000","0",NULL,NULL,NULL,NULL
"1811","42","Ronnie","Lott","30","4","72","203","FS","Oakland","Raiders","95","69","90","1","84","70","76","4","1","2","79","91","3","1","SpeedRusher","100","37","67","62","63","43","83","39","38","66","90","36","62","96","1","1","1","1","1","1","1","1","1","1","1","1","1","69","51","100","6000000","0",NULL,NULL,NULL,NULL
"1812","33","Roger","Craig","29","4","72","222","FB","Chicago","Cardinals","100","77","77","5","83","92","70","1","73","61","43","82","1","1","ReceiveFB","31","60","74","37","82","71","77","36","49","35","95","38","53","89","1","30","81","1","1","1","1","1","1","1","1","1","1","1","1","1","6000000","0",NULL,NULL,NULL,NULL
"1813","16","Joe","Montana","33","4","74","200","QB","Baltimore","Ravens","92","50","61","87","47","21","94","93","5","1","39","96","1","1","ClutchQB","47","39","39","65","53","69","72","44","47","55","79","41","41","100","100","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","6000000","0",NULL,NULL,NULL,NULL
"1815","7","John","Elway","29","4","75","215","QB","Detroit","Lions","96","64","80","90","67","22","92","96","1","1","31","86","1","5","RunningQB","37","59","68","71","91","99","75","30","37","69","94","49","60","100","89","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","6000000","0",NULL,NULL,NULL,NULL
"1816","13","Dan","Marino","28","4","76","224","QB","Chicago","Bears","96","70","71","97","61","33","85","97","1","4","29","96","3","1","GameManager","96","70","66","89","53","37","78","47","43","67","100","44","54","100","100","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","6000000","0",NULL,NULL,NULL,NULL
"1817","57","Rickey","Jackson","31","4","74","243","LB","New York","Giants","94","75","84","1","76","65","75","2","1","1","87","93","2","10","SpeedRusher","36","64","74","8","83","98","90","35","48","54","71","33","62","86","1","1","1","1","1","1","1","1","1","1","1","28","100","1","55","1","6000000","0",NULL,NULL,NULL,NULL
"1818","91","Reggie","White","28","4","77","291","DE","Buffalo","Bills","100","88","81","7","74","57","69","1","5","1","87","88","1","2","BullRusher","66","78","65","82","63","66","80","41","37","30","86","33","46","100","1","1","1","1","1","1","1","1","1","1","27","100","9","1","1","1","6000000","0",NULL,NULL,NULL,NULL
"1819","1","Warren","Moon","33","4","75","218","QB","Minnesota","Vikings","91","62","68","92","55","24","94","82","5","1","39","88","9","1","FilmGeek","31","50","42","49","45","53","93","45","33","38","82","36","53","61","100","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","6000000","0",NULL,NULL,NULL,NULL
"1820","72","Kent","Hill","32","4","77","260","G","Atlanta","Falcons","90","84","64","5","60","15","63","1","85","83","44","62","1","5","TenaciousBlocker","62","46","68","97","47","58","71","41","43","54","72","43","34","66","1","1","1","1","1","100","49","24","1","1","1","1","1","1","1","1","6370000","6370000","6370000",NULL,NULL,NULL
"1822","80","Henry","Ellard","28","4","71","180","WR","Miami","Dolphins","93","40","93","1","90","92","61","10","36","30","38","91","1","1","DeepThreat","69","73","89","69","94","77","95","37","44","34","71","47","69","98","1","1","1","100","16","1","1","1","1","1","1","1","1","1","1","1","7660000","7660000","7660000","7660000","7660000","7660000"
"1824","32","Marcus","Allen","29","4","74","210","RB","Kansas City","Chiefs","92","70","84","30","90","79","65","35","38","42","50","97","1","1","AllPurposeRB","46","66","87","60","93","61","71","32","44","50","71","50","31","60","1","94","22","1","1","1","1","1","1","1","1","1","1","1","1","1","6000000","0",NULL,NULL,NULL,NULL
"1825","22","Gill","Byrd","28","4","71","195","SS","New York","Giants","89","73","87","1","85","74","66","1","5","1","66","92","1","1","BoxSafety","71","74","96","66","92","78","93","37","33","69","96","45","60","83","1","1","1","1","1","1","1","1","1","1","1","1","19","1","100","15","7920000","7920000","7920000",NULL,NULL,NULL
"1826","80","Jerry","Rice","27","4","74","200","WR","San Francisco","49ers","99","46","95","8","95","99","86","7","32","37","34","98","7","5","PossessionWR","61","53","66","60","64","44","83","37","36","61","92","41","69","60","1","1","1","79","38","1","1","1","1","1","1","1","1","1","1","1","6000000","0",NULL,NULL,NULL,NULL
